('SL04652-2022-11-01-11','S1-11','bdPIlrsePUx', 'UB')
('AC22517-2022-11-02-8','A1-8','SI', 'LB')
('AC22517-2022-11-01-6','A1-6','R', 'SU')
('SL22517-2022-11-01-10','S1-10','PSGpDxPjUM', 'MB')
('AC12058-2022-11-01-20','A2-2','fWJowRMrjLQgrwF', 'LB')
('SL22517-2022-11-02-16','S1-16','SEjxmPg', 'SU')
('AC04652-2022-11-02-18','A1-18','L', 'SU')
('AC04652-2022-11-01-26','A2-8','FwRuw', 'LB')
('AC22517-2022-11-02-27','A2-9','wA', 'UB')
('AC12058-2022-11-01-35','A2-17','bgIpAsJ', 'SL')
('AC22517-2022-11-01-25','A2-7','FimFUcrQCJXq', 'LB')
('SL04652-2022-11-01-33','S2-9','LEUjmDKB', 'LB')
('AC12058-2022-11-01-37','A3-1','hlPrzc', 'LB')
('AC12058-2022-11-01-40','A3-4','yetzYhRJJdzGvGRA', 'UB')
('AC22517-2022-11-01-29','A2-11','EYkYaNXyZOQ', 'SL')
('AC22517-2022-11-02-38','A3-2','xTKB', 'LB')
('SL22517-2022-11-01-44','S2-20','ql', 'LB')
('SL04652-2022-11-02-43','S2-19','FeecTkt', 'UB')
('AC04652-2022-11-01-44','A3-8','mQztIMW', 'LB')
('SL04652-2022-11-02-71','S3-23','OQNhr', 'SL')
('AC04652-2022-11-02-74','A5-2','KIrVrcFyNwzum', 'LB')
('SL04652-2022-11-02-73','S4-1','ZCZetznMwgEE', 'LB')
('SL12058-2022-11-01-95','S4-23','BoESGB', 'SL')
('AC22517-2022-11-01-100','A6-10','YwZDTQW', 'UB')
('AC22517-2022-11-02-102','A6-12','g', 'SU')
('AC22517-2022-11-02-103','A6-13','nkfqYgpU', 'LB')
('AC12058-2022-11-01-93','A6-3','PxNESD', 'UB')
('AC22517-2022-11-02-104','A6-14','ihTipgTHP', 'LB')
('SL04652-2022-11-01-92','S4-20','XqDxkeVzzRuKenP', 'LB')
('SL04652-2022-11-01-93','S4-21','DW', 'MB')
('AC04652-2022-11-01-93','A6-3','h', 'UB')
('SL04652-2022-11-02-86','S4-14','vak', 'UB')
('AC04652-2022-11-01-95','A6-5','NdPaTXuXB', 'SL')
('AC22517-2022-11-01-105','A6-15','IzrJREdbMqBrhL', 'UB')
('SL22517-2022-11-01-121','S6-1','EoTsHHWeDFr', 'LB')
('AC22517-2022-11-01-134','A8-8','SAQqeeCepszqTC', 'LB')
('AC04652-2022-11-01-132','A8-6','gBHgXK', 'SU')
('SL22517-2022-11-02-132','S6-12','ElEPxYEWYWjN', 'LB')
('SL04652-2022-11-01-144','S6-24','NbUTkqqGjJ', 'SU')
('SL04652-2022-11-01-145','S7-1','SnutFy', 'LB')
('AC22517-2022-11-02-160','A9-16','CozVyaolwlUhB', 'UB')
('AC04652-2022-11-02-156','A9-12','imJzJvghZggUPz', 'SU')
('SL22517-2022-11-01-182','S8-14','PuUNfJpFFkZuYm', 'UB')
('AC22517-2022-11-02-187','A11-7','RNjZINKZmDYe', 'LB')
('SL04652-2022-11-01-179','S8-11','Ytjbh', 'UB')
('SL22517-2022-11-02-184','S8-16','EjpGONYRI', 'SU')
('AC04652-2022-11-01-175','A10-13','oSONmSmNyKEeKo', 'LB')
('AC12058-2022-11-01-189','A11-9','sGZevIJ', 'UB')
('AC12058-2022-11-01-190','A11-10','d', 'UB')
('AC04652-2022-11-02-183','A11-3','nNIPP', 'UB')
('SL22517-2022-11-02-202','S9-10','teVE', 'MB')
('AC04652-2022-11-02-187','A11-7','DFbXD', 'LB')
('SL22517-2022-11-02-205','S9-13','Q', 'MB')
('SL22517-2022-11-01-209','S9-17','Cc', 'LB')
('AC04652-2022-11-01-282','A16-12','NWjViKuxZuLIrooy', 'SU')
('SL22517-2022-11-02-263','S11-23','ZRQvYZXdhfvCTsNy', 'SL')
('AC22517-2022-11-02-289','A17-1','zKCh', 'LB')
('SL04652-2022-11-02-245','S11-5','Gycr', 'MB')
('SL12058-2022-11-01-263','S11-23','xnCFlWWWtU', 'SL')
('SL12058-2022-11-01-264','S11-24','EQSpqTp', 'SU')
('SL04652-2022-11-02-247','S11-7','CvhbRwLpY', 'SL')
('SL04652-2022-11-01-259','S11-19','skCPvDo', 'UB')
('AC04652-2022-11-01-289','A17-1','vfhKCWBsuuvIRaPv', 'LB')
('SL22517-2022-11-02-269','S12-5','YfWk', 'MB')
('AC04652-2022-11-02-264','A15-12','bQPOepLlWABqAGf', 'SU')
('AC04652-2022-11-01-293','A17-5','slBJpcwDbDIJm', 'SL')
