('SL04652-2022-11-02-5','S1-5','riHEfALcuTXYKB', 'MB')
('SL04652-2022-11-02-6','S1-6','RcWAfFuU', 'UB')
('SL22517-2022-11-02-8','S1-8','F', 'SU')
('AC22517-2022-11-01-5','A1-5','RcBYACaSG', 'SL')
('AC04652-2022-11-02-9','A1-9','hYBfJO', 'UB')
('SL22517-2022-11-01-18','S1-18','FgBkvJizcsku', 'MB')
('AC22517-2022-11-01-11','A1-11','qlLvbcxpUZNj', 'SL')
('SL22517-2022-11-02-40','S2-16','CpfcNkma', 'SU')
('SL12058-2022-11-01-47','S2-23','fTeH', 'SL')
('AC22517-2022-11-01-75','A5-3','ngSTdKjwVFeBWPF', 'UB')
('AC22517-2022-11-02-77','A5-5','WQMawrTAwv', 'SL')
('AC22517-2022-11-01-77','A5-5','zGmPQeGdcZeMm', 'SL')
('AC04652-2022-11-01-74','A5-2','oTfgsrAihV', 'LB')
('SL12058-2022-11-01-114','S5-18','nj', 'MB')
('SL22517-2022-11-01-106','S5-10','D', 'MB')
('AC04652-2022-11-02-113','A7-5','GMGy', 'SL')
('SL12058-2022-11-01-124','S6-4','FGahweyxXN', 'LB')
('AC22517-2022-11-02-127','A8-1','eUCQmBjotB', 'LB')
('SL04652-2022-11-02-102','S5-6','kExoWMC', 'UB')
('AC22517-2022-11-01-122','A7-14','zsmSA', 'LB')
('AC22517-2022-11-02-129','A8-3','hwkxpZBWbzk', 'UB')
('SL22517-2022-11-02-120','S5-24','OtDg', 'SU')
('AC22517-2022-11-01-124','A7-16','cruf', 'UB')
('AC22517-2022-11-02-134','A8-8','qRC', 'LB')
('AC22517-2022-11-02-135','A8-9','fxiYUPHjo', 'UB')
('AC22517-2022-11-02-136','A8-10','suPl', 'UB')
('SL22517-2022-11-02-124','S6-4','KHpwtwen', 'LB')
('SL04652-2022-11-01-124','S6-4','nUaevNAY', 'LB')
('SL22517-2022-11-01-131','S6-11','JrmFnDQtVCDjbBjr', 'UB')
('AC04652-2022-11-02-124','A7-16','glZRoFCLLlsiiu', 'UB')
('AC22517-2022-11-02-144','A8-18','uxVG', 'SU')
('SL04652-2022-11-01-129','S6-9','Lgnmh', 'LB')
('AC04652-2022-11-02-127','A8-1','FITucU', 'LB')
('SL04652-2022-11-02-118','S5-22','HarBNjoGGH', 'UB')
('SL22517-2022-11-01-142','S6-22','ofhzAGcRSqymH', 'UB')
('SL12058-2022-11-01-147','S7-3','WLyisOgB', 'UB')
('SL12058-2022-11-01-149','S7-5','eOShad', 'MB')
('AC22517-2022-11-01-140','A8-14','jKARyOhlWed', 'LB')
('AC04652-2022-11-01-137','A8-11','a', 'SL')
('AC22517-2022-11-01-142','A8-16','FldphgIwwzO', 'UB')
('AC22517-2022-11-02-154','A9-10','ZdYIXk', 'UB')
('SL22517-2022-11-02-142','S6-22','WlKRxunQuV', 'UB')
('AC12058-2022-11-01-151','A9-7','QuKAbfylBE', 'LB')
('SL22517-2022-11-01-150','S7-6','CWHcmZogyzfIWR', 'UB')
('SL04652-2022-11-01-143','S6-23','EJDaRuexdOu', 'SL')
('SL22517-2022-11-02-150','S7-6','NlHiEonrMpOTuk', 'UB')
('SL04652-2022-11-01-146','S7-2','YHdlMQwUfoDhR', 'MB')
('SL12058-2022-11-01-159','S7-15','KahoySnjC', 'SL')
('SL12058-2022-11-01-160','S7-16','fRTKaVuvOlVKPjW', 'SU')
('AC12058-2022-11-01-161','A9-17','mkuQrfFSgcATg', 'SL')
('SL22517-2022-11-02-154','S7-10','E', 'MB')
('AC22517-2022-11-02-164','A10-2','sGqANstZgCvwLPJv', 'LB')
('AC22517-2022-11-01-156','A9-12','N', 'SU')
('SL04652-2022-11-02-129','S6-9','yhEsx', 'LB')
('SL22517-2022-11-01-159','S7-15','QfTnicSMkN', 'SL')
('SL12058-2022-11-01-165','S7-21','XVTQWHWTuMVRHLF', 'MB')
('SL04652-2022-11-02-131','S6-11','AhehFGWqyoHzgGBs', 'UB')
('SL12058-2022-11-01-166','S7-22','APepEsAPL', 'UB')
('SL04652-2022-11-02-144','S6-24','dybSdQuHnQELd', 'SU')
('SL12058-2022-11-01-174','S8-6','IIBXeqFgtet', 'UB')
('AC12058-2022-11-01-178','A10-16','fXj', 'UB')
('AC04652-2022-11-01-167','A10-5','crZILfhlDgLbBOU', 'SL')
('SL12058-2022-11-01-175','S8-7','hPlYoDTEA', 'SL')
('SL12058-2022-11-01-180','S8-12','GLEPkdwL', 'LB')
('AC12058-2022-11-01-185','A11-5','U', 'SL')
('AC04652-2022-11-01-171','A10-9','AKJswgbMsPYP', 'UB')
('SL04652-2022-11-01-178','S8-10','YdC', 'MB')
('AC22517-2022-11-02-189','A11-9','IFYaFCaUjPQIhs', 'UB')
('SL04652-2022-11-01-180','S8-12','b', 'LB')
('SL22517-2022-11-02-183','S8-15','e', 'SL')
('AC22517-2022-11-01-183','A11-3','L', 'UB')
('SL22517-2022-11-01-190','S8-22','d', 'UB')
('AC12058-2022-11-01-193','A11-13','hBJLWICGpH', 'LB')
('AC22517-2022-11-01-189','A11-9','DiqkTTZTea', 'UB')
('AC12058-2022-11-01-195','A11-15','hlNXBmLrh', 'UB')
('SL22517-2022-11-02-187','S8-19','xbeL', 'UB')
('AC04652-2022-11-02-167','A10-5','Fde', 'SL')
('SL04652-2022-11-02-161','S7-17','KllCJwgyP', 'LB')
('AC12058-2022-11-01-196','A11-16','ILxUMXPUlYhWLXS', 'UB')
('SL04652-2022-11-02-162','S7-18','fcootAWwOjhG', 'MB')
('SL22517-2022-11-02-190','S8-22','N', 'UB')
('SL04652-2022-11-01-188','S8-20','SjHbqVdpFJYGSWF', 'LB')
('SL22517-2022-11-02-192','S8-24','LItOrZQfoent', 'SU')
('AC04652-2022-11-01-189','A11-9','BLqXHojfKzME', 'UB')
('SL04652-2022-11-02-164','S7-20','DhpfSpwigDLFxC', 'LB')
('SL04652-2022-11-01-189','S8-21','AttR', 'MB')
('AC22517-2022-11-02-196','A11-16','lPy', 'UB')
('AC04652-2022-11-01-192','A11-12','n', 'SU')
('SL12058-2022-11-01-195','S9-3','XUWJCCylFM', 'UB')
('SL22517-2022-11-01-194','S9-2','IXfWIOBBHPa', 'MB')
('AC22517-2022-11-02-200','A12-2','GUVYPx', 'LB')
('SL22517-2022-11-02-194','S9-2','WDJwxqPoEStmg', 'MB')
('AC22517-2022-11-02-201','A12-3','OfdZLbK', 'UB')
('SL22517-2022-11-01-197','S9-5','VzpjWQmf', 'MB')
('AC04652-2022-11-01-285','A16-15','WInGX', 'UB')
('SL12058-2022-11-01-262','S11-22','PK', 'UB')
('SL04652-2022-11-01-256','S11-16','jhiSZKOLCgAkDDSP', 'SU')
('SL22517-2022-11-02-265','S12-1','Kwh', 'LB')
('SL22517-2022-11-01-273','S12-9','InmpVx', 'LB')
('AC04652-2022-11-01-287','A16-17','MuQOUgU', 'SL')
('AC22517-2022-11-01-262','A15-10','YNGAYlDnQfQ', 'UB')
('SL12058-2022-11-01-265','S12-1','jYwNaR', 'LB')
('AC12058-2022-11-01-288','A16-18','rTsvLTDMfi', 'SU')
('AC22517-2022-11-01-266','A15-14','EZEiHsVE', 'LB')
('SL04652-2022-11-02-251','S11-11','uXoXxdiTMv', 'UB')
('SL04652-2022-11-01-261','S11-21','TAujcls', 'MB')
('AC12058-2022-11-01-291','A17-3','iV', 'UB')
('SL12058-2022-11-01-271','S12-7','KufrKk', 'SL')
('SL04652-2022-11-01-264','S11-24','kqyCIuvC', 'SU')
('SL22517-2022-11-02-273','S12-9','tGNv', 'LB')
('SL04652-2022-11-02-257','S11-17','MjgLCaMjVySlvO', 'LB')
('AC04652-2022-11-02-270','A15-18','MGsJXrdLTK', 'SU')
('AC22517-2022-11-02-310','A18-4','qHsBDfHUM', 'UB')
('SL04652-2022-11-01-273','S12-9','izgpzbyyVOEtn', 'LB')
('SL04652-2022-11-01-274','S12-10','wZkkbDs', 'MB')
('AC04652-2022-11-01-304','A17-16','uSTRFNbBhmV', 'UB')
('SL04652-2022-11-01-277','S12-13','ymzzzZETgJTq', 'MB')
('SL22517-2022-11-01-284','S12-20','oTriMocPTH', 'LB')
('AC04652-2022-11-01-310','A18-4','JfkvJGqtg', 'UB')
('SL12058-2022-11-01-279','S12-15','jDLcecPU', 'SL')
('AC22517-2022-11-02-315','A18-9','MRGi', 'UB')
('SL22517-2022-11-01-289','S13-1','CGQM', 'LB')
('AC12058-2022-11-01-304','A17-16','pAQhSp', 'UB')
('SL22517-2022-11-02-283','S12-19','cEIYTgPXNchF', 'UB')
('SL12058-2022-11-01-284','S12-20','mBxMxtAXjtktwOM', 'LB')
('AC04652-2022-11-01-315','A18-9','UOSfMAH', 'UB')
('AC04652-2022-11-02-283','A16-13','LalyrttQE', 'LB')
('AC04652-2022-11-02-284','A16-14','hglpbLoPwHsH', 'LB')
('AC22517-2022-11-02-377','A21-17','cfNRyXygCEfvV', 'SL')
('SL22517-2022-11-01-345','S15-9','P', 'LB')
('AC04652-2022-11-02-337','A19-13','KkLcALiMd', 'LB')
('SL22517-2022-11-02-335','S14-23','Y', 'SL')
('SL12058-2022-11-01-348','S15-12','f', 'LB')
('AC12058-2022-11-01-361','A21-1','QGyvXRvbBwO', 'LB')
('AC22517-2022-11-02-390','A22-12','Nm', 'SU')
('SL04652-2022-11-02-314','S14-2','ajlaCRkTdE', 'MB')
('SL04652-2022-11-02-315','S14-3','WYAbxPpCsMz', 'UB')
('SL04652-2022-11-01-348','S15-12','CilpDPhrXLtHU', 'LB')
('AC04652-2022-11-01-381','A22-3','bUM', 'UB')
('SL04652-2022-11-02-318','S14-6','DulSEbWFXxTdqsSu', 'UB')
('SL04652-2022-11-01-360','S15-24','b', 'SU')
('AC22517-2022-11-01-347','A20-5','ZaP', 'SL')
('SL22517-2022-11-01-374','S16-14','xOGxUrTSKifMf', 'UB')
('SL22517-2022-11-01-379','S16-19','wjMYYJyyBCTzxXeo', 'UB')
('AC12058-2022-11-01-392','A22-14','Yhwj', 'LB')
('SL22517-2022-11-01-381','S16-21','ORHp', 'MB')
('SL04652-2022-11-01-367','S16-7','FhWlmakIfgMIHOiH', 'SL')
('AC22517-2022-11-01-351','A20-9','mYrWEZP', 'UB')
('SL12058-2022-11-01-384','S16-24','xEAzIWjSoF', 'SU')
('SL12058-2022-11-01-385','S17-1','yLnaicFMRCQjrdV', 'LB')
('SL22517-2022-11-01-384','S16-24','fv', 'SU')
('AC04652-2022-11-02-374','A21-14','jJOgqxsWzrvqxmE', 'LB')
('AC12058-2022-11-01-397','A23-1','amopxGD', 'LB')
('AC04652-2022-11-02-379','A22-1','JOFjwCrmZBDLo', 'LB')
('SL22517-2022-11-02-367','S16-7','tiAjZPB', 'SL')
('SL22517-2022-11-01-389','S17-5','AnZDletPGiFowFD', 'MB')
('SL12058-2022-11-01-398','S17-14','MUP', 'UB')
('SL22517-2022-11-01-392','S17-8','FoNnhNpxSWHIsQl', 'SU')
('SL04652-2022-11-02-349','S15-13','mAD', 'MB')
('AC22517-2022-11-01-354','A20-12','UTiFXzTlTRSoyPV', 'SU')
('AC22517-2022-11-01-355','A20-13','eVRFgof', 'LB')
('SL22517-2022-11-01-394','S17-10','gfy', 'MB')
('SL04652-2022-11-01-380','S16-20','vHsVllXXpjt', 'LB')
('AC12058-2022-11-01-415','A24-1','rnkEbIDAY', 'LB')
('AC22517-2022-11-02-434','A25-2','t', 'LB')
('SL12058-2022-11-01-408','S17-24','bnKtUDGazXBv', 'SU')
