('AC04652-2022-11-01-1285','A72-7','kXTi', 'LB')
('AC12058-2022-11-01-1248','A70-6','cF', 'SU')
('AC22517-2022-11-01-1256','A70-14','foGSj', 'LB')
('AC04652-2022-11-02-1322','A74-8','PTGGgnw', 'LB')
('AC04652-2022-11-01-1297','A73-1','GSjLoOgWBykmBj', 'LB')
('SL12058-2022-11-01-1256','S53-8','EMjqqLGV', 'SU')
('SL22517-2022-11-02-1284','S54-12','JsUdEbRdTs', 'LB')
('AC22517-2022-11-01-1272','A71-12','KaNgTBHDtS', 'SU')
('SL22517-2022-11-01-1347','S57-3','gsUxIYIPU', 'UB')
('AC04652-2022-11-01-1388','A78-2','IUYMAMVyCWnZYU', 'LB')
('AC22517-2022-11-02-1350','A75-18','asdxDtCXSSjxJH', 'SU')
('AC04652-2022-11-01-1390','A78-4','IPMXyAs', 'UB')
('SL22517-2022-11-01-1376','S58-8','FqvlCeC', 'SU')
('AC22517-2022-11-02-1354','A76-4','hpzD', 'UB')
('AC04652-2022-11-01-1393','A78-7','NqaelxrpoNynVQFH', 'LB')
('SL04652-2022-11-02-1381','S58-13','jHkcXQAJWq', 'MB')
('AC04652-2022-11-02-1405','A79-1','Cpf', 'LB')
('SL04652-2022-11-01-1363','S57-19','CcTz', 'UB')
('SL12058-2022-11-01-1322','S56-2','AA', 'MB')
('AC22517-2022-11-02-1383','A77-15','tfpkLjMWXqQVRLc', 'UB')
('SL04652-2022-11-02-1408','S59-16','ZTZJLOZjUWySc', 'SU')
('SL12058-2022-11-01-1349','S57-5','ZogwFfTxeYNrtqT', 'MB')
('AC22517-2022-11-01-1376','A77-8','qPND', 'LB')
('AC22517-2022-11-01-1377','A77-9','eybDjNXpjAeqq', 'UB')
('AC22517-2022-11-01-1378','A77-10','RTg', 'UB')
('SL04652-2022-11-02-1411','S59-19','XJvJmCy', 'UB')
('SL12058-2022-11-01-1356','S57-12','sA', 'LB')
('SL04652-2022-11-01-1390','S58-22','BIoOJtmfoNELHH', 'UB')
('SL22517-2022-11-02-1450','S61-10','hzMIuWQ', 'MB')
('SL04652-2022-11-02-1468','S62-4','hpEbCHNYZmjfok', 'LB')
('SL12058-2022-11-01-1421','S60-5','fQTmuLfFHozcsI', 'MB')
('SL22517-2022-11-02-1454','S61-14','SrrtQyPzlKQB', 'UB')
('SL12058-2022-11-01-1425','S60-9','jgbt', 'LB')
('AC22517-2022-11-01-1447','A81-7','hIcvA', 'LB')
('SL12058-2022-11-01-1429','S60-13','iagnOEffvsBk', 'MB')
('SL22517-2022-11-01-1489','S63-1','sPLaG', 'LB')
('AC12058-2022-11-01-1448','A81-8','ywIwmPJ', 'LB')
('SL22517-2022-11-02-1466','S62-2','OEZsf', 'MB')
('SL12058-2022-11-01-1435','S60-19','iNMfIquNJuKq', 'UB')
('AC04652-2022-11-01-1503','A84-9','tuEP', 'UB')
('AC22517-2022-11-01-1460','A82-2','bGMAAHiFfVk', 'LB')
('SL12058-2022-11-01-1440','S60-24','sNzOAxxSofD', 'SU')
('SL12058-2022-11-01-1441','S61-1','FdWb', 'LB')
('SL04652-2022-11-02-1486','S62-22','EpzmltDFlRfj', 'UB')
('AC04652-2022-11-01-1507','A84-13','cEiDj', 'LB')
('AC12058-2022-11-01-1458','A81-18','lMark', 'SU')
('AC12058-2022-11-01-1463','A82-5','BjtB', 'SL')
('AC04652-2022-11-01-1510','A84-16','HDXGWimH', 'UB')
('SL04652-2022-11-02-1492','S63-4','LlzafgoEkz', 'LB')
('AC22517-2022-11-01-1471','A82-13','rxoOwRfpM', 'LB')
('AC12058-2022-11-01-1467','A82-9','FtEwmiUJfZCXn', 'UB')
('AC04652-2022-11-01-1517','A85-5','bZSgcZUnG', 'SL')
('AC22517-2022-11-02-1496','A84-2','ykkgk', 'LB')
('AC04652-2022-11-02-1517','A85-5','wwfxUCRhVU', 'SL')
('SL12058-2022-11-01-1458','S61-18','iua', 'MB')
('AC22517-2022-11-01-1484','A83-8','RXexXOLOp', 'LB')
('AC12058-2022-11-01-1478','A83-2','yX', 'LB')
('AC22517-2022-11-01-1488','A83-12','PKkCmoaeyd', 'SU')
('SL12058-2022-11-01-1494','S63-6','yYXxbrrxtbhHqgS', 'UB')
