('SL22517-2022-11-01-1417','S60-1','KvraX', 'LB')
('SL22517-2022-11-02-1408','S59-16','zPtzD', 'SU')
('SL04652-2022-11-02-1433','S60-17','LReWeJjniL', 'LB')
('AC04652-2022-11-02-1444','A81-4','u', 'UB')
('SL22517-2022-11-02-1411','S59-19','WHxEmidaZe', 'UB')
('AC04652-2022-11-02-1446','A81-6','glHCtCuJ', 'SU')
('AC04652-2022-11-02-1447','A81-7','FTiWRxHuzVdcCQJp', 'LB')
('AC04652-2022-11-02-1457','A81-17','XlHxrrQXSOxemDh', 'SL')
('SL22517-2022-11-01-1450','S61-10','NaiPlbbgsKN', 'MB')
('SL12058-2022-11-01-1392','S58-24','tIb', 'SU')
('SL12058-2022-11-01-1393','S59-1','wiGEJK', 'LB')
('AC12058-2022-11-01-1417','A79-13','aj', 'LB')
('AC22517-2022-11-02-1435','A80-13','TjByGYCrTuA', 'LB')
('SL22517-2022-11-02-1428','S60-12','aAYVITzVEVWBoTQy', 'LB')
('SL04652-2022-11-02-1448','S61-8','v', 'SU')
('SL04652-2022-11-01-1427','S60-11','gpGCZmw', 'UB')
('SL12058-2022-11-01-1394','S59-2','rggmiyfHylZtYWMF', 'MB')
('SL04652-2022-11-01-1429','S60-13','IHkZiidlgpOOrDm', 'MB')
('AC04652-2022-11-01-1471','A82-13','YoFdY', 'LB')
('SL12058-2022-11-01-1397','S59-5','pnLmRW', 'MB')
('SL22517-2022-11-02-1491','S63-3','JRnCNbvdUoS', 'UB')
('AC22517-2022-11-02-1502','A84-8','SsCbLjthkc', 'LB')
('AC04652-2022-11-02-1522','A85-10','YsiIwoVQfP', 'UB')
('AC22517-2022-11-01-1490','A83-14','AXoGJXci', 'LB')
('AC04652-2022-11-02-1528','A85-16','lBWS', 'UB')
('SL22517-2022-11-02-1501','S63-13','k', 'MB')
('SL04652-2022-11-01-1499','S63-11','xqwRvgfzj', 'UB')
('SL22517-2022-11-01-1525','S64-13','VOQ', 'MB')
('SL04652-2022-11-02-1514','S64-2','mQURXCV', 'MB')
('AC22517-2022-11-01-1503','A84-9','ItJLjIyfPVR', 'UB')
('AC22517-2022-11-01-1504','A84-10','rnCUtNlTeuSdgraH', 'UB')
