('AC12058-2022-11-01-16','A1-16','ieJ', 'UB')
('AC04652-2022-11-02-17','A1-17','XTWeVkQgOSVmOw', 'SL')
('SL12058-2022-11-01-22','S1-22','GLpuUGDwrFbiodS', 'UB')
('SL22517-2022-11-02-34','S2-10','QEdTVpxPcQLk', 'MB')
('SL22517-2022-11-01-38','S2-14','iTXu', 'UB')
('AC04652-2022-11-01-36','A2-18','DfsvDuSSPQpxqean', 'SU')
('AC12058-2022-11-01-41','A3-5','HuYGxChqacI', 'SL')
('SL12058-2022-11-01-46','S2-22','ukMttX', 'UB')
('AC04652-2022-11-01-37','A3-1','ckfplzNHXbIrzJ', 'LB')
('AC22517-2022-11-02-43','A3-7','K', 'LB')
('SL22517-2022-11-01-50','S3-2','mFc', 'MB')
('AC22517-2022-11-01-38','A3-2','jPiTjY', 'LB')
('AC04652-2022-11-02-51','A3-15','mEAfowV', 'UB')
('SL04652-2022-11-02-47','S2-23','ZUcuZagDCqkCUNz', 'SL')
('SL04652-2022-11-02-48','S2-24','EeWVyURnFkSpBK', 'SU')
('AC22517-2022-11-01-46','A3-10','txmptwoExzxLjuN', 'UB')
('SL22517-2022-11-01-81','S4-9','eZGGErxPGyLgm', 'LB')
('AC12058-2022-11-01-83','A5-11','vgu', 'SL')
('SL12058-2022-11-01-94','S4-22','efZygjDUbdEySoqC', 'UB')
('AC22517-2022-11-02-99','A6-9','tsrJ', 'UB')
('AC12058-2022-11-01-91','A6-1','lYZ', 'LB')
('AC22517-2022-11-01-101','A6-11','VaqIAMYKe', 'SL')
('SL22517-2022-11-02-93','S4-21','DeSxhlSlpnWdOv', 'MB')
('SL12058-2022-11-01-100','S5-4','dWmrgVy', 'LB')
('SL22517-2022-11-01-126','S6-6','QFYTVkIu', 'UB')
('AC22517-2022-11-01-163','A10-1','iZdoawJcuKSmBmJT', 'LB')
('AC12058-2022-11-01-170','A10-8','cOGoPWfxM', 'LB')
('AC12058-2022-11-01-173','A10-11','lNFGVUtn', 'SL')
('SL04652-2022-11-02-142','S6-22','IRfvwVf', 'UB')
('AC12058-2022-11-01-174','A10-12','tWmFdx', 'SU')
('SL04652-2022-11-02-143','S6-23','rHKMdohwSuDDUkV', 'SL')
('AC22517-2022-11-01-173','A10-11','HxYdwEXLfYj', 'SL')
('AC22517-2022-11-01-174','A10-12','nFEerfIiTTmfpi', 'SU')
('SL04652-2022-11-02-145','S7-1','qSakufXEgYuFkm', 'LB')
('AC22517-2022-11-02-182','A11-2','WQwiFiYlo', 'LB')
('SL22517-2022-11-01-178','S8-10','Igyxk', 'MB')
('SL12058-2022-11-01-176','S8-8','SxBF', 'SU')
('AC04652-2022-11-01-168','A10-6','Jnr', 'SU')
('AC22517-2022-11-01-179','A10-17','tQtqrtrDKKVkkJL', 'SL')
('SL22517-2022-11-01-183','S8-15','AtSyQLLsbm', 'SL')
('AC04652-2022-11-01-170','A10-8','QqbEuGIKyjWZ', 'LB')
('SL04652-2022-11-01-176','S8-8','BYNyeCu', 'SU')
('AC04652-2022-11-01-185','A11-5','TSxggrieHctT', 'SL')
('SL22517-2022-11-02-191','S8-23','f', 'SL')
('AC04652-2022-11-01-188','A11-8','zorT', 'LB')
('AC04652-2022-11-01-199','A12-1','AGpYHbxPkkrDB', 'LB')
('AC22517-2022-11-02-209','A12-11','NctBQkBWLCHbAWx', 'SL')
('SL04652-2022-11-01-199','S9-7','oiwZfhcWJTiIih', 'SL')
('AC04652-2022-11-01-204','A12-6','dIjmGDhyXI', 'SU')
('SL22517-2022-11-01-202','S9-10','lXbjuByIWrwK', 'MB')
('AC04652-2022-11-01-220','A13-4','RebkDg', 'UB')
('SL04652-2022-11-01-219','S10-3','yC', 'UB')
('SL22517-2022-11-02-229','S10-13','OUYYYKJFNkxHjB', 'MB')
('SL12058-2022-11-01-223','S10-7','cuSYkqsEzLR', 'SL')
('AC12058-2022-11-01-229','A13-13','HWHaWDXQWD', 'LB')
('AC22517-2022-11-01-228','A13-12','HYpisml', 'SU')
('SL04652-2022-11-01-224','S10-8','CGPiWdFOUka', 'SU')
('AC04652-2022-11-02-210','A12-12','dSGYftirxm', 'SU')
('AC22517-2022-11-02-246','A14-12','s', 'SU')
('SL04652-2022-11-01-226','S10-10','BGyjkAkLGfG', 'MB')
('SL22517-2022-11-01-292','S13-4','MGqKaeXazRHL', 'LB')
('SL22517-2022-11-02-286','S12-22','WFNOLvdVtV', 'UB')
('AC22517-2022-11-01-282','A16-12','pRxsfmO', 'SU')
('SL12058-2022-11-01-292','S13-4','eaLrQDwZlWvcDuW', 'LB')
('SL22517-2022-11-02-289','S13-1','s', 'LB')
('SL04652-2022-11-01-290','S13-2','IzvzqIVHRzRZsppN', 'MB')
('SL22517-2022-11-01-299','S13-11','ZjNPMZmrWDZViA', 'UB')
('AC22517-2022-11-02-350','A20-8','DRFMQQilHFq', 'LB')
('AC04652-2022-11-01-449','A25-17','KKrF', 'SL')
('AC22517-2022-11-01-398','A23-2','iVtNBVTegBz', 'LB')
('AC22517-2022-11-01-399','A23-3','gKNxlkp', 'UB')
('AC12058-2022-11-01-456','A26-6','nUtuR', 'SU')
('AC22517-2022-11-02-473','A27-5','KRXJSfjFBdzoY', 'SL')
('AC22517-2022-11-01-402','A23-6','Rkqwuxq', 'SU')
