('SL22517-2022-11-02-4','S1-4','UAqhzrzGlBLqSGP', 'LB')
('AC04652-2022-11-01-7','A1-7','FqwzbHtNQDvgeSYi', 'LB')
('AC22517-2022-11-02-4','A1-4','yEq', 'UB')
('AC22517-2022-11-01-8','A1-8','YxuYQcpim', 'LB')
('SL04652-2022-11-01-9','S1-9','rTfKveUfNQHg', 'LB')
('SL04652-2022-11-02-5','S1-5','AHwLeGOtbmzjI', 'MB')
('SL22517-2022-11-02-7','S1-7','bX', 'SL')
('AC22517-2022-11-01-11','A1-11','XslOt', 'SL')
('SL12058-2022-11-01-8','S1-8','AOsmacvj', 'SU')
('SL04652-2022-11-02-8','S1-8','fbuHgBv', 'SU')
('AC22517-2022-11-02-6','A1-6','DhMpXgvSIoLwlBm', 'SU')
('AC04652-2022-11-02-6','A1-6','fLDqUtvJAEweomo', 'SU')
('AC04652-2022-11-02-7','A1-7','cLVPVXIci', 'LB')
('AC22517-2022-11-02-9','A1-9','oKwtbGAepQ', 'UB')
('SL04652-2022-11-02-12','S1-12','xZMHkl', 'LB')
('AC12058-2022-11-01-6','A1-6','uHPw', 'SU')
('AC22517-2022-11-02-11','A1-11','UNGtIAh', 'SL')
('AC22517-2022-11-01-13','A1-13','as', 'LB')
('SL22517-2022-11-01-11','S1-11','iN', 'UB')
('SL04652-2022-11-01-18','S1-18','OlXgHFyPqjRpxNnS', 'MB')
('SL04652-2022-11-02-15','S1-15','VsGoAg', 'SL')
('SL04652-2022-11-01-19','S1-19','mtnzQjipULJYH', 'UB')
('AC04652-2022-11-02-15','A1-15','d', 'UB')
('SL12058-2022-11-01-17','S1-17','TinVehbLrWf', 'LB')
('SL22517-2022-11-01-12','S1-12','IDdxrGJT', 'LB')
('AC22517-2022-11-01-16','A1-16','CFtkQ', 'UB')
('SL12058-2022-11-01-18','S1-18','AN', 'MB')
('SL04652-2022-11-02-17','S1-17','dGtD', 'LB')
('AC04652-2022-11-01-22','A2-4','WHZTMcrqXABTDVus', 'UB')
('AC22517-2022-11-02-13','A1-13','iNpscabzWwmyX', 'LB')
('AC04652-2022-11-01-24','A2-6','FGMHvgKrpfBVjR', 'SU')
('SL04652-2022-11-01-23','S1-23','pftsswoDqHN', 'SL')
('AC22517-2022-11-01-22','A2-4','rmBIhVxrSQjgME', 'UB')
('AC04652-2022-11-01-25','A2-7','bJ', 'LB')
('SL12058-2022-11-01-24','S1-24','oLKUSD', 'SU')
('SL22517-2022-11-01-14','S1-14','Rka', 'UB')
('AC04652-2022-11-02-19','A2-1','dtsMN', 'LB')
('AC22517-2022-11-02-19','A2-1','o', 'LB')
('SL04652-2022-11-01-26','S2-2','yK', 'MB')
('AC22517-2022-11-01-26','A2-8','QNnwVdJupmSUVE', 'LB')
