('AC12058-2022-11-01-9672','A538-6','IVQyAsy', 'SU')
('SL12058-2022-11-01-9728','S406-8','IjPEhTnvlYUxj', 'SU')
('SL22517-2022-11-01-9783','S408-15','cNZpO', 'SL')
('AC12058-2022-11-01-9675','A538-9','lZMuFziwwm', 'UB')
('SL22517-2022-11-01-9787','S408-19','VtIXIHXFmKjnCd', 'UB')
('AC22517-2022-11-01-9706','A540-4','oqRsHVxzFY', 'UB')
('SL04652-2022-11-01-9902','S413-14','yzEVbTS', 'UB')
('SL22517-2022-11-01-9791','S408-23','LMWkuJo', 'SL')
('AC22517-2022-11-01-9709','A540-7','uNODwAfK', 'LB')
('SL04652-2022-11-02-9773','S408-5','TaCJYApid', 'MB')
('AC22517-2022-11-01-9710','A540-8','wZyHd', 'LB')
('SL22517-2022-11-02-9885','S412-21','erO', 'MB')
('SL04652-2022-11-02-9776','S408-8','KCNxhZI', 'SU')
('SL22517-2022-11-02-9886','S412-22','NMFtRfPaWJmug', 'UB')
('SL04652-2022-11-02-9777','S408-9','aFDzRqcsqGOxjVBZ', 'LB')
('SL04652-2022-11-02-9778','S408-10','koxD', 'MB')
('SL12058-2022-11-01-9736','S406-16','tbhPDhICKR', 'SU')
('AC04652-2022-11-02-9916','A551-16','LxQyr', 'UB')
('AC12058-2022-11-01-9684','A538-18','mowbJWIBqwhn', 'SU')
('AC12058-2022-11-01-9685','A539-1','DEcOvaVfxHD', 'LB')
('AC22517-2022-11-02-9905','A551-5','kydXuWWitki', 'SL')
('AC12058-2022-11-01-9686','A539-2','hufTTPSGDyyUk', 'LB')
('AC04652-2022-11-01-9836','A547-8','LmEmm', 'LB')
('SL22517-2022-11-01-9794','S409-2','l', 'MB')
('AC04652-2022-11-02-9918','A551-18','whyWKUSi', 'SU')
('AC04652-2022-11-02-9919','A552-1','TRBAyiYrmiP', 'LB')
('AC22517-2022-11-01-9718','A540-16','VzaBhvIaIRTPU', 'UB')
('SL22517-2022-11-02-9891','S413-3','aasjASMf', 'UB')
('SL04652-2022-11-02-9788','S408-20','VekMd', 'LB')
('SL04652-2022-11-01-9913','S414-1','uS', 'LB')
('AC12058-2022-11-01-9691','A539-7','SRD', 'LB')
('SL12058-2022-11-01-9744','S406-24','YWzJnJDfh', 'SU')
('SL22517-2022-11-01-9796','S409-4','Jtxq', 'LB')
('SL22517-2022-11-01-9797','S409-5','xHiSrPMxfliDh', 'MB')
('AC22517-2022-11-01-9722','A541-2','uVcVdtGBs', 'LB')
('AC22517-2022-11-02-9915','A551-15','E', 'UB')
('SL22517-2022-11-01-9801','S409-9','KqJczvzlhaGduOWA', 'LB')
('AC12058-2022-11-01-9695','A539-11','XdbSOhvF', 'SL')
('SL12058-2022-11-01-9752','S407-8','FIHYCpB', 'SU')
('AC04652-2022-11-01-9840','A547-12','SoCUypDFxMk', 'SU')
('AC22517-2022-11-01-9725','A541-5','wlPik', 'SL')
('AC22517-2022-11-01-9726','A541-6','gZkKLLwIQWZfqVb', 'SU')
('SL12058-2022-11-01-9754','S407-10','mKHgcLFCBAy', 'MB')
('SL12058-2022-11-01-9757','S407-13','oPbpNNqOFUGWEg', 'MB')
('AC22517-2022-11-01-9730','A541-10','AW', 'UB')
('SL04652-2022-11-02-9792','S408-24','bZjjNgMk', 'SU')
('AC22517-2022-11-01-9731','A541-11','keICsKLw', 'SL')
('AC12058-2022-11-01-9700','A539-16','ZXWTTcuNloIV', 'UB')
('SL04652-2022-11-02-9793','S409-1','J', 'LB')
