('AC04652-2022-11-02-3668','A204-14','gmg', 'LB')
('SL22517-2022-11-02-3593','S150-17','VWFrXCwZLYy', 'LB')
('SL12058-2022-11-01-3576','S149-24','cV', 'SU')
('SL12058-2022-11-01-3577','S150-1','INb', 'LB')
('SL04652-2022-11-02-3724','S156-4','WoZgsBerJoLSGz', 'LB')
('AC04652-2022-11-01-3810','A212-12','oYjh', 'SU')
('AC22517-2022-11-02-3699','A206-9','otidWrMqRDyjyF', 'UB')
('SL12058-2022-11-01-3582','S150-6','FQlSYjRrNDO', 'UB')
('AC04652-2022-11-01-3816','A212-18','ktapTPl', 'SU')
('AC04652-2022-11-01-3818','A213-2','f', 'LB')
('AC12058-2022-11-01-3745','A209-1','DEm', 'LB')
('SL22517-2022-11-01-3749','S157-5','nNuKveyNRB', 'MB')
('SL04652-2022-11-01-3715','S155-19','AtazrhWRZsUVR', 'UB')
('AC04652-2022-11-01-3904','A217-16','XqkVVOGYtIbM', 'UB')
('AC04652-2022-11-02-3769','A210-7','YePjbusL', 'LB')
('AC12058-2022-11-01-3761','A209-17','lmEmSqckHrfn', 'SL')
('AC04652-2022-11-01-3909','A218-3','Vrbbb', 'UB')
('AC04652-2022-11-02-3772','A210-10','KRRYWa', 'UB')
('AC22517-2022-11-01-3844','A214-10','TUrm', 'UB')
('SL04652-2022-11-01-3735','S156-15','JVg', 'SL')
('SL04652-2022-11-01-3736','S156-16','IbhwhhfNO', 'SU')
('SL22517-2022-11-01-3772','S158-4','lNnEO', 'LB')
('AC04652-2022-11-01-3995','A222-17','CSxSYGEnpKOqW', 'SL')
('SL12058-2022-11-01-3736','S156-16','gjYGRyvmyuKPFf', 'SU')
('SL04652-2022-11-01-3807','S159-15','jFa', 'SL')
('SL04652-2022-11-02-3876','S162-12','K', 'LB')
('AC22517-2022-11-02-3871','A216-1','gxpiXxHRRELWc', 'LB')
('AC04652-2022-11-01-4003','A223-7','FKP', 'LB')
('AC04652-2022-11-01-4004','A223-8','gpoYonauUNKjmSF', 'LB')
('AC22517-2022-11-01-3938','A219-14','ZVqfFcpbY', 'LB')
('AC04652-2022-11-01-4042','A225-10','LbJyXpSXt', 'UB')
('SL12058-2022-11-01-3773','S158-5','ojWecCF', 'MB')
('SL22517-2022-11-02-3804','S159-12','swRoUlRlAqWwcfDH', 'LB')
('AC22517-2022-11-01-3970','A221-10','LWbgrKEbdfp', 'UB')
('SL22517-2022-11-02-3805','S159-13','Wj', 'MB')
('AC04652-2022-11-02-3907','A218-1','IVDu', 'LB')
('AC22517-2022-11-01-3987','A222-9','F', 'UB')
('AC12058-2022-11-01-3974','A221-14','mEJDRfXVibRSVazL', 'LB')
('SL04652-2022-11-01-3924','S164-12','sotIzxyG', 'LB')
('SL22517-2022-11-01-3946','S165-10','CPVYye', 'MB')
('SL04652-2022-11-01-3925','S164-13','tNWEeGprmhwj', 'MB')
('SL04652-2022-11-02-3992','S167-8','FzdTLqfhLlahxuB', 'SU')
('SL04652-2022-11-02-3993','S167-9','WIbBKfrpTrHVA', 'LB')
('AC22517-2022-11-02-3974','A221-14','oF', 'LB')
('AC12058-2022-11-01-3978','A221-18','VB', 'SU')
('SL04652-2022-11-02-3996','S167-12','zhJMp', 'LB')
('AC04652-2022-11-01-4137','A230-15','ewqfTgMctn', 'UB')
('SL22517-2022-11-01-3955','S165-19','oigkfhPTo', 'UB')
('SL04652-2022-11-02-4000','S167-16','qJzeUApmdLqEV', 'SU')
('SL04652-2022-11-02-4001','S167-17','NeDMjTjFFiCKw', 'LB')
('AC04652-2022-11-01-4140','A230-18','ofibrTK', 'SU')
('SL22517-2022-11-01-3958','S165-22','CRFz', 'UB')
('SL04652-2022-11-02-4007','S167-23','wQPeabFhuDg', 'SL')
('AC12058-2022-11-01-3985','A222-7','ar', 'LB')
('SL04652-2022-11-02-4010','S168-2','zCf', 'MB')
('SL22517-2022-11-02-3895','S163-7','eocbM', 'SL')
('AC04652-2022-11-01-4149','A231-9','cs', 'UB')
('SL22517-2022-11-01-3966','S166-6','gUaN', 'UB')
('SL04652-2022-11-02-4016','S168-8','OFSqLfWZWErFb', 'SU')
('AC12058-2022-11-01-4026','A224-12','RjwYchj', 'SU')
('AC12058-2022-11-01-4027','A224-13','wLoPbZh', 'LB')
('SL12058-2022-11-01-3900','S163-12','Iuo', 'LB')
('AC04652-2022-11-01-4192','A233-16','CbefxRp', 'UB')
('SL12058-2022-11-01-3960','S165-24','eHQeWQMOSHGSXAn', 'SU')
('SL12058-2022-11-01-3961','S166-1','iMJH', 'LB')
('SL12058-2022-11-01-3962','S166-2','tZuPlxPO', 'MB')
('AC22517-2022-11-01-4154','A231-14','umxeC', 'LB')
('SL22517-2022-11-01-4079','S170-23','SebsYwJWIuINkVxy', 'SL')
('AC12058-2022-11-01-4115','A229-11','tmLyh', 'SL')
('SL22517-2022-11-01-4117','S172-13','pk', 'MB')
('AC12058-2022-11-01-4154','A231-14','P', 'LB')
('AC04652-2022-11-02-4168','A232-10','VvuAlcXHCjDHhT', 'UB')
('AC04652-2022-11-01-4321','A241-1','FjblkL', 'LB')
('AC04652-2022-11-01-4322','A241-2','EfRYqQdEZVLdD', 'LB')
('SL04652-2022-11-02-4168','S174-16','iCAoDeWUGmg', 'SU')
('AC22517-2022-11-02-4141','A231-1','qsunGgpddRqhi', 'LB')
('AC12058-2022-11-01-4162','A232-4','JwDva', 'UB')
