('AC12058-2022-11-01-1234','A69-10','gk', 'UB')
('SL04652-2022-11-01-1272','S53-24','tTygDNDanS', 'SU')
('SL22517-2022-11-02-1272','S53-24','eQPAgWaD', 'SU')
('SL12058-2022-11-01-1253','S53-5','LrmkNw', 'MB')
('AC04652-2022-11-01-1287','A72-9','CdTwBYVHzGIevyGk', 'UB')
('AC22517-2022-11-01-1253','A70-11','mEgrAtdhJKqX', 'SL')
('SL04652-2022-11-02-1276','S54-4','pIpOjmdxOIGCkHci', 'LB')
('AC22517-2022-11-01-1255','A70-13','Nz', 'LB')
('AC04652-2022-11-01-1292','A72-14','OXLpU', 'LB')
('AC22517-2022-11-02-1289','A72-11','CCtCPrtahgeszKl', 'SL')
('SL04652-2022-11-02-1289','S54-17','s', 'LB')
('AC04652-2022-11-02-1329','A74-15','WCJVQyShGDIwqKO', 'UB')
('SL04652-2022-11-02-1293','S54-21','KKqxtKmg', 'MB')
('SL22517-2022-11-01-1316','S55-20','ZDFp', 'LB')
('AC22517-2022-11-01-1293','A72-15','SUxRCaFkVfAzeRJ', 'UB')
('AC04652-2022-11-02-1344','A75-12','YFYgfWCJa', 'SU')
('AC22517-2022-11-01-1295','A72-17','EaVdMNBgPVRGvG', 'SL')
('AC22517-2022-11-01-1296','A72-18','MlHg', 'SU')
('SL04652-2022-11-01-1316','S55-20','WdMIvPIJTsl', 'LB')
('AC04652-2022-11-01-1333','A75-1','sS', 'LB')
('SL12058-2022-11-01-1282','S54-10','KSiSyBFOnc', 'MB')
('AC22517-2022-11-01-1299','A73-3','knpYvAGA', 'UB')
('SL04652-2022-11-01-1319','S55-23','MHJSPSg', 'SL')
('AC12058-2022-11-01-1287','A72-9','EXRzFlgAcZPTtL', 'UB')
('AC12058-2022-11-01-1288','A72-10','vQyfPRcLGDjxo', 'UB')
('AC22517-2022-11-02-1317','A74-3','hIIEyfX', 'UB')
('AC04652-2022-11-01-1364','A76-14','pstDFgaWLrlohLrq', 'LB')
('SL04652-2022-11-02-1383','S58-15','QlSJY', 'SL')
('SL22517-2022-11-02-1364','S57-20','UzrkyHU', 'LB')
('AC12058-2022-11-01-1355','A76-5','NgIdVgyRLHaGq', 'SL')
('AC22517-2022-11-02-1364','A76-14','WcUAAsGuPuhHMxrx', 'LB')
('SL22517-2022-11-01-1394','S59-2','tbtjlvKgRWVv', 'MB')
('SL22517-2022-11-01-1395','S59-3','ImSrtHgGgCxeCue', 'UB')
('AC12058-2022-11-01-1358','A76-8','iGmQuuXMcDy', 'LB')
('SL04652-2022-11-02-1391','S58-23','BzI', 'SL')
('AC12058-2022-11-01-1370','A77-2','DrcHiY', 'LB')
('SL12058-2022-11-01-1342','S56-22','UKxbFeNoXsoRJS', 'UB')
('AC12058-2022-11-01-1374','A77-6','GgYzxkjYjTTDTiBu', 'SU')
('AC12058-2022-11-01-1389','A78-3','hLt', 'UB')
('AC04652-2022-11-01-1425','A80-3','fQtwN', 'UB')
('SL22517-2022-11-01-1419','S60-3','KVzTP', 'UB')
('AC04652-2022-11-01-1432','A80-10','nB', 'UB')
('SL04652-2022-11-01-1392','S58-24','aRCEzkekWjNCx', 'SU')
('SL22517-2022-11-02-1434','S60-18','wFnSiZJtSfsf', 'MB')
('AC22517-2022-11-02-1443','A81-3','ZIAVc', 'UB')
('AC04652-2022-11-01-1474','A82-16','CEATfXnHcGN', 'UB')
('AC12058-2022-11-01-1428','A80-6','jYjJ', 'SU')
('SL22517-2022-11-02-1436','S60-20','omYNsXeIkupjFE', 'LB')
('SL04652-2022-11-02-1456','S61-16','pTJfB', 'SU')
('SL22517-2022-11-01-1465','S62-1','vK', 'LB')
('SL22517-2022-11-02-1438','S60-22','PIJVJCFGfmAOh', 'UB')
('SL22517-2022-11-02-1439','S60-23','GlBGddBkWnmp', 'SL')
('SL04652-2022-11-01-1442','S61-2','REWYffDh', 'MB')
('SL22517-2022-11-02-1441','S61-1','hVNyHeUKDLmI', 'LB')
('AC12058-2022-11-01-1435','A80-13','jtbuLbPMCqNCPS', 'LB')
('SL22517-2022-11-02-1443','S61-3','pNeKcVWohcnxSHBR', 'UB')
('SL04652-2022-11-01-1444','S61-4','FeByjqLpKsod', 'LB')
('AC22517-2022-11-01-1439','A80-17','wWQYZimc', 'SL')
('AC22517-2022-11-02-1460','A82-2','zlEtvJ', 'LB')
('AC22517-2022-11-01-1440','A80-18','YLH', 'SU')
('AC04652-2022-11-01-1489','A83-13','ZCkwALvyAJ', 'LB')
('SL04652-2022-11-01-1448','S61-8','YramHWwjUuhb', 'SU')
('AC22517-2022-11-01-1495','A84-1','nhq', 'LB')
('SL12058-2022-11-01-1473','S62-9','eYTfxcNnIEg', 'LB')
('SL22517-2022-11-01-1527','S64-15','tJTeIwF', 'SL')
('SL04652-2022-11-01-1503','S63-15','cfWNpT', 'SL')
('SL22517-2022-11-02-1509','S63-21','GohhKft', 'MB')
('SL04652-2022-11-01-1515','S64-3','EGnJfERrbs', 'UB')
('SL04652-2022-11-02-1524','S64-12','hCitKPtc', 'LB')
('AC04652-2022-11-01-1544','A86-14','LBdAKThyMygQqvB', 'LB')
('AC12058-2022-11-01-1497','A84-3','yUYvZkrrb', 'UB')
('AC22517-2022-11-02-1522','A85-10','ZBGclVOkKrVtm', 'UB')
('AC04652-2022-11-01-1547','A86-17','lHCdlfPeqG', 'SL')
('AC22517-2022-11-02-1525','A85-13','TXybdXWEkUJhV', 'LB')
('AC22517-2022-11-01-1516','A85-4','VvHJfWlHz', 'UB')
('AC22517-2022-11-02-1527','A85-15','fVD', 'UB')
('AC12058-2022-11-01-1507','A84-13','bpPvYaSCpyFKpAGo', 'LB')
('SL04652-2022-11-01-1523','S64-11','Ggg', 'UB')
('SL22517-2022-11-02-1525','S64-13','jX', 'MB')
('AC04652-2022-11-02-1552','A87-4','CbNNzzGJQjdAF', 'UB')
('AC22517-2022-11-01-1522','A85-10','PsJsFaFAfkiIj', 'UB')
('SL22517-2022-11-02-1527','S64-15','y', 'SL')
('AC04652-2022-11-02-1553','A87-5','HlvPyekJRAlc', 'SL')
('AC22517-2022-11-02-1569','A88-3','xcYaADClNLdDmt', 'UB')
('AC04652-2022-11-02-1590','A89-6','qEeFgxQj', 'SU')
('SL12058-2022-11-01-1536','S64-24','Ya', 'SU')
('AC12058-2022-11-01-1552','A87-4','THBLqDw', 'UB')
('AC04652-2022-11-01-1606','A90-4','sV', 'UB')
('SL04652-2022-11-01-1565','S66-5','Oe', 'MB')
('AC12058-2022-11-01-1557','A87-9','ium', 'UB')
('SL12058-2022-11-01-1550','S65-14','nhsyjpIuUmMGO', 'UB')
('AC22517-2022-11-02-1588','A89-4','tatOvfC', 'UB')
('SL22517-2022-11-01-1599','S67-15','OTmz', 'SL')
('AC04652-2022-11-02-1612','A90-10','AICZ', 'UB')
('SL22517-2022-11-02-1580','S66-20','jzNBzxUouSBW', 'LB')
('SL12058-2022-11-01-1560','S65-24','LSHiMezz', 'SU')
('SL22517-2022-11-02-1582','S66-22','wwgOiqaSZwmZaitU', 'UB')
('AC12058-2022-11-01-1572','A88-6','OzwfobdVcGB', 'SU')
('SL04652-2022-11-01-1612','S68-4','FjA', 'LB')
('SL04652-2022-11-02-1612','S68-4','XDplKIcgEkdmdI', 'LB')
('SL22517-2022-11-01-1636','S69-4','VkbJdLBlXUMvP', 'LB')
('AC04652-2022-11-02-1644','A92-6','adetKpkNhNmN', 'SU')
('AC04652-2022-11-02-1649','A92-11','Jha', 'SL')
('AC22517-2022-11-01-1645','A92-7','SYb', 'LB')
('SL22517-2022-11-02-1625','S68-17','zAemPuuBYjTPDL', 'LB')
('AC12058-2022-11-01-1619','A90-17','bOoqavphbGvibGa', 'SL')
('SL22517-2022-11-01-1649','S69-17','fTFjJL', 'LB')
('SL12058-2022-11-01-1599','S67-15','Vg', 'SL')
('SL04652-2022-11-01-1642','S69-10','dlFs', 'MB')
('AC22517-2022-11-02-1641','A92-3','toXanGbB', 'UB')
('SL12058-2022-11-01-1608','S67-24','jGFefugBLrYXpD', 'SU')
('AC04652-2022-11-02-1672','A93-16','MaeXcViReqb', 'UB')
('AC22517-2022-11-02-1649','A92-11','ulgt', 'SL')
('AC04652-2022-11-02-1673','A93-17','SZRyFiFufxcp', 'SL')
('AC22517-2022-11-01-1672','A93-16','setj', 'UB')
('AC22517-2022-11-01-1673','A93-17','ZPBJaFdNTH', 'SL')
('SL04652-2022-11-02-1657','S70-1','ulEkDEdZRmOSTNFT', 'LB')
('SL04652-2022-11-01-1653','S69-21','UwGyuGc', 'MB')
('AC22517-2022-11-02-1660','A93-4','AdzwFR', 'UB')
('AC22517-2022-11-01-1690','A94-16','xskaxWMgfM', 'UB')
('AC04652-2022-11-02-1685','A94-11','KMmjZgDJvJH', 'SL')
('SL04652-2022-11-02-1673','S70-17','xX', 'LB')
('AC04652-2022-11-02-1688','A94-14','MtBiARUbCokOP', 'LB')
('SL22517-2022-11-02-1662','S70-6','prexKoZHJCaAhNUh', 'UB')
('SL22517-2022-11-01-1682','S71-2','stiKGKAHcojVkzn', 'MB')
('AC04652-2022-11-01-1732','A97-4','pbYcUrXuxqNIkl', 'UB')
('SL12058-2022-11-01-1650','S69-18','OwyDzopFBqaye', 'MB')
('AC12058-2022-11-01-1656','A92-18','q', 'SU')
('AC04652-2022-11-01-1744','A97-16','EbtaoSJkVFYwme', 'UB')
('SL22517-2022-11-02-1680','S70-24','EwPwlZKidPtmTdiJ', 'SU')
('SL22517-2022-11-01-1697','S71-17','cokmRnOvER', 'LB')
('AC04652-2022-11-01-1748','A98-2','EJs', 'LB')
('AC22517-2022-11-02-1694','A95-2','MjKeQRP', 'LB')
('AC04652-2022-11-01-1753','A98-7','Ygah', 'LB')
('SL12058-2022-11-01-1667','S70-11','o', 'UB')
('AC04652-2022-11-02-1717','A96-7','qTvcN', 'LB')
('SL04652-2022-11-01-1692','S71-12','vllRHhynT', 'LB')
('AC22517-2022-11-02-1706','A95-14','p', 'LB')
('AC12058-2022-11-01-1680','A94-6','JDJuWPHtmeVRtCN', 'SU')
('AC04652-2022-11-01-1761','A98-15','vowZIH', 'UB')
('SL04652-2022-11-02-1713','S72-9','XRpPRaggaYyGfLfr', 'LB')
('AC12058-2022-11-01-1685','A94-11','TbGXEfiXBJaSlYbz', 'SL')
('AC22517-2022-11-01-1736','A97-8','SVPSjtbZQDulJ', 'LB')
('SL04652-2022-11-02-1753','S74-1','vMqeJNZfP', 'LB')
('SL04652-2022-11-01-1743','S73-15','blbXqdRkqtj', 'SL')
('SL04652-2022-11-01-1744','S73-16','AtCPENpibVfbs', 'SU')
('AC22517-2022-11-01-1787','A100-5','BWrWpfnpmtSwzn', 'SL')
('SL12058-2022-11-01-1713','S72-9','IDHVpsWPa', 'LB')
('AC04652-2022-11-01-1812','A101-12','aEkzFPBvLaY', 'SU')
('SL22517-2022-11-01-1760','S74-8','sVSpDpNtpzu', 'SU')
('SL12058-2022-11-01-1719','S72-15','o', 'SL')
('AC04652-2022-11-02-1775','A99-11','XJv', 'SL')
('SL04652-2022-11-01-1755','S74-3','YauWjsKSmUnqs', 'UB')
('AC04652-2022-11-02-1779','A99-15','wvwlASaCas', 'UB')
('AC04652-2022-11-01-1823','A102-5','IhkQIHvTVjO', 'SL')
('SL22517-2022-11-01-1766','S74-14','dD', 'UB')
('AC22517-2022-11-02-1758','A98-12','ZTsJ', 'SU')
('SL22517-2022-11-01-1770','S74-18','z', 'MB')
('SL04652-2022-11-01-1760','S74-8','dRJCMEXKgdfakqoP', 'SU')
('AC22517-2022-11-01-1801','A101-1','FUBDxWcrev', 'LB')
('AC22517-2022-11-02-1760','A98-14','aMNk', 'LB')
('AC04652-2022-11-02-1786','A100-4','tE', 'UB')
('AC22517-2022-11-01-1805','A101-5','avSDlPHQUHnOI', 'SL')
('AC04652-2022-11-01-1830','A102-12','JU', 'SU')
('SL12058-2022-11-01-1733','S73-5','VQnXKs', 'MB')
('AC04652-2022-11-02-1794','A100-12','Lwey', 'SU')
('AC22517-2022-11-02-1767','A99-3','NKIIQorAnAKvwT', 'UB')
('SL04652-2022-11-01-1771','S74-19','AMyHGhkfNNz', 'UB')
('SL04652-2022-11-02-1779','S75-3','kqEGADjZREPRwE', 'UB')
('SL04652-2022-11-01-1774','S74-22','PZkDzeBgKvnW', 'UB')
('AC12058-2022-11-01-1758','A98-12','L', 'SU')
('SL12058-2022-11-01-1739','S73-11','kwRwUUOrDDo', 'UB')
('SL04652-2022-11-02-1786','S75-10','j', 'MB')
('SL22517-2022-11-01-1794','S75-18','yZcuRZAroZblEB', 'MB')
('SL04652-2022-11-01-1783','S75-7','XDi', 'SL')
('SL12058-2022-11-01-1743','S73-15','TfREvyPd', 'SL')
('AC04652-2022-11-02-1812','A101-12','FuMuQWy', 'SU')
('AC22517-2022-11-01-1830','A102-12','EJEobTCsIIs', 'SU')
('SL12058-2022-11-01-1765','S74-13','cDevyypt', 'MB')
('AC22517-2022-11-02-1792','A100-10','MGxRGjVZU', 'UB')
('AC22517-2022-11-01-1842','A103-6','fgYv', 'SU')
('SL22517-2022-11-01-1818','S76-18','hbLUl', 'MB')
('SL12058-2022-11-01-1772','S74-20','rvfVDlR', 'LB')
('SL22517-2022-11-01-1821','S76-21','MDvWnXtGa', 'MB')
('SL22517-2022-11-01-1822','S76-22','kfuEZRqqQhnl', 'UB')
('SL22517-2022-11-02-1795','S75-19','w', 'UB')
('AC04652-2022-11-01-1874','A105-2','nOQJ', 'LB')
('SL22517-2022-11-02-1797','S75-21','xikTDslUKxDamsh', 'MB')
('AC22517-2022-11-01-1847','A103-11','Y', 'SL')
('SL22517-2022-11-02-1799','S75-23','KnKoSvHMDqYe', 'SL')
('AC04652-2022-11-01-1878','A105-6','EHRCEVqTDNu', 'SU')
('AC22517-2022-11-02-1802','A101-2','ld', 'LB')
('SL12058-2022-11-01-1783','S75-7','BQsGoSrwo', 'SL')
('SL22517-2022-11-01-1828','S77-4','HyHUaoFYfQZMIJqB', 'LB')
('AC22517-2022-11-01-1849','A103-13','bjTiiHFlG', 'LB')
('SL12058-2022-11-01-1784','S75-8','Xj', 'SU')
('SL04652-2022-11-01-1816','S76-16','ydVvXMwYJVENQpU', 'SU')
('AC22517-2022-11-01-1851','A103-15','ImfMujYCzz', 'UB')
('SL12058-2022-11-01-1787','S75-11','hwgVDazb', 'UB')
('SL22517-2022-11-02-1806','S76-6','BZE', 'UB')
('SL22517-2022-11-01-1831','S77-7','KModYKaZOdajHIm', 'SL')
('AC04652-2022-11-01-1882','A105-10','DiKMtOQxhBf', 'UB')
('AC22517-2022-11-02-1808','A101-8','hebBBoPZpMEaxElZ', 'LB')
('AC22517-2022-11-01-1856','A104-2','qhChxL', 'LB')
('SL12058-2022-11-01-1804','S76-4','VtWLqMI', 'LB')
('AC04652-2022-11-01-1894','A106-4','CraDOnWuqltJ', 'UB')
('AC22517-2022-11-02-1821','A102-3','niBdHHQmzaHv', 'UB')
('SL12058-2022-11-01-1805','S76-5','K', 'MB')
('AC12058-2022-11-01-1823','A102-5','JzLQiICcK', 'SL')
('AC12058-2022-11-01-1824','A102-6','DNVRlcjFabdl', 'SU')
('SL04652-2022-11-01-1831','S77-7','Q', 'SL')
('SL22517-2022-11-02-1824','S76-24','SRrNhXieNOITt', 'SU')
('SL04652-2022-11-02-1842','S77-18','luLdYsDawtwP', 'MB')
('SL22517-2022-11-02-1828','S77-4','CzGbBGurALV', 'LB')
('SL22517-2022-11-01-1849','S78-1','GaSRUONXoPl', 'LB')
('AC04652-2022-11-02-1850','A103-14','WjJBACcVQerIvYS', 'LB')
('SL22517-2022-11-02-1831','S77-7','f', 'SL')
('AC22517-2022-11-02-1827','A102-9','QnVFrHctKKPKpH', 'UB')
('SL22517-2022-11-01-1851','S78-3','oFSsMJMOfw', 'UB')
('AC22517-2022-11-01-1873','A105-1','UthknXbDWFXKw', 'LB')
('SL12058-2022-11-01-1815','S76-15','uscw', 'SL')
('AC04652-2022-11-01-1909','A107-1','CGKtl', 'LB')
('AC12058-2022-11-01-1831','A102-13','zmawxcWhcMzyt', 'LB')
