('AC04652-2022-11-02-10','A1-10','yCMMMPySpqVv', 'UB')
('SL22517-2022-11-02-24','S1-24','qQERKCLlcrDAenCI', 'SU')
('AC22517-2022-11-01-16','A1-16','wRBFSzniJT', 'UB')
('SL04652-2022-11-02-25','S2-1','PpnaiHgWGyOKQgwn', 'LB')
('AC04652-2022-11-01-31','A2-13','OXWDYnMldY', 'LB')
('SL22517-2022-11-02-37','S2-13','SVWy', 'MB')
('AC22517-2022-11-02-35','A2-17','MsfQzLkUMl', 'SL')
('SL22517-2022-11-01-39','S2-15','vFFWkxOUVz', 'SL')
('AC22517-2022-11-01-32','A2-14','sG', 'LB')
('SL12058-2022-11-01-55','S3-7','QtSgPMLqWkyCKKWt', 'SL')
('AC12058-2022-11-01-54','A3-18','jCJbOeBdBcgLr', 'SU')
('SL04652-2022-11-01-45','S2-21','JoYXSFwhDv', 'MB')
('AC22517-2022-11-02-52','A3-16','QMviZj', 'UB')
('AC22517-2022-11-02-53','A3-17','hqmSLuoNRjR', 'SL')
('SL12058-2022-11-01-58','S3-10','UKLAZtegPfdbSZ', 'MB')
('AC22517-2022-11-02-55','A4-1','Vh', 'LB')
('SL12058-2022-11-01-90','S4-18','gwz', 'MB')
('AC22517-2022-11-01-97','A6-7','ZEV', 'LB')
('SL04652-2022-11-01-89','S4-17','FMaduuXIARbnOR', 'LB')
('SL22517-2022-11-02-89','S4-17','MBTQqZL', 'LB')
('SL22517-2022-11-01-98','S5-2','aDdvkCYCssvlWwHf', 'MB')
('AC22517-2022-11-01-119','A7-11','wmMLmLDMdK', 'SL')
('SL12058-2022-11-01-118','S5-22','lRx', 'UB')
('SL04652-2022-11-02-98','S5-2','imONLPbxmEcc', 'MB')
('SL22517-2022-11-01-107','S5-11','mrEHB', 'UB')
('AC12058-2022-11-01-123','A7-15','bqSpxIQhyIC', 'UB')
('AC22517-2022-11-02-128','A8-2','PMc', 'LB')
('SL22517-2022-11-01-113','S5-17','nwLtzVDGOZGlsb', 'LB')
('AC22517-2022-11-02-131','A8-5','BHQbkSma', 'SL')
('AC12058-2022-11-01-132','A8-6','rd', 'SU')
('SL12058-2022-11-01-136','S6-16','ldT', 'SU')
('SL04652-2022-11-02-110','S5-14','BqXUBMuntaBLX', 'UB')
('SL22517-2022-11-01-118','S5-22','HrsKMAdbelihbAX', 'UB')
