('AC22517-2022-11-02-10','A1-10','Hc', 'UB')
('SL04652-2022-11-02-12','S1-12','DKtxnoHQYszrC', 'LB')
('SL22517-2022-11-02-65','S3-17','JDoh', 'LB')
('AC04652-2022-11-01-62','A4-8','tQtfawAxOsjDnVz', 'LB')
('SL22517-2022-11-02-67','S3-19','lTMAqEDcjgfpNb', 'UB')
('SL12058-2022-11-01-117','S5-21','C', 'MB')
('SL22517-2022-11-01-105','S5-9','f', 'LB')
('AC04652-2022-11-01-112','A7-4','tBQSpdKcPMm', 'UB')
('AC04652-2022-11-01-113','A7-5','wObwczOjLWdDtQU', 'SL')
('SL04652-2022-11-01-113','S5-17','nibVnmaHCkB', 'LB')
('AC12058-2022-11-01-122','A7-14','rnoZbfs', 'LB')
('SL22517-2022-11-02-115','S5-19','lViHDzj', 'UB')
('SL22517-2022-11-01-111','S5-15','ZiCt', 'SL')
('SL12058-2022-11-01-134','S6-14','QyuFUSHXStz', 'UB')
('SL22517-2022-11-02-122','S6-2','bfyyxajRqtU', 'MB')
('SL22517-2022-11-02-123','S6-3','xvkRB', 'UB')
('AC04652-2022-11-01-121','A7-13','xHuSBVZNPzaEyfEN', 'LB')
('AC04652-2022-11-01-122','A7-14','SeMSjxYObacvAWmm', 'LB')
('SL04652-2022-11-02-134','S6-14','wPYCmAYMWwBmAPv', 'UB')
('AC04652-2022-11-01-148','A9-4','ONutUrLXOWU', 'UB')
('SL04652-2022-11-01-157','S7-13','xtrOacKidAgMHZXI', 'MB')
('SL04652-2022-11-01-158','S7-14','Vt', 'UB')
('AC22517-2022-11-01-165','A10-3','PctZ', 'UB')
('SL22517-2022-11-02-166','S7-22','uTUtQhWCUG', 'UB')
('SL04652-2022-11-02-137','S6-17','qL', 'LB')
('SL12058-2022-11-01-170','S8-2','jArMRkz', 'MB')
('AC22517-2022-11-02-176','A10-14','iKIjeoIRnFVwC', 'LB')
('SL22517-2022-11-02-173','S8-5','ddvaszeKjJ', 'MB')
('SL04652-2022-11-01-167','S7-23','mhLxSAqPIERev', 'SL')
('SL12058-2022-11-01-172','S8-4','iNCDyFvqtInR', 'LB')
('SL22517-2022-11-01-187','S8-19','zvNRXEBRMTW', 'UB')
('SL04652-2022-11-02-156','S7-12','LIJf', 'LB')
('AC22517-2022-11-01-184','A11-4','pyVyukvgvEwtRX', 'UB')
('AC22517-2022-11-01-185','A11-5','IpfvScCITLUd', 'SL')
('AC12058-2022-11-01-191','A11-11','VPLcuFr', 'SL')
('SL04652-2022-11-01-182','S8-14','LkfS', 'UB')
('AC04652-2022-11-01-195','A11-15','M', 'UB')
('AC04652-2022-11-01-209','A12-11','ipsBPnXTryCK', 'SL')
('SL04652-2022-11-02-169','S8-1','IzMibOZNv', 'LB')
('AC12058-2022-11-01-206','A12-8','M', 'LB')
('SL22517-2022-11-01-210','S9-18','z', 'MB')
('SL04652-2022-11-01-202','S9-10','WrKpdaJFgAhpXAN', 'MB')
('AC22517-2022-11-01-212','A12-14','ttTrzblHyaTNHd', 'LB')
('SL04652-2022-11-01-204','S9-12','mqwnbiUXSsUrmD', 'LB')
('AC22517-2022-11-01-213','A12-15','ZZC', 'UB')
('SL22517-2022-11-01-212','S9-20','vRCSSctzNK', 'LB')
('SL22517-2022-11-01-213','S9-21','ngVyYOFOIcZ', 'MB')
('AC04652-2022-11-02-190','A11-10','KbQMIDaM', 'UB')
('SL22517-2022-11-02-212','S9-20','avfxW', 'LB')
('SL04652-2022-11-01-209','S9-17','zOqJvQgVk', 'LB')
('AC12058-2022-11-01-213','A12-15','B', 'UB')
('SL22517-2022-11-01-215','S9-23','IhClrQdZdI', 'SL')
('AC22517-2022-11-02-268','A15-16','cevNYtnfwws', 'UB')
('AC04652-2022-11-02-238','A14-4','rWCNMYpd', 'UB')
('AC22517-2022-11-02-322','A18-16','d', 'UB')
('AC12058-2022-11-01-312','A18-6','DUHqULFzETlT', 'SU')
('SL22517-2022-11-01-309','S13-21','XOP', 'MB')
('SL22517-2022-11-01-310','S13-22','NZBaRWOM', 'UB')
('SL04652-2022-11-01-302','S13-14','rwcAwJmZLrNazfC', 'UB')
('SL04652-2022-11-01-303','S13-15','gBjhjGDkop', 'SL')
('SL12058-2022-11-01-315','S14-3','tEYNncDZtRLceum', 'UB')
('AC04652-2022-11-02-308','A18-2','rbiZWCISvHew', 'LB')
('AC22517-2022-11-02-345','A20-3','pEFWXE', 'UB')
('AC12058-2022-11-01-329','A19-5','QmsrecnoKsAUFqw', 'SL')
('AC04652-2022-11-02-310','A18-4','gdluTuPHD', 'UB')
('SL22517-2022-11-01-399','S17-15','JvgviyGUiWeHi', 'SL')
('SL22517-2022-11-02-374','S16-14','D', 'UB')
('AC04652-2022-11-02-395','A22-17','WHYAEOLXhR', 'SL')
('AC12058-2022-11-01-417','A24-3','LxzofDXbCJayBpA', 'UB')
('SL04652-2022-11-02-356','S15-20','PKSivQSczl', 'LB')
('SL04652-2022-11-02-359','S15-23','Gdi', 'SL')
('AC22517-2022-11-01-363','A21-3','ONQhJmS', 'UB')
('SL22517-2022-11-02-379','S16-19','we', 'UB')
('SL04652-2022-11-01-387','S17-3','oceUu', 'UB')
('SL12058-2022-11-01-420','S18-12','zCCKwdsA', 'LB')
('AC04652-2022-11-01-422','A24-8','jJmSe', 'LB')
('AC04652-2022-11-01-426','A24-12','OmKpImfOPXm', 'SU')
('AC22517-2022-11-01-371','A21-11','ztZisUi', 'SL')
('AC04652-2022-11-01-431','A24-17','bflZtURdRujhH', 'SL')
('AC22517-2022-11-01-376','A21-16','oSaR', 'UB')
('SL04652-2022-11-01-400','S17-16','T', 'SU')
('SL22517-2022-11-01-414','S18-6','oJW', 'UB')
('AC12058-2022-11-01-431','A24-17','oXdsDwoYRzMgI', 'SL')
('AC04652-2022-11-01-434','A25-2','zEYOLuWZW', 'LB')
('SL04652-2022-11-02-375','S16-15','QDFpjpSWrq', 'SL')
('SL22517-2022-11-02-392','S17-8','aQpFW', 'SU')
('SL04652-2022-11-02-376','S16-16','fUxI', 'SU')
('SL22517-2022-11-02-393','S17-9','thkJdCEUcNFjFtI', 'LB')
('SL04652-2022-11-01-406','S17-22','XFHHYb', 'UB')
('SL04652-2022-11-02-378','S16-18','YlCbXpmQB', 'MB')
('AC04652-2022-11-01-436','A25-4','iPxbErRFOOA', 'UB')
('AC22517-2022-11-01-383','A22-5','OBIctqiLRANp', 'SL')
('AC22517-2022-11-02-454','A26-4','VUFSajLIh', 'UB')
('AC22517-2022-11-02-455','A26-5','EUvXEyMFiPR', 'SL')
('AC04652-2022-11-02-425','A24-11','nDZuwZDRUEn', 'SL')
('SL04652-2022-11-02-382','S16-22','UwNwipaHIqKxHcG', 'UB')
('SL04652-2022-11-02-387','S17-3','rPQl', 'UB')
('SL04652-2022-11-02-390','S17-6','hU', 'UB')
('AC04652-2022-11-01-441','A25-9','bPVPVIAYb', 'UB')
('SL22517-2022-11-01-422','S18-14','mmh', 'UB')
('SL22517-2022-11-02-409','S18-1','FaCfjXMswCi', 'LB')
('AC12058-2022-11-01-439','A25-7','qexs', 'LB')
('AC22517-2022-11-02-460','A26-10','rsvsYsJTncEulDs', 'UB')
('AC04652-2022-11-02-430','A24-16','xOJLoOXX', 'UB')
('AC22517-2022-11-02-461','A26-11','JFlWLW', 'SL')
('AC22517-2022-11-01-390','A22-12','tXK', 'SU')
('SL04652-2022-11-01-415','S18-7','trwaGdHFxewrz', 'SL')
('AC22517-2022-11-01-391','A22-13','nJUSiBBewMZSrqOH', 'LB')
('SL04652-2022-11-01-416','S18-8','RiJRQc', 'SU')
('SL04652-2022-11-02-395','S17-11','Q', 'UB')
('SL04652-2022-11-01-418','S18-10','jPoFHqFW', 'MB')
('SL12058-2022-11-01-442','S19-10','x', 'MB')
('AC12058-2022-11-01-448','A25-16','NwFuvQyc', 'UB')
('SL04652-2022-11-01-421','S18-13','latKpvXqxhmH', 'MB')
('SL22517-2022-11-02-416','S18-8','LVKft', 'SU')
('AC04652-2022-11-01-450','A25-18','EFBFTO', 'SU')
('AC04652-2022-11-02-435','A25-3','bil', 'UB')
('AC12058-2022-11-01-453','A26-3','KcZdjbO', 'UB')
('AC04652-2022-11-02-436','A25-4','jxePUzHkwtj', 'UB')
('SL22517-2022-11-02-419','S18-11','G', 'UB')
('AC04652-2022-11-01-453','A26-3','ZWkBqRbjSfs', 'UB')
('SL04652-2022-11-01-424','S18-16','DkOGA', 'SU')
('SL22517-2022-11-02-424','S18-16','oT', 'SU')
('AC04652-2022-11-02-442','A25-10','qDeYGPSklPrsr', 'UB')
('SL04652-2022-11-01-427','S18-19','jiwaQXeVzEH', 'UB')
('AC04652-2022-11-02-444','A25-12','ojDOkSjCsLue', 'SU')
('SL12058-2022-11-01-447','S19-15','kbxmnvLzMpGT', 'SL')
('SL12058-2022-11-01-448','S19-16','WJkjuSmPVEdmN', 'SU')
('AC04652-2022-11-02-446','A25-14','fiTrTpwN', 'LB')
('AC12058-2022-11-01-461','A26-11','NxJIwpCPLfJn', 'SL')
('AC04652-2022-11-01-459','A26-9','fgtJGFH', 'UB')
('AC04652-2022-11-01-460','A26-10','nENZQYbhSQw', 'UB')
('AC12058-2022-11-01-463','A26-13','EhhL', 'LB')
('SL04652-2022-11-01-432','S18-24','VhQpYCpavPxH', 'SU')
('AC22517-2022-11-01-403','A23-7','zFXgyIANRxomGbVC', 'LB')
('SL22517-2022-11-01-431','S18-23','RMkcauq', 'SL')
('SL04652-2022-11-01-471','S20-15','xo', 'SL')
('SL12058-2022-11-01-482','S21-2','dIdOIuJwmeNRSUFp', 'MB')
('SL04652-2022-11-02-438','S19-6','rWGRe', 'UB')
('AC04652-2022-11-02-494','A28-8','rmfgoGRujgZo', 'LB')
('SL04652-2022-11-01-473','S20-17','qkw', 'LB')
('SL22517-2022-11-01-474','S20-18','mHeSCoEYcz', 'MB')
('SL04652-2022-11-02-449','S19-17','odNJdDxkhEavbDa', 'LB')
('SL04652-2022-11-02-450','S19-18','IbuTdfK', 'MB')
('SL04652-2022-11-02-452','S19-20','OHQ', 'LB')
('AC04652-2022-11-01-504','A28-18','zrHINzz', 'SU')
('AC12058-2022-11-01-522','A29-18','oYaLtvZw', 'SU')
('AC12058-2022-11-01-523','A30-1','FGUTHupMILHC', 'LB')
('AC22517-2022-11-01-461','A26-11','WGvITaOjNqlCK', 'SL')
('AC22517-2022-11-02-551','A31-11','TTrpobUb', 'SL')
('SL04652-2022-11-02-476','S20-20','WgsikCPHwrVO', 'LB')
('SL22517-2022-11-02-503','S21-23','aixkbGCU', 'SL')
('SL04652-2022-11-02-477','S20-21','gtXmXHOh', 'MB')
('SL12058-2022-11-01-510','S22-6','nhIKVqPAz', 'UB')
('SL04652-2022-11-01-498','S21-18','ESOwK', 'MB')
('SL04652-2022-11-01-499','S21-19','wE', 'UB')
('AC12058-2022-11-01-547','A31-7','eBeLNGsGWm', 'LB')
('SL12058-2022-11-01-514','S22-10','VEj', 'MB')
('AC22517-2022-11-01-467','A26-17','evDxnxu', 'SL')
('AC04652-2022-11-01-524','A30-2','E', 'LB')
('AC04652-2022-11-02-529','A30-7','azmOidET', 'LB')
('SL22517-2022-11-01-512','S22-8','IwQzOiDGop', 'SU')
('AC12058-2022-11-01-554','A31-14','atvRNNPk', 'LB')
('AC22517-2022-11-02-569','A32-11','SlBVrGUvPUZzkE', 'SL')
('SL22517-2022-11-01-577','S25-1','ZfGECuTDccuz', 'LB')
('SL04652-2022-11-01-566','S24-14','euPO', 'UB')
('AC04652-2022-11-02-584','A33-8','pk', 'LB')
('SL22517-2022-11-01-581','S25-5','fZcaIZX', 'MB')
('SL22517-2022-11-01-624','S26-24','Fpql', 'SU')
('SL04652-2022-11-01-613','S26-13','pW', 'MB')
('AC12058-2022-11-01-632','A36-2','gPqduxZrJuyXy', 'LB')
('AC22517-2022-11-01-565','A32-7','ZwQG', 'LB')
('SL04652-2022-11-02-564','S24-12','kiC', 'LB')
('SL04652-2022-11-02-565','S24-13','Ioz', 'MB')
('AC04652-2022-11-01-617','A35-5','xHrGOXCeQ', 'SL')
('SL22517-2022-11-02-603','S26-3','hyS', 'UB')
('AC22517-2022-11-02-692','A39-8','yLRRtnrJWpkqCz', 'LB')
('SL04652-2022-11-02-610','S26-10','fehyFuwEqGobzrlQ', 'MB')
('AC22517-2022-11-02-694','A39-10','bvEDjRGgAjcz', 'UB')
