('SL22517-2022-11-01-3','S1-3','aGlHy', 'UB')
('AC12058-2022-11-01-10','A1-10','LpqXQpgxRlQe', 'UB')
('SL22517-2022-11-01-8','S1-8','mWtPVUGVfJNsYFu', 'SU')
('AC04652-2022-11-02-8','A1-8','zybwgvIJCCt', 'LB')
('AC12058-2022-11-01-18','A1-18','IagbMcaluRCMYz', 'SU')
('SL12058-2022-11-01-10','S1-10','t', 'MB')
('AC04652-2022-11-02-16','A1-16','NyAETbSCz', 'UB')
('SL22517-2022-11-02-18','S1-18','N', 'MB')
('SL12058-2022-11-01-16','S1-16','yVrsKdEryOXxuGb', 'SU')
('SL22517-2022-11-02-32','S2-8','ReJSUvXiIgb', 'SU')
('AC22517-2022-11-01-28','A2-10','SMsLiwm', 'UB')
('SL22517-2022-11-01-40','S2-16','kbeaFwHBUjo', 'SU')
('SL22517-2022-11-02-74','S4-2','UiFudxJKvVSjG', 'MB')
('AC22517-2022-11-01-73','A5-1','RR', 'LB')
('SL04652-2022-11-02-70','S3-22','e', 'UB')
('SL04652-2022-11-01-74','S4-2','p', 'MB')
('AC04652-2022-11-02-69','A4-15','JAgnCFqkLuMPiSf', 'UB')
('AC04652-2022-11-02-71','A4-17','HYIy', 'SL')
('AC22517-2022-11-02-82','A5-10','gpRJn', 'UB')
('AC22517-2022-11-02-83','A5-11','rgs', 'SL')
('AC22517-2022-11-02-84','A5-12','DofMjHiGyX', 'SU')
('SL12058-2022-11-01-89','S4-17','nAILIX', 'LB')
('SL22517-2022-11-01-101','S5-5','OqqjSBvGnUjCflyJ', 'MB')
('SL04652-2022-11-01-111','S5-15','AKv', 'SL')
('AC22517-2022-11-02-125','A7-17','XuB', 'SL')
('AC12058-2022-11-01-121','A7-13','fJmILPkRJgSRvz', 'LB')
('SL04652-2022-11-01-118','S5-22','qKAfqlEwrR', 'UB')
('AC12058-2022-11-01-126','A7-18','XBMFvPeASkxc', 'SU')
('AC04652-2022-11-01-118','A7-10','geaQklKpnbsmmlq', 'UB')
('SL04652-2022-11-02-105','S5-9','TctCOinfV', 'LB')
('AC12058-2022-11-01-130','A8-4','hnPYTzkqcsCErlhC', 'UB')
('SL04652-2022-11-02-106','S5-10','LyHuhnJPnXQkIsG', 'MB')
('AC04652-2022-11-02-129','A8-3','xLJRGHHTdiktmlt', 'UB')
('AC04652-2022-11-01-139','A8-13','Jnzm', 'LB')
('AC04652-2022-11-01-140','A8-14','lnmkrBEsd', 'LB')
('SL22517-2022-11-02-146','S7-2','r', 'MB')
('AC22517-2022-11-01-147','A9-3','RUqCLQYVsDHTuJrG', 'UB')
('SL04652-2022-11-02-130','S6-10','QxAnsfkxuLXRMYJ', 'MB')
('SL22517-2022-11-02-159','S7-15','VLCWgSHAQJfoykf', 'SL')
('AC04652-2022-11-01-150','A9-6','tgAct', 'SU')
('AC12058-2022-11-01-166','A10-4','WTcBNvegM', 'UB')
('SL22517-2022-11-01-163','S7-19','ccjr', 'UB')
('AC12058-2022-11-01-167','A10-5','HyVz', 'SL')
('SL22517-2022-11-02-165','S7-21','Y', 'MB')
('AC12058-2022-11-01-168','A10-6','cmyqNbXur', 'SU')
('SL22517-2022-11-02-170','S8-2','cmnyddYwIGtYB', 'MB')
('SL22517-2022-11-02-171','S8-3','Buh', 'UB')
('SL04652-2022-11-01-166','S7-22','kIhNnBaMxmaaPKA', 'UB')
('AC04652-2022-11-02-149','A9-5','QYlydKJDJYezrVyp', 'SL')
('SL12058-2022-11-01-171','S8-3','TCanEpaHKCYiQ', 'UB')
('SL22517-2022-11-02-174','S8-6','NPeFi', 'UB')
('AC22517-2022-11-01-172','A10-10','bRhxel', 'UB')
('SL04652-2022-11-02-141','S6-21','WzeUmpPFjAWprY', 'MB')
('AC04652-2022-11-01-162','A9-18','OQbRZDFlTShre', 'SU')
('AC04652-2022-11-02-185','A11-5','rVN', 'SL')
('SL22517-2022-11-02-203','S9-11','fiEVLRdaULe', 'UB')
('SL04652-2022-11-01-200','S9-8','WCOiIAPPuZ', 'SU')
('AC04652-2022-11-01-286','A16-16','QrbJjGWhbvtTK', 'UB')
('AC04652-2022-11-02-260','A15-8','zXb', 'LB')
('AC12058-2022-11-01-289','A17-1','mIVcXRi', 'LB')
('SL04652-2022-11-02-249','S11-9','CvBcKBbQcpfkZZfi', 'LB')
('SL22517-2022-11-01-275','S12-11','eehSGoahH', 'UB')
('SL04652-2022-11-02-252','S11-12','Pxds', 'LB')
('AC22517-2022-11-02-297','A17-9','vzGUyMUjfg', 'UB')
('AC04652-2022-11-02-268','A15-16','sgoqgRtNtZe', 'UB')
('SL22517-2022-11-02-271','S12-7','sSUzfVMPTWJX', 'SL')
('AC22517-2022-11-01-269','A15-17','HSrqkmFPlksCk', 'SL')
('SL04652-2022-11-01-265','S12-1','jM', 'LB')
('AC22517-2022-11-02-300','A17-12','CuspqvANnjGpjvX', 'SU')
('SL22517-2022-11-02-275','S12-11','WSJaIjyN', 'UB')
('SL22517-2022-11-02-277','S12-13','z', 'MB')
('AC12058-2022-11-01-293','A17-5','mznM', 'SL')
('AC04652-2022-11-02-273','A16-3','TvCNZhJoGNPo', 'UB')
('AC04652-2022-11-01-312','A18-6','EbqOVOHCEyH', 'SU')
('AC04652-2022-11-02-280','A16-10','HZ', 'UB')
('SL04652-2022-11-01-280','S12-16','zJamCGhFV', 'SU')
('SL22517-2022-11-02-282','S12-18','lfcOLr', 'MB')
('SL04652-2022-11-01-282','S12-18','qhPGwghivS', 'MB')
('AC12058-2022-11-01-305','A17-17','OSIJSnearLzr', 'SL')
('SL04652-2022-11-02-266','S12-2','F', 'MB')
('AC22517-2022-11-02-341','A19-17','AOttDPkOugVt', 'SL')
('SL04652-2022-11-02-285','S12-21','Yxd', 'MB')
('AC12058-2022-11-01-327','A19-3','nwUwbQlcQ', 'UB')
('SL12058-2022-11-01-316','S14-4','GIlUsIc', 'LB')
('AC04652-2022-11-02-309','A18-3','bmgdCX', 'UB')
('AC12058-2022-11-01-328','A19-4','NgxugOYCdubTH', 'UB')
('AC22517-2022-11-02-347','A20-5','fPdoiBaYFg', 'SL')
('SL12058-2022-11-01-378','S16-18','bMFxydUGNkvOwKOT', 'MB')
('SL04652-2022-11-01-366','S16-6','gudc', 'UB')
('AC22517-2022-11-02-416','A24-2','ikR', 'LB')
('AC04652-2022-11-01-396','A22-18','GpWpMURXHXl', 'SU')
('SL04652-2022-11-02-338','S15-2','uPt', 'MB')
('SL22517-2022-11-01-382','S16-22','qAlfOKzA', 'UB')
('AC22517-2022-11-02-420','A24-6','fAtEms', 'SU')
('SL22517-2022-11-02-361','S16-1','vXwOTLUblPOGApD', 'LB')
('SL22517-2022-11-01-383','S16-23','KxmflNOVFVeKmVU', 'SL')
('AC12058-2022-11-01-394','A22-16','YSplifYBClol', 'UB')
('SL04652-2022-11-01-371','S16-11','pvuOmrEsJbcQj', 'UB')
('SL04652-2022-11-01-372','S16-12','gcSiKaecBHsJR', 'LB')
('SL22517-2022-11-02-364','S16-4','cxLFXBKm', 'LB')
('AC22517-2022-11-02-421','A24-7','EZd', 'LB')
('SL22517-2022-11-01-387','S17-3','qbfmMaEf', 'UB')
('SL22517-2022-11-02-366','S16-6','pgHfkEPUKBe', 'UB')
('SL04652-2022-11-02-343','S15-7','noeHdPNmEVgWhl', 'SL')
('SL04652-2022-11-01-373','S16-13','zo', 'MB')
('SL12058-2022-11-01-390','S17-6','LodQyGixf', 'UB')
('SL12058-2022-11-01-391','S17-7','KwN', 'SL')
('AC22517-2022-11-02-424','A24-10','dJqdSoPpRKrEyn', 'UB')
('SL04652-2022-11-01-376','S16-16','kRrWsFGgLSq', 'SU')
('AC04652-2022-11-01-404','A23-8','HjlBWayQEOixUUcY', 'LB')
('AC12058-2022-11-01-403','A23-7','szNElAM', 'LB')
('SL22517-2022-11-01-390','S17-6','jxfbt', 'UB')
('SL04652-2022-11-01-377','S16-17','kNWTwjlHetAsuyte', 'LB')
('SL12058-2022-11-01-395','S17-11','WOOhWmrmVqo', 'UB')
('SL04652-2022-11-02-351','S15-15','ytMT', 'SL')
('SL04652-2022-11-01-379','S16-19','JdhxhWBR', 'UB')
('AC22517-2022-11-01-358','A20-16','DzdskJsNnR', 'UB')
('SL22517-2022-11-02-373','S16-13','qEkfOyifDwoTVaDG', 'MB')
('AC22517-2022-11-02-435','A25-3','ZO', 'UB')
('AC22517-2022-11-02-436','A25-4','fFLBnZYGj', 'UB')
('SL12058-2022-11-01-410','S18-2','eZKsUk', 'MB')
('AC22517-2022-11-02-440','A25-8','uKuVmNllRlZ', 'LB')
('SL22517-2022-11-02-380','S16-20','SBDIoGGIqZpqU', 'LB')
('AC04652-2022-11-01-412','A23-16','OOrfMwvdcOFFqf', 'UB')
('SL04652-2022-11-02-362','S16-2','ACuYbyArZRGl', 'MB')
('AC04652-2022-11-02-404','A23-8','EpRcEQisTWbgw', 'LB')
('SL04652-2022-11-01-390','S17-6','pdr', 'UB')
('AC04652-2022-11-02-406','A23-10','wyz', 'UB')
('AC04652-2022-11-02-407','A23-11','nRosDVODhryI', 'SL')
('SL22517-2022-11-02-382','S16-22','WBZrebBuFkLK', 'UB')
('AC12058-2022-11-01-424','A24-10','rjlXEf', 'UB')
('SL22517-2022-11-02-384','S16-24','RZBhYQy', 'SU')
('SL04652-2022-11-02-370','S16-10','dYMjCZrkWS', 'MB')
('SL22517-2022-11-02-385','S17-1','bsJzYM', 'LB')
('AC22517-2022-11-02-446','A25-14','GC', 'LB')
('AC22517-2022-11-01-369','A21-9','nMJiQhPFxoFJaM', 'UB')
('AC04652-2022-11-01-427','A24-13','dmFWn', 'LB')
('AC22517-2022-11-01-373','A21-13','qNRGOrBRZO', 'LB')
('AC22517-2022-11-01-374','A21-14','hcBxxrZdLdTCk', 'LB')
('AC22517-2022-11-01-377','A21-17','YftJRVLt', 'SL')
('AC12058-2022-11-01-430','A24-16','GbmtpjefJSS', 'UB')
('AC04652-2022-11-02-415','A24-1','GSHafwftkQm', 'LB')
('SL22517-2022-11-01-415','S18-7','jOuLBvfE', 'SL')
('SL12058-2022-11-01-430','S18-22','OwInkqBrZkj', 'UB')
('AC22517-2022-11-01-379','A22-1','VWiaKu', 'LB')
('SL22517-2022-11-01-416','S18-8','PrsxcFAQzGHpN', 'SU')
('AC04652-2022-11-01-435','A25-3','KQkjnPWSphBm', 'UB')
('SL22517-2022-11-02-395','S17-11','lpEscKPZwYPoJPZY', 'UB')
('AC04652-2022-11-02-420','A24-6','EHfOmAN', 'SU')
('SL04652-2022-11-02-380','S16-20','wCND', 'LB')
('AC22517-2022-11-02-452','A26-2','tQMlmytES', 'LB')
('AC04652-2022-11-01-437','A25-5','CnYTyYDUeZO', 'SL')
('SL04652-2022-11-02-381','S16-21','MgpqtWQzglGEk', 'MB')
('SL04652-2022-11-01-412','S18-4','xGnOLS', 'LB')
('AC04652-2022-11-02-426','A24-12','RCZgXebQN', 'SU')
('SL12058-2022-11-01-437','S19-5','oxzHvsLuXLGwoaKb', 'MB')
('SL04652-2022-11-02-392','S17-8','WyDKLGnQwejqPZi', 'SU')
('AC04652-2022-11-01-443','A25-11','Kwlixz', 'SL')
('AC22517-2022-11-01-389','A22-11','NuuIQL', 'SL')
('SL04652-2022-11-01-414','S18-6','YYSUZUIjcHPiNYRW', 'UB')
('SL12058-2022-11-01-439','S19-7','pTYVrWlD', 'SL')
('SL12058-2022-11-01-440','S19-8','wWdU', 'SU')
('AC22517-2022-11-02-464','A26-14','eVlFaYoBJdoaHWD', 'LB')
('AC04652-2022-11-01-445','A25-13','GrAZUkVl', 'LB')
('SL04652-2022-11-01-417','S18-9','WietvANsOipvlIEs', 'LB')
('AC12058-2022-11-01-446','A25-14','roxYgRybYEW', 'LB')
('AC22517-2022-11-01-393','A22-15','sOWpXlNSLTcnGVE', 'UB')
('SL22517-2022-11-02-412','S18-4','ONHXJnTa', 'LB')
('AC04652-2022-11-01-448','A25-16','ZAJYHddonhPFVd', 'UB')
('SL22517-2022-11-02-415','S18-7','qyUvUwNUL', 'SL')
('SL22517-2022-11-02-491','S21-11','yikCfkzQJHP', 'UB')
('SL12058-2022-11-01-523','S22-19','eAeLW', 'UB')
('AC22517-2022-11-02-579','A33-3','CMiicgdwyMaLw', 'UB')
('SL04652-2022-11-01-520','S22-16','XbniCSlHezBGFZhY', 'SU')
('SL12058-2022-11-01-529','S23-1','DUwoXEmLaNamOIHl', 'LB')
('AC22517-2022-11-02-590','A33-14','SkDWCWCxDg', 'LB')
('SL22517-2022-11-02-533','S23-5','msyLaP', 'MB')
('SL04652-2022-11-01-536','S23-8','RlIZiXIrL', 'SU')
