('SL22517-2022-11-01-54','S3-6','QLiOgNepLHnRe', 'UB')
('AC04652-2022-11-02-57','A4-3','zMyqwoVbCdtX', 'UB')
('AC22517-2022-11-01-66','A4-12','DqGItQakRFLCppSY', 'SU')
('AC22517-2022-11-01-67','A4-13','k', 'LB')
('SL04652-2022-11-02-74','S4-2','JNhgNJvnU', 'MB')
('SL12058-2022-11-01-65','S3-17','TVFiAY', 'LB')
('SL12058-2022-11-01-67','S3-19','cviPJDrBcOO', 'UB')
('AC04652-2022-11-01-73','A5-1','biyJQLyvputGE', 'LB')
('AC04652-2022-11-02-63','A4-9','iPViqb', 'UB')
('SL04652-2022-11-02-80','S4-8','DmDXncX', 'SU')
('SL04652-2022-11-02-81','S4-9','XiiruiVLrBjK', 'LB')
('SL04652-2022-11-02-82','S4-10','ZtRoKxBNIZrfYtek', 'MB')
('SL22517-2022-11-01-71','S3-23','naLMTb', 'SL')
('AC22517-2022-11-01-73','A5-1','XdWNntuIn', 'LB')
('SL22517-2022-11-02-58','S3-10','UvVsJPpmFMlpf', 'MB')
('SL22517-2022-11-02-59','S3-11','yvXVrvLFj', 'UB')
('SL04652-2022-11-01-85','S4-13','dKfl', 'MB')
('SL12058-2022-11-01-74','S4-2','Xn', 'MB')
('SL12058-2022-11-01-75','S4-3','ntHDuqBLgUzuWY', 'UB')
('SL04652-2022-11-02-89','S4-17','IyzsYybuVVuMV', 'LB')
('AC12058-2022-11-01-77','A5-5','q', 'SL')
('AC04652-2022-11-02-73','A5-1','PxznJsdxSIc', 'LB')
('SL04652-2022-11-02-90','S4-18','q', 'MB')
('SL22517-2022-11-02-63','S3-15','sleCdW', 'SL')
('AC12058-2022-11-01-80','A5-8','zEqcTfX', 'LB')
('SL22517-2022-11-01-82','S4-10','dLJBZVELOfr', 'MB')
('SL22517-2022-11-02-64','S3-16','wfkJkdICMw', 'SU')
('SL04652-2022-11-01-86','S4-14','zxPDF', 'UB')
('SL04652-2022-11-01-87','S4-15','uig', 'SL')
('AC22517-2022-11-02-132','A8-6','ygwpmx', 'SU')
('AC04652-2022-11-01-153','A9-9','qGSDaGERVYXOdwcv', 'UB')
('AC22517-2022-11-02-134','A8-8','op', 'LB')
('AC04652-2022-11-01-154','A9-10','ObEwfWHADqLQXRF', 'UB')
('AC22517-2022-11-02-136','A8-10','JmA', 'UB')
('SL04652-2022-11-01-161','S7-17','adzEpGndwOiZQ', 'LB')
('AC04652-2022-11-01-156','A9-12','YDnlyDtWkawU', 'SU')
('AC12058-2022-11-01-152','A9-8','SaTwQUHRoZJCJjmc', 'LB')
('AC04652-2022-11-01-157','A9-13','KaguVgCZZqJqUe', 'LB')
('AC22517-2022-11-02-138','A8-12','LdSfElCXm', 'SU')
('AC04652-2022-11-01-159','A9-15','c', 'UB')
('AC04652-2022-11-02-153','A9-9','zcp', 'UB')
