('SL12058-2022-11-01-3005','S126-5','NFLCryEWjL', 'MB')
('SL04652-2022-11-01-3108','S130-12','reyvmNJWBB', 'LB')
('AC04652-2022-11-02-3096','A172-18','EXgzm', 'SU')
('AC12058-2022-11-01-3044','A170-2','VvCRrgCXseXPca', 'LB')
('AC22517-2022-11-01-3162','A176-12','AVRxwJBeCox', 'SU')
('AC04652-2022-11-02-3101','A173-5','sxKTSIwR', 'SL')
('AC04652-2022-11-02-3102','A173-6','BcU', 'SU')
('AC22517-2022-11-02-3120','A174-6','bH', 'SU')
('AC04652-2022-11-02-3110','A173-14','nBJLqoehuYUgyDQ', 'LB')
('SL22517-2022-11-02-3093','S129-21','BTZwlCDFqAFYKdrt', 'MB')
('AC22517-2022-11-01-3190','A178-4','RhYgfOaHVojE', 'UB')
('SL22517-2022-11-01-3129','S131-9','XjoJdchm', 'LB')
('SL22517-2022-11-01-3137','S131-17','bGkbq', 'LB')
('AC04652-2022-11-01-3267','A182-9','coBuGeMMgvraX', 'UB')
('AC22517-2022-11-01-3198','A178-12','QKsctE', 'SU')
('AC12058-2022-11-01-3096','A172-18','TSr', 'SU')
('SL04652-2022-11-02-3220','S135-4','GAQORPcTRdM', 'LB')
('SL22517-2022-11-02-3124','S131-4','bfSiQuTXlAK', 'LB')
('SL04652-2022-11-02-3225','S135-9','rlMIwnDR', 'LB')
('AC22517-2022-11-01-3212','A179-8','zFbzKKfWopf', 'LB')
('AC22517-2022-11-01-3213','A179-9','uwFX', 'UB')
('SL04652-2022-11-02-3227','S135-11','aZGMe', 'UB')
('AC22517-2022-11-01-3231','A180-9','cUbplHQDXY', 'UB')
('AC04652-2022-11-01-3310','A184-16','MtgXEAQr', 'UB')
('AC22517-2022-11-02-3185','A177-17','jryKZTPOFvlk', 'SL')
('AC04652-2022-11-01-3317','A185-5','DEFPAgOBSfv', 'SL')
('AC12058-2022-11-01-3142','A175-10','D', 'UB')
('AC22517-2022-11-02-3196','A178-10','stTbTmtqndrpgRi', 'UB')
('SL22517-2022-11-02-3156','S132-12','FdwfdwKaf', 'LB')
('SL22517-2022-11-01-3177','S133-9','kFKFzaKLAd', 'LB')
('AC22517-2022-11-02-3199','A178-13','A', 'LB')
('AC04652-2022-11-01-3396','A189-12','SQtEWdTBAIRS', 'SU')
('AC12058-2022-11-01-3229','A180-7','FmHGEoi', 'LB')
('SL12058-2022-11-01-3197','S134-5','OaVwKE', 'MB')
('AC04652-2022-11-02-3269','A182-11','REMsxeop', 'SL')
('AC22517-2022-11-01-3324','A185-12','pA', 'SU')
('AC12058-2022-11-01-3232','A180-10','eXUCSExObey', 'UB')
('SL22517-2022-11-01-3246','S136-6','yPkZJxCrn', 'UB')
('SL04652-2022-11-01-3260','S136-20','Df', 'LB')
('AC04652-2022-11-02-3273','A182-15','KCYztKZ', 'UB')
('AC22517-2022-11-01-3328','A185-16','mGxgFyPD', 'UB')
('AC22517-2022-11-01-3329','A185-17','ElmogKYJ', 'SL')
('SL22517-2022-11-01-3253','S136-13','kJQegUA', 'MB')
('AC22517-2022-11-02-3282','A183-6','TiW', 'SU')
('AC04652-2022-11-01-3409','A190-7','tYWAhNw', 'LB')
('AC12058-2022-11-01-3242','A181-2','mkMPatzrL', 'LB')
('SL04652-2022-11-01-3269','S137-5','a', 'MB')
('SL22517-2022-11-01-3263','S136-23','BqrXKAMpPf', 'SL')
('SL22517-2022-11-01-3264','S136-24','GERhStCN', 'SU')
('SL04652-2022-11-01-3272','S137-8','zkmMMt', 'SU')
('AC22517-2022-11-01-3345','A186-15','rbap', 'UB')
('AC04652-2022-11-01-3443','A192-5','vikvVntm', 'SL')
('SL22517-2022-11-02-3270','S137-6','lJRaibOznuSIp', 'UB')
('SL22517-2022-11-02-3271','S137-7','WDVyo', 'SL')
('AC04652-2022-11-01-3449','A192-11','purJwhUeDgjygrjK', 'SL')
('AC22517-2022-11-02-3335','A186-5','VnOHgD', 'SL')
('SL22517-2022-11-02-3276','S137-12','mJRRVYhhIl', 'LB')
('AC04652-2022-11-02-3328','A185-16','MQr', 'UB')
('AC22517-2022-11-02-3370','A188-4','arTVmgoOdnAbzj', 'UB')
('AC22517-2022-11-01-3423','A191-3','vUDflwa', 'UB')
('AC04652-2022-11-01-3487','A194-13','nDmkMuOiTvS', 'LB')
('SL04652-2022-11-02-3414','S143-6','faTAJDsWpPcyFE', 'UB')
('AC04652-2022-11-02-3356','A187-8','XvTkepuXccGYTyfo', 'LB')
('SL22517-2022-11-01-3341','S140-5','je', 'MB')
('AC22517-2022-11-01-3475','A194-1','aaePviWUwoUc', 'LB')
('AC12058-2022-11-01-3359','A187-11','oITpWrh', 'SL')
('SL04652-2022-11-02-3465','S145-9','LDzW', 'LB')
('SL04652-2022-11-01-3400','S142-16','T', 'SU')
('SL04652-2022-11-02-3470','S145-14','d', 'UB')
('SL22517-2022-11-01-3388','S142-4','gMHRTNn', 'LB')
('SL12058-2022-11-01-3342','S140-6','QBhLZTKKypsXiQo', 'UB')
('AC22517-2022-11-02-3427','A191-7','cELLXn', 'LB')
('SL12058-2022-11-01-3372','S141-12','QwVeBtXskExsHnZB', 'LB')
('AC22517-2022-11-01-3525','A196-15','LBSROwgiMr', 'UB')
('SL22517-2022-11-01-3433','S144-1','exHMiVhbGQtq', 'LB')
('AC04652-2022-11-01-3627','A202-9','lkDAGycq', 'UB')
('AC12058-2022-11-01-3452','A192-14','utfFZm', 'LB')
('SL22517-2022-11-02-3442','S144-10','d', 'MB')
('AC04652-2022-11-02-3483','A194-9','CoBzoEViAhlZ', 'UB')
('SL12058-2022-11-01-3423','S143-15','Bf', 'SL')
('SL12058-2022-11-01-3424','S143-16','zRfveKCz', 'SU')
('AC04652-2022-11-02-3501','A195-9','ptB', 'UB')
('SL04652-2022-11-02-3579','S150-3','XubHryMSAQZaZgBw', 'UB')
