('SL04652-2022-11-02-185','S8-17','EAEAYAHPd', 'LB')
('AC04652-2022-11-01-209','A12-11','JNGWotHZIbBw', 'SL')
('AC22517-2022-11-01-177','A10-15','iipCY', 'UB')
('AC04652-2022-11-02-192','A11-12','iscRKJXCPtoz', 'SU')
('SL04652-2022-11-01-201','S9-9','ORWHUluKNDjKgvo', 'LB')
('AC22517-2022-11-02-182','A11-2','nhfTh', 'LB')
('SL22517-2022-11-01-190','S8-22','v', 'UB')
('AC04652-2022-11-01-217','A13-1','qgzJFhL', 'LB')
('AC12058-2022-11-01-205','A12-7','GEveehPjLAIGO', 'LB')
('SL22517-2022-11-02-187','S8-19','VoHJOCyIaoIRAb', 'UB')
('AC22517-2022-11-02-199','A12-1','wYAQyeM', 'LB')
('AC22517-2022-11-02-200','A12-2','vtNfJWQcz', 'LB')
('AC22517-2022-11-02-201','A12-3','lNhDAcx', 'UB')
('AC04652-2022-11-01-226','A13-10','CdRcdIqTkzoJZQwW', 'UB')
('AC22517-2022-11-01-200','A12-2','OcOgdOjz', 'LB')
('AC22517-2022-11-01-201','A12-3','SGqbm', 'UB')
('AC04652-2022-11-01-229','A13-13','YyR', 'LB')
('AC22517-2022-11-02-205','A12-7','ax', 'LB')
('AC22517-2022-11-02-206','A12-8','BGUFtDDVhUQ', 'LB')
('AC04652-2022-11-02-214','A12-16','SHelhbHmqrdVtOxb', 'UB')
('SL04652-2022-11-02-218','S10-2','W', 'MB')
('AC04652-2022-11-02-218','A13-2','NPc', 'LB')
('AC22517-2022-11-01-203','A12-5','gwDZqYiNvWf', 'SL')
('AC22517-2022-11-02-212','A12-14','xHQu', 'LB')
('SL22517-2022-11-01-212','S9-20','JTtQDMUlqbmDccd', 'LB')
('SL12058-2022-11-01-217','S10-1','y', 'LB')
('SL04652-2022-11-01-230','S10-14','MXBxeDR', 'UB')
('SL22517-2022-11-02-204','S9-12','I', 'LB')
('SL22517-2022-11-01-221','S10-5','imTQ', 'MB')
('AC22517-2022-11-01-215','A12-17','GuTAhgbWGY', 'SL')
('SL04652-2022-11-02-227','S10-11','utIzifwDrcSwsHbI', 'UB')
('AC04652-2022-11-02-226','A13-10','ZblZWYUYCQaC', 'UB')
('AC22517-2022-11-01-216','A12-18','BdOnwaq', 'SU')
('SL22517-2022-11-01-226','S10-10','puhHTv', 'MB')
('AC22517-2022-11-01-220','A13-4','wDHQUJEumoqPNroW', 'UB')
('SL22517-2022-11-02-209','S9-17','xxGtZs', 'LB')
('AC04652-2022-11-01-250','A14-16','QHXdQCXGEWeceg', 'UB')
('AC04652-2022-11-01-251','A14-17','hiARel', 'SL')
('AC04652-2022-11-02-236','A14-2','BQwJbgZuHwyqdKJ', 'LB')
('AC22517-2022-11-02-223','A13-7','zUCPr', 'LB')
('SL12058-2022-11-01-229','S10-13','qfLhg', 'MB')
('SL12058-2022-11-01-231','S10-15','UoebuwGbjB', 'SL')
('SL12058-2022-11-01-237','S10-21','wALauygJNcSUe', 'MB')
('SL22517-2022-11-02-218','S10-2','LkrmPeRSGSAbuOFq', 'MB')
('AC04652-2022-11-02-363','A21-3','yrsy', 'UB')
('SL04652-2022-11-01-461','S20-5','Qmtd', 'MB')
('SL04652-2022-11-02-451','S19-19','liRoypOiXdIayTND', 'UB')
('SL22517-2022-11-02-424','S18-16','iKkHop', 'SU')
('SL22517-2022-11-02-425','S18-17','UrTXucKzOxonGfz', 'LB')
('AC04652-2022-11-01-462','A26-12','RGspoa', 'SU')
('AC22517-2022-11-02-451','A26-1','JdpKGdQS', 'LB')
('AC12058-2022-11-01-434','A25-2','pBGQ', 'LB')
('AC22517-2022-11-02-452','A26-2','ZQliJ', 'LB')
('AC04652-2022-11-02-469','A27-1','rA', 'LB')
('AC22517-2022-11-01-440','A25-8','b', 'LB')
('SL12058-2022-11-01-431','S18-23','syL', 'SL')
('SL22517-2022-11-01-445','S19-13','APhMhsNoFps', 'MB')
('AC04652-2022-11-02-472','A27-4','wKwGdOyv', 'UB')
('SL04652-2022-11-01-469','S20-13','ARkRml', 'MB')
('AC04652-2022-11-01-466','A26-16','ZUQzBYoFPsTyI', 'UB')
('AC04652-2022-11-01-467','A26-17','ofaeodFUILOdQMP', 'SL')
('AC12058-2022-11-01-437','A25-5','PoiPHSg', 'SL')
('AC12058-2022-11-01-438','A25-6','puKZMHtKMUioT', 'SU')
('SL12058-2022-11-01-433','S19-1','qmYByt', 'LB')
('AC04652-2022-11-02-476','A27-8','jD', 'LB')
('SL22517-2022-11-02-438','S19-6','QnCZbOC', 'UB')
('AC04652-2022-11-01-468','A26-18','oPzrFLHELiWeaHVP', 'SU')
('AC04652-2022-11-01-647','A36-17','sCIYGBIAOIGySkkW', 'SL')
('SL04652-2022-11-01-640','S27-16','RvINXXCanoO', 'SU')
('AC04652-2022-11-01-657','A37-9','vLqYavMWQhsmXwVz', 'UB')
('AC04652-2022-11-02-664','A37-16','uBFyvz', 'UB')
('AC04652-2022-11-02-665','A37-17','Adstw', 'SL')
('AC22517-2022-11-01-621','A35-9','TSysHCp', 'UB')
('SL12058-2022-11-01-620','S26-20','caYf', 'LB')
('SL12058-2022-11-01-623','S26-23','WCdf', 'SL')
('SL22517-2022-11-01-625','S27-1','PbcF', 'LB')
('AC12058-2022-11-01-611','A34-17','fYrzBefqlmKsYMc', 'SL')
('SL12058-2022-11-01-625','S27-1','Tt', 'LB')
('AC12058-2022-11-01-612','A34-18','nRQZCqYXvR', 'SU')
('SL12058-2022-11-01-680','S29-8','iHKfhrRtEyBf', 'SU')
('AC22517-2022-11-02-691','A39-7','mwNpcUFApH', 'LB')
('AC12058-2022-11-01-663','A37-15','yFIs', 'UB')
('AC04652-2022-11-02-736','A41-16','CTDIQECOqnZPWgUr', 'UB')
('AC22517-2022-11-02-692','A39-8','mTu', 'LB')
('AC04652-2022-11-01-710','A40-8','JckIrz', 'LB')
('SL22517-2022-11-02-677','S29-5','bLRKHYlHxTLV', 'MB')
('SL04652-2022-11-02-684','S29-12','ECOfY', 'LB')
('AC22517-2022-11-01-741','A42-3','UcP', 'UB')
('SL04652-2022-11-02-760','S32-16','lkUXUHsVqVhF', 'SU')
('SL04652-2022-11-02-761','S32-17','Y', 'LB')
('SL22517-2022-11-02-765','S32-21','VhlTyABtSCZYbA', 'MB')
('AC04652-2022-11-02-818','A46-8','eNaQWEQxSKiIYP', 'LB')
('SL04652-2022-11-02-765','S32-21','ljWuwrbnaMmkRTUQ', 'MB')
('AC22517-2022-11-01-743','A42-5','rAAeZfyzIJDnw', 'SL')
('AC22517-2022-11-01-744','A42-6','GiQhUXow', 'SU')
('SL12058-2022-11-01-772','S33-4','ZdQHXuvmzPiGSuG', 'LB')
('SL22517-2022-11-01-777','S33-9','qEVsCpUunAF', 'LB')
('SL04652-2022-11-02-769','S33-1','fHXQb', 'LB')
('SL12058-2022-11-01-774','S33-6','BZYY', 'UB')
('AC04652-2022-11-02-822','A46-12','myfa', 'SU')
('AC04652-2022-11-02-823','A46-13','oGnehRNogF', 'LB')
('AC22517-2022-11-01-749','A42-11','NBrzLVuDCru', 'SL')
('AC22517-2022-11-02-781','A44-7','xlZXgwSXdErKdoN', 'LB')
('AC22517-2022-11-01-750','A42-12','qCGzPnKT', 'SU')
('AC22517-2022-11-01-751','A42-13','ACKy', 'LB')
('AC22517-2022-11-01-752','A42-14','ix', 'LB')
('AC12058-2022-11-01-784','A44-10','ypLTzOkIA', 'UB')
('SL22517-2022-11-02-822','S35-6','GdEznh', 'UB')
('SL12058-2022-11-01-816','S34-24','Qds', 'SU')
('AC12058-2022-11-01-785','A44-11','DJVfhr', 'SL')
('AC04652-2022-11-02-868','A49-4','WBI', 'UB')
('SL22517-2022-11-02-824','S35-8','kytWo', 'SU')
('AC22517-2022-11-02-821','A46-11','kXiv', 'SL')
('SL12058-2022-11-01-819','S35-3','xzWuINwC', 'UB')
('AC04652-2022-11-02-871','A49-7','iZfjEuMt', 'LB')
('AC04652-2022-11-02-872','A49-8','qbxLkocEP', 'LB')
('AC12058-2022-11-01-793','A45-1','yMIG', 'LB')
('AC12058-2022-11-01-794','A45-2','YPpCRSYQ', 'LB')
('AC22517-2022-11-01-814','A46-4','bOmNIGt', 'UB')
('AC22517-2022-11-02-834','A47-6','PdahtNhyo', 'SU')
('SL12058-2022-11-01-826','S35-10','VJud', 'MB')
('SL04652-2022-11-01-826','S35-10','PtozzbIR', 'MB')
('SL12058-2022-11-01-827','S35-11','cSSu', 'UB')
('SL22517-2022-11-01-839','S35-23','uPrjMYQhzTtxPv', 'SL')
('SL22517-2022-11-02-842','S36-2','aoXxr', 'MB')
('SL04652-2022-11-02-834','S35-18','RnGVceIFcKYRp', 'MB')
('SL12058-2022-11-01-837','S35-21','iLNQe', 'MB')
('AC22517-2022-11-01-826','A46-16','bz', 'UB')
('AC04652-2022-11-01-860','A48-14','BbqsOVJ', 'LB')
('AC04652-2022-11-02-911','A51-11','piPdaOrwETjMPST', 'SL')
('SL22517-2022-11-01-868','S37-4','MBuGHQkfoWvoKCL', 'LB')
