('AC04652-2022-11-01-3641','A203-5','WqyglCDmMWeUI', 'SL')
('SL04652-2022-11-02-3552','S148-24','kVwtWIOit', 'SU')
('AC22517-2022-11-02-3524','A196-14','wDTxzDOtzZIxkSF', 'LB')
('AC04652-2022-11-02-3496','A195-4','kzFIQsjRqcEsjt', 'UB')
('SL22517-2022-11-02-3458','S145-2','fgkYGtWH', 'MB')
('AC22517-2022-11-02-3528','A196-18','BRCrjUIxceOH', 'SU')
('AC12058-2022-11-01-3474','A193-18','TipE', 'SU')
('AC22517-2022-11-02-3533','A197-5','pYTxO', 'SL')
('AC22517-2022-11-02-3555','A198-9','upzXhWIvHCY', 'UB')
('AC12058-2022-11-01-3504','A195-12','oaEPQUR', 'SU')
('SL12058-2022-11-01-3456','S144-24','vYt', 'SU')
('SL22517-2022-11-02-3487','S146-7','benJSwTnsefTFP', 'SL')
('SL04652-2022-11-02-3599','S150-23','cZnLZkwxh', 'SL')
('AC22517-2022-11-02-3562','A198-16','Yu', 'UB')
('AC04652-2022-11-02-3539','A197-11','CHyDCc', 'SL')
('AC12058-2022-11-01-3519','A196-9','oksuNlLUUseckkdK', 'UB')
('SL22517-2022-11-01-3550','S148-22','GPlAJ', 'UB')
('AC22517-2022-11-02-3575','A199-11','KDFxcTGCN', 'SL')
('SL12058-2022-11-01-3468','S145-12','nquGE', 'LB')
('SL04652-2022-11-02-3617','S151-17','uDtvmlaND', 'LB')
('SL12058-2022-11-01-3469','S145-13','Nup', 'MB')
('AC22517-2022-11-02-3579','A199-15','tVPKpMICCoqwFsj', 'UB')
('SL22517-2022-11-02-3538','S148-10','KrJHqJGxspfsitJ', 'MB')
('SL22517-2022-11-01-3603','S151-3','SILNkQHgQ', 'UB')
('AC22517-2022-11-02-3649','A203-13','RE', 'LB')
('AC04652-2022-11-02-3623','A202-5','ZbUJDyDVcnPeEq', 'SL')
('AC22517-2022-11-02-3653','A203-17','A', 'SL')
('SL12058-2022-11-01-3543','S148-15','TV', 'SL')
('AC04652-2022-11-01-3766','A210-4','B', 'UB')
('SL04652-2022-11-01-3602','S151-2','QvGaKRySCtOxwg', 'MB')
('SL22517-2022-11-02-3571','S149-19','dgmDyZFCLvxQW', 'UB')
('SL22517-2022-11-02-3572','S149-20','tKCNSq', 'LB')
('AC04652-2022-11-01-3771','A210-9','RTQvIsjkURYRSX', 'UB')
('SL04652-2022-11-01-3604','S151-4','FWZI', 'LB')
('SL22517-2022-11-02-3573','S149-21','qkuRHHzYoYIQ', 'MB')
('AC12058-2022-11-01-3629','A202-11','ksXWAeQtc', 'SL')
('AC04652-2022-11-02-3646','A203-10','ForOsjHuash', 'UB')
('AC12058-2022-11-01-3633','A202-15','aQ', 'UB')
('AC22517-2022-11-02-3678','A205-6','oiN', 'SU')
('AC04652-2022-11-02-3657','A204-3','UEdWozacFB', 'UB')
('AC12058-2022-11-01-3640','A203-4','uprMUFHNsxTVk', 'UB')
('AC22517-2022-11-01-3728','A208-2','PeAnMdWIBaFPAz', 'LB')
('AC04652-2022-11-02-3659','A204-5','egGlMEzocVKcVN', 'SL')
('AC12058-2022-11-01-3642','A203-6','H', 'SU')
('SL04652-2022-11-02-3712','S155-16','YTYBdvCyuv', 'SU')
('SL04652-2022-11-01-3625','S152-1','adSEccZjquMU', 'LB')
('SL22517-2022-11-01-3657','S153-9','fdCIprNqXPBycVp', 'LB')
('AC22517-2022-11-01-3736','A208-10','erlufsDZng', 'UB')
('AC12058-2022-11-01-3648','A203-12','mOaLfJFCfg', 'SU')
('SL04652-2022-11-02-3719','S155-23','e', 'SL')
('SL22517-2022-11-02-3592','S150-16','AyrFW', 'SU')
('AC22517-2022-11-01-3739','A208-13','rqlYccHyGyWtFFD', 'LB')
('SL04652-2022-11-01-3629','S152-5','pPERmQsqRpAPsle', 'MB')
('SL04652-2022-11-02-3722','S156-2','pPyEMedMYGwjLUq', 'MB')
('SL04652-2022-11-02-3723','S156-3','NsTZVqvWy', 'UB')
