('SL22517-2022-11-02-5334','S223-6','fqDqjsdTVICcbuS', 'UB')
('AC22517-2022-11-02-5454','A303-18','vRqVYuEIbuyfoztH', 'SU')
('AC04652-2022-11-01-5643','A314-9','WMjudETSSEK', 'UB')
('SL04652-2022-11-01-5317','S222-13','zBRKq', 'MB')
('SL12058-2022-11-01-5289','S221-9','DplOmedkJOxEOC', 'LB')
('AC04652-2022-11-01-5647','A314-13','UJAp', 'LB')
('SL22517-2022-11-01-5300','S221-20','FjhlTj', 'LB')
('SL04652-2022-11-02-5382','S225-6','qlZ', 'UB')
('SL04652-2022-11-01-5331','S223-3','LoCrNSXM', 'UB')
('SL22517-2022-11-01-5310','S222-6','mYJkUBz', 'UB')
('SL12058-2022-11-01-5302','S221-22','m', 'UB')
('AC04652-2022-11-01-5661','A315-9','aoEBtZWHVLtpex', 'UB')
('AC04652-2022-11-01-5662','A315-10','NjGKmQJik', 'UB')
('SL22517-2022-11-02-5365','S224-13','lfftkRbrNFj', 'MB')
('SL22517-2022-11-01-5317','S222-13','OsFuxxRTg', 'MB')
('SL22517-2022-11-02-5367','S224-15','gwsSvxZp', 'SL')
('AC22517-2022-11-01-5476','A305-4','ltYXIbspieOKP', 'UB')
('SL12058-2022-11-01-5325','S222-21','WfDEAFmELqwCmFcC', 'MB')
('AC22517-2022-11-02-5509','A307-1','CEhGN', 'LB')
('AC04652-2022-11-01-5694','A317-6','QVC', 'SU')
('AC22517-2022-11-01-5485','A305-13','OlHDqeLtyVH', 'LB')
('AC04652-2022-11-02-5508','A306-18','VEPAlLURsSjyzKEQ', 'SU')
('SL04652-2022-11-02-5427','S227-3','aMBd', 'UB')
('SL22517-2022-11-01-5360','S224-8','dompo', 'SU')
('AC12058-2022-11-01-5477','A305-5','lyUFI', 'SL')
('SL04652-2022-11-01-5378','S225-2','hhsKeLsDKylbJIYs', 'MB')
('AC12058-2022-11-01-5480','A305-8','VwfY', 'LB')
('SL04652-2022-11-02-5439','S227-15','idJmFKg', 'SL')
('SL04652-2022-11-02-5442','S227-18','xCMzOlt', 'MB')
('SL22517-2022-11-01-5369','S224-17','KEGJpAg', 'LB')
('AC12058-2022-11-01-5485','A305-13','d', 'LB')
('AC12058-2022-11-01-5486','A305-14','dUMnm', 'LB')
('SL12058-2022-11-01-5355','S224-3','qBqKbXwvQ', 'UB')
('SL22517-2022-11-01-5372','S224-20','QLc', 'LB')
('SL22517-2022-11-02-5415','S226-15','cBNlkOoWHRZ', 'SL')
('AC04652-2022-11-02-5540','A308-14','czXNcrWLsaJtQ', 'LB')
('SL12058-2022-11-01-5361','S224-9','LzqqBQhzx', 'LB')
('AC12058-2022-11-01-5499','A306-9','xlhEG', 'UB')
('SL04652-2022-11-02-5457','S228-9','n', 'LB')
('SL22517-2022-11-02-5434','S227-10','XqJZXNlyfIhCLOHV', 'MB')
('SL04652-2022-11-01-5409','S226-9','dlQYSGCwpb', 'LB')
('SL22517-2022-11-02-5440','S227-16','zfhfhYR', 'SU')
('AC22517-2022-11-02-5551','A309-7','yBlZrkEEyeUQb', 'LB')
('SL04652-2022-11-02-5468','S228-20','AClfr', 'LB')
('AC22517-2022-11-01-5560','A309-16','VVpHTaW', 'UB')
('AC22517-2022-11-01-5620','A313-4','pauedqTQCnxfcti', 'UB')
('AC04652-2022-11-01-5830','A324-16','vKJSVvkUU', 'UB')
('AC04652-2022-11-01-5842','A325-10','iXbHxhrdiFpG', 'UB')
('AC04652-2022-11-02-5678','A316-8','OsGUlptixh', 'LB')
('SL12058-2022-11-01-5488','S229-16','iLH', 'SU')
('SL22517-2022-11-01-5502','S230-6','uCZaKnttwNoUeBJr', 'UB')
('SL22517-2022-11-02-5551','S232-7','biSJcfzqgy', 'SL')
('AC04652-2022-11-02-5682','A316-12','gVBSzfARQxdEceK', 'SU')
('AC22517-2022-11-01-5645','A314-11','yt', 'SL')
('AC04652-2022-11-02-5683','A316-13','RamyST', 'LB')
('SL04652-2022-11-01-5532','S231-12','jkFazrHVWkxTYDg', 'LB')
('SL04652-2022-11-02-5611','S234-19','dOdpE', 'UB')
('SL04652-2022-11-02-5626','S235-10','aLJVTv', 'MB')
('SL22517-2022-11-02-5605','S234-13','OoMgnUyPWxh', 'MB')
('AC12058-2022-11-01-5682','A316-12','z', 'SU')
('AC22517-2022-11-01-5691','A317-3','VzLSyrfNSQWsisEy', 'UB')
('SL04652-2022-11-01-5582','S233-14','yR', 'UB')
('AC04652-2022-11-01-5899','A328-13','z', 'LB')
('SL22517-2022-11-02-5614','S234-22','sVMDkEKnmxxZSDn', 'UB')
('AC12058-2022-11-01-5694','A317-6','TdrOCGyE', 'SU')
('SL22517-2022-11-01-5600','S234-8','vG', 'SU')
('SL22517-2022-11-01-5613','S234-21','JcUZ', 'MB')
('SL04652-2022-11-01-5644','S236-4','sTkgtC', 'LB')
('AC04652-2022-11-01-5985','A333-9','qnCdjEFlkLWqaoVn', 'UB')
('SL22517-2022-11-01-5633','S235-17','I', 'LB')
('SL22517-2022-11-01-5634','S235-18','Y', 'MB')
('SL22517-2022-11-02-5703','S238-15','iAyhVboyx', 'SL')
('AC04652-2022-11-01-5989','A333-13','ZQxMWpIJcTnoWdnN', 'LB')
('SL22517-2022-11-02-5706','S238-18','SJeNPYR', 'MB')
('AC22517-2022-11-01-5789','A322-11','HIqCWLAvFThl', 'SL')
('AC04652-2022-11-01-5994','A333-18','ERRYCKpL', 'SU')
('SL04652-2022-11-01-5670','S237-6','YVW', 'UB')
('SL04652-2022-11-02-5724','S239-12','MKxkjDiBPIFJMh', 'LB')
('AC12058-2022-11-01-5772','A321-12','AAUkznLOwMMaom', 'SU')
('SL22517-2022-11-01-5643','S236-3','CNNGTIZUrwX', 'UB')
('AC22517-2022-11-01-5796','A322-18','FXrPgKWPpK', 'SU')
('SL12058-2022-11-01-5647','S236-7','xuxqoiDZsauxDnH', 'SL')
('SL22517-2022-11-01-5655','S236-15','zZPs', 'SL')
('SL04652-2022-11-01-5689','S238-1','EKKgBLBIPnx', 'LB')
('AC22517-2022-11-01-5804','A323-8','MtVhUWwnP', 'LB')
('SL22517-2022-11-01-5656','S236-16','gwUtatCHvjBcYi', 'SU')
('SL22517-2022-11-01-5657','S236-17','yodhHNyiQNdMbw', 'LB')
('SL04652-2022-11-02-5744','S240-8','xTdjUa', 'SU')
('SL04652-2022-11-01-5693','S238-5','uVZqvXGYvTIGQny', 'MB')
('AC22517-2022-11-02-5808','A323-12','givirf', 'SU')
('AC12058-2022-11-01-5803','A323-7','RKBhqoONF', 'LB')
('AC22517-2022-11-01-5834','A325-2','mzGZPVgb', 'LB')
('AC12058-2022-11-01-5804','A323-8','GczffdfBJm', 'LB')
('SL22517-2022-11-01-5682','S237-18','TzuokLKe', 'MB')
('SL22517-2022-11-02-5754','S240-18','RMcX', 'MB')
('AC12058-2022-11-01-5808','A323-12','mSJAAghEWTzSM', 'SU')
('AC04652-2022-11-02-5872','A327-4','ehxE', 'UB')
('AC04652-2022-11-02-5880','A327-12','dZUz', 'SU')
('SL04652-2022-11-02-5784','S241-24','dodvhbehbZOM', 'SU')
('SL22517-2022-11-02-5767','S241-7','YsffBsmhZGaInU', 'SL')
('AC12058-2022-11-01-5817','A324-3','KUcwnGWTXrVn', 'UB')
('AC04652-2022-11-01-6068','A338-2','hCL', 'LB')
('AC04652-2022-11-02-5890','A328-4','zrLTlhgA', 'UB')
('AC22517-2022-11-02-5838','A325-6','YusMiIgFfmU', 'SU')
('SL04652-2022-11-01-5744','S240-8','EWbMpvuG', 'SU')
('AC04652-2022-11-01-6093','A339-9','vaFhcSTVZOtcAT', 'UB')
('AC22517-2022-11-02-5878','A327-10','mlbDBEm', 'UB')
('AC04652-2022-11-01-6106','A340-4','ccW', 'UB')
('SL04652-2022-11-01-5770','S241-10','DETFCKpjGPx', 'MB')
('SL04652-2022-11-02-5847','S244-15','T', 'SL')
('AC12058-2022-11-01-5868','A326-18','mSUb', 'SU')
('AC04652-2022-11-01-6120','A340-18','nTwcjm', 'SU')
('AC04652-2022-11-01-6121','A341-1','qfftEQNjqiQ', 'LB')
('SL22517-2022-11-01-5799','S242-15','lILpRE', 'SL')
('SL04652-2022-11-01-5823','S243-15','wAf', 'SL')
('AC22517-2022-11-02-5938','A330-16','saOfhx', 'UB')
('SL04652-2022-11-02-5915','S247-11','j', 'UB')
('SL22517-2022-11-01-5834','S244-2','fvDSA', 'MB')
('AC12058-2022-11-01-5936','A330-14','MzTn', 'LB')
