('SL12058-2022-11-01-9','S1-9','xNtE', 'LB')
('SL22517-2022-11-01-16','S1-16','UDdioilGlw', 'SU')
('SL04652-2022-11-01-25','S2-1','aoDwaxpLI', 'LB')
('SL12058-2022-11-01-19','S1-19','gdTx', 'UB')
('SL04652-2022-11-02-33','S2-9','zJdq', 'LB')
('SL22517-2022-11-01-41','S2-17','OaKB', 'LB')
('AC04652-2022-11-02-42','A3-6','cdAijDSyGuqUO', 'SU')
('AC12058-2022-11-01-43','A3-7','K', 'LB')
('AC12058-2022-11-01-44','A3-8','uWGKZAeeLxJ', 'LB')
('SL22517-2022-11-01-52','S3-4','cQ', 'LB')
('SL22517-2022-11-02-45','S2-21','HMWXsNcsnMV', 'MB')
('AC22517-2022-11-01-37','A3-1','oYoQcrkd', 'LB')
('SL22517-2022-11-01-54','S3-6','uEAw', 'UB')
('SL12058-2022-11-01-54','S3-6','ibhkQyJxWKl', 'UB')
('AC12058-2022-11-01-53','A3-17','K', 'SL')
('AC22517-2022-11-02-50','A3-14','zftMgHrgIWPnXuRH', 'LB')
('SL12058-2022-11-01-57','S3-9','PsskCqUEFZGrQVyq', 'LB')
('SL04652-2022-11-01-47','S2-23','LHifFe', 'SL')
('AC12058-2022-11-01-57','A4-3','fBpbwGvSIsISG', 'UB')
('SL22517-2022-11-01-61','S3-13','iPEekt', 'MB')
('SL04652-2022-11-01-56','S3-8','qbIo', 'SU')
('AC12058-2022-11-01-64','A4-10','BZ', 'UB')
('SL22517-2022-11-02-60','S3-12','fotOXiVrjQRmM', 'LB')
('SL12058-2022-11-01-68','S3-20','ht', 'LB')
('AC12058-2022-11-01-65','A4-11','EO', 'SL')
('AC22517-2022-11-02-61','A4-7','paKXQTxGfXnF', 'LB')
('AC22517-2022-11-01-53','A3-17','YKYnuu', 'SL')
('AC22517-2022-11-02-63','A4-9','hjCwDM', 'UB')
('AC04652-2022-11-01-58','A4-4','oyx', 'UB')
('AC04652-2022-11-02-60','A4-6','GVLiIMAHt', 'SU')
('AC22517-2022-11-01-58','A4-4','m', 'UB')
('SL22517-2022-11-01-67','S3-19','kunPLEl', 'UB')
('AC04652-2022-11-02-96','A6-6','UCkHl', 'SU')
('AC22517-2022-11-02-105','A6-15','rdcdUzjdiqa', 'UB')
('AC12058-2022-11-01-96','A6-6','plL', 'SU')
('AC22517-2022-11-02-106','A6-16','pQiYqTgDoHlAATP', 'UB')
('SL22517-2022-11-01-120','S5-24','zpZYFHlioCkIh', 'SU')
('SL22517-2022-11-01-124','S6-4','GG', 'LB')
('AC22517-2022-11-01-130','A8-4','dWbMg', 'UB')
('AC22517-2022-11-01-131','A8-5','kJUktjbLb', 'SL')
('AC22517-2022-11-01-132','A8-6','nNXoWbeUrviZLoH', 'SU')
('SL22517-2022-11-01-143','S6-23','uBmMHiMjqHb', 'SL')
('AC22517-2022-11-01-145','A9-1','ErskGrFYp', 'LB')
('AC12058-2022-11-01-154','A9-10','dyeZ', 'UB')
('AC12058-2022-11-01-156','A9-12','PCZE', 'SU')
('SL12058-2022-11-01-154','S7-10','YjBNIDHxwg', 'MB')
('AC04652-2022-11-02-172','A10-10','oupfGaNeZtCFIpj', 'UB')
('AC22517-2022-11-02-202','A12-4','N', 'UB')
('AC22517-2022-11-01-200','A12-2','WTDvlvje', 'LB')
('SL04652-2022-11-01-192','S8-24','OYf', 'SU')
('AC22517-2022-11-02-203','A12-5','Thqi', 'SL')
('SL22517-2022-11-01-198','S9-6','KELQdZyHtGE', 'UB')
('SL22517-2022-11-01-199','S9-7','Jh', 'SL')
('AC22517-2022-11-02-206','A12-8','wSjl', 'LB')
('AC22517-2022-11-01-204','A12-6','RZDgpiBZfs', 'SU')
('AC22517-2022-11-01-205','A12-7','TBgDLzaKCPfF', 'LB')
('SL04652-2022-11-01-198','S9-6','InrgKKcLjDqNmYKD', 'UB')
('AC04652-2022-11-01-203','A12-5','gKpQUnSECvtZDvUS', 'SL')
('AC22517-2022-11-02-210','A12-12','suURqFYGT', 'SU')
('AC22517-2022-11-02-211','A12-13','KDFYer', 'LB')
('AC22517-2022-11-02-212','A12-14','YXOtRlBFKfDIgPi', 'LB')
('SL22517-2022-11-02-201','S9-9','ZSQyLAOkORGPVfS', 'LB')
('SL22517-2022-11-01-203','S9-11','AX', 'UB')
('SL22517-2022-11-01-205','S9-13','UhjYzGEoIGXeth', 'MB')
('AC04652-2022-11-01-207','A12-9','qvbldyTl', 'UB')
('AC22517-2022-11-01-207','A12-9','tTyJsi', 'UB')
('SL04652-2022-11-02-168','S7-24','PuM', 'SU')
('SL22517-2022-11-01-207','S9-15','PtEaZWrYcyS', 'SL')
('SL22517-2022-11-01-208','S9-16','gEbGRVbLfDC', 'SU')
('SL04652-2022-11-01-207','S9-15','mQK', 'SL')
('SL04652-2022-11-02-172','S8-4','xaJ', 'LB')
('SL04652-2022-11-02-174','S8-6','iseLhsQULWDrG', 'UB')
('AC04652-2022-11-02-191','A11-11','YPTrdruKBbHL', 'SL')
('AC22517-2022-11-02-221','A13-5','AVAUzNYhb', 'SL')
('SL22517-2022-11-02-214','S9-22','PcjeyY', 'UB')
('SL22517-2022-11-02-215','S9-23','svJ', 'SL')
('AC22517-2022-11-02-223','A13-7','PVSLBcjEFoDwFRa', 'LB')
('AC04652-2022-11-02-271','A16-1','dpbhOI', 'LB')
('AC04652-2022-11-02-272','A16-2','iLyjtnenMq', 'LB')
('AC12058-2022-11-01-296','A17-8','to', 'LB')
('SL04652-2022-11-02-261','S11-21','ct', 'MB')
