('AC04652-2022-11-02-4','A1-4','hTodfFfgmRzbVt', 'UB')
('SL04652-2022-11-01-10','S1-10','znxoi', 'MB')
('AC04652-2022-11-01-5','A1-5','MyJ', 'SL')
('AC04652-2022-11-01-6','A1-6','JmoMdWoDafI', 'SU')
('SL04652-2022-11-02-14','S1-14','wzwdUjvTGT', 'UB')
('SL12058-2022-11-01-13','S1-13','mgwCtaW', 'MB')
('SL04652-2022-11-01-28','S2-4','oKp', 'LB')
('SL04652-2022-11-02-22','S1-22','BofzxraFQkrcnv', 'UB')
('SL12058-2022-11-01-23','S1-23','aLZiJ', 'SL')
('SL04652-2022-11-02-24','S1-24','DcB', 'SU')
('AC04652-2022-11-01-24','A2-6','ZAAnYUildMxJ', 'SU')
('AC04652-2022-11-02-33','A2-15','mfJgg', 'UB')
('SL04652-2022-11-02-36','S2-12','u', 'LB')
('SL22517-2022-11-01-42','S2-18','aphB', 'MB')
('SL22517-2022-11-01-43','S2-19','SCpzmuEOHaX', 'UB')
('SL22517-2022-11-02-77','S4-5','mhdbi', 'MB')
('SL22517-2022-11-02-79','S4-7','S', 'SL')
('SL04652-2022-11-01-78','S4-6','Su', 'UB')
('AC12058-2022-11-01-81','A5-9','ReokMCX', 'UB')
('AC22517-2022-11-01-78','A5-6','MeaJCQijcGd', 'SU')
('SL04652-2022-11-02-74','S4-2','HCLHBNeg', 'MB')
('SL04652-2022-11-01-81','S4-9','iXGnFMt', 'LB')
('AC22517-2022-11-01-80','A5-8','fqLeN', 'LB')
('SL04652-2022-11-02-77','S4-5','vxkNug', 'MB')
('SL04652-2022-11-02-78','S4-6','MBjWPPqgubMtv', 'UB')
('AC04652-2022-11-02-77','A5-5','zzMcMz', 'SL')
('AC04652-2022-11-01-80','A5-8','UN', 'LB')
('SL22517-2022-11-02-82','S4-10','E', 'MB')
('AC22517-2022-11-01-83','A5-11','jvpfTMQiFHoNcwY', 'SL')
('AC12058-2022-11-01-86','A5-14','yGmKlOywc', 'LB')
('AC22517-2022-11-02-90','A5-18','YzJDRSkbpPP', 'SU')
('AC22517-2022-11-01-86','A5-14','QyGVipaGvf', 'LB')
('AC22517-2022-11-01-87','A5-15','scUOskHiGBV', 'UB')
('SL04652-2022-11-01-87','S4-15','Yrcfpp', 'SL')
('AC12058-2022-11-01-87','A5-15','PrCvHXYoQVpPqF', 'UB')
('AC04652-2022-11-02-82','A5-10','uVB', 'UB')
('AC22517-2022-11-01-90','A5-18','YleJnj', 'SU')
('AC22517-2022-11-02-93','A6-3','CmGPZbi', 'UB')
('AC04652-2022-11-01-84','A5-12','VDkxAX', 'SU')
('AC04652-2022-11-02-86','A5-14','qbn', 'LB')
('SL12058-2022-11-01-87','S4-15','hHU', 'SL')
('SL12058-2022-11-01-88','S4-16','veTJHvsivIBiV', 'SU')
('SL12058-2022-11-01-91','S4-19','dwExti', 'UB')
('SL22517-2022-11-02-86','S4-14','flWOs', 'UB')
('AC22517-2022-11-02-96','A6-6','qbZ', 'SU')
('AC22517-2022-11-01-98','A6-8','EoYDQDJqYEg', 'LB')
('AC22517-2022-11-02-97','A6-7','FduLdkmUonOKEjv', 'LB')
('AC22517-2022-11-02-98','A6-8','Elsh', 'LB')
('SL22517-2022-11-01-128','S6-8','P', 'SU')
('SL22517-2022-11-01-132','S6-12','mVN', 'LB')
('SL22517-2022-11-02-128','S6-8','u', 'SU')
('AC04652-2022-11-02-122','A7-14','WtvqqPHtO', 'LB')
('AC12058-2022-11-01-141','A8-15','JzBbrpWoOhOkC', 'UB')
('AC22517-2022-11-01-129','A8-3','HQ', 'UB')
('SL04652-2022-11-02-117','S5-21','htaSpqWjATdHlz', 'MB')
('SL22517-2022-11-01-141','S6-21','LJESRxRegNMB', 'MB')
('SL04652-2022-11-01-131','S6-11','YZN', 'UB')
('AC22517-2022-11-01-136','A8-10','qJVokofxr', 'UB')
('SL04652-2022-11-01-132','S6-12','iieTLxs', 'LB')
('SL22517-2022-11-02-134','S6-14','WUlZJOXSFfqrtZ', 'UB')
('AC04652-2022-11-01-134','A8-8','zJCqcdd', 'LB')
('SL12058-2022-11-01-148','S7-4','OdRnizapdmIBeq', 'LB')
('AC04652-2022-11-01-135','A8-9','c', 'UB')
('AC04652-2022-11-01-136','A8-10','zmMseByYorSa', 'UB')
('AC22517-2022-11-02-153','A9-9','SQEUUY', 'UB')
('SL22517-2022-11-02-141','S6-21','qfbDSCTtO', 'MB')
('SL04652-2022-11-01-155','S7-11','aTXABbbRm', 'UB')
('AC22517-2022-11-02-173','A10-11','fyfgesJeouAkp', 'SL')
('SL12058-2022-11-01-167','S7-23','eLkByBEMcEpOmOZx', 'SL')
('AC22517-2022-11-01-166','A10-4','Sn', 'UB')
('AC22517-2022-11-01-167','A10-5','WreEIUaZ', 'SL')
('SL22517-2022-11-01-165','S7-21','USqGFJHhRfCHaO', 'MB')
('AC12058-2022-11-01-169','A10-7','VTIhVbudzXTtPqs', 'LB')
('SL12058-2022-11-01-169','S8-1','Fk', 'LB')
('SL22517-2022-11-02-169','S8-1','TdUoAxotYGTH', 'LB')
('SL04652-2022-11-02-138','S6-18','zlLQVwza', 'MB')
('AC04652-2022-11-01-156','A9-12','SjveBus', 'SU')
('SL22517-2022-11-01-170','S8-2','uoO', 'MB')
('AC04652-2022-11-01-157','A9-13','Qfbobd', 'LB')
('SL04652-2022-11-01-168','S7-24','qbGYYXInGMjvDUko', 'SU')
('AC04652-2022-11-02-166','A10-4','hyi', 'UB')
('SL12058-2022-11-01-188','S8-20','r', 'LB')
('SL04652-2022-11-02-160','S7-16','DcnbVSYjaKFma', 'SU')
('AC22517-2022-11-01-191','A11-11','BiUuKmcZtXoQEdTb', 'SL')
('AC22517-2022-11-02-194','A11-14','BLTbWGTRXx', 'LB')
('SL12058-2022-11-01-189','S8-21','sVkHBNQqELgAnGY', 'MB')
('AC04652-2022-11-02-195','A11-15','OZyawPvTtO', 'UB')
('SL04652-2022-11-01-283','S12-19','FPWTrwjAV', 'UB')
('SL12058-2022-11-01-301','S13-13','SjtuWhTlMmATl', 'MB')
('SL12058-2022-11-01-306','S13-18','LoKuVHiNJ', 'MB')
('SL22517-2022-11-01-307','S13-19','hBXwSv', 'UB')
('AC22517-2022-11-02-331','A19-7','pwdSl', 'LB')
('SL22517-2022-11-01-308','S13-20','zNkCW', 'LB')
('AC22517-2022-11-01-297','A17-9','zoKMTykkYSum', 'UB')
('SL04652-2022-11-01-307','S13-19','Dvv', 'UB')
('SL22517-2022-11-02-306','S13-18','cA', 'MB')
('AC04652-2022-11-02-301','A17-13','M', 'LB')
('AC04652-2022-11-01-336','A19-12','Xxy', 'SU')
('SL04652-2022-11-02-283','S12-19','pPVOKRxYBMxtSIr', 'UB')
('AC04652-2022-11-02-303','A17-15','WwLNTELHXiHEu', 'UB')
('AC04652-2022-11-01-339','A19-15','bXyXXS', 'UB')
('SL22517-2022-11-01-324','S14-12','fhwouFQoizO', 'LB')
('AC22517-2022-11-01-330','A19-6','KxOUAj', 'SU')
('SL22517-2022-11-01-350','S15-14','WWSxgYL', 'UB')
('AC22517-2022-11-02-392','A22-14','FK', 'LB')
('SL22517-2022-11-01-357','S15-21','mauHyiuUVpgX', 'MB')
('SL22517-2022-11-02-452','S19-20','pQqZLVLduRFjLwrf', 'LB')
('AC22517-2022-11-02-509','A29-5','PnWKUwBerXtIFsup', 'SL')
('SL12058-2022-11-01-474','S20-18','RTM', 'MB')
('SL22517-2022-11-01-464','S20-8','QfBhJHLi', 'SU')
('SL04652-2022-11-01-466','S20-10','DbDeZhGyvubu', 'MB')
('SL04652-2022-11-02-433','S19-1','T', 'LB')
('AC04652-2022-11-01-493','A28-7','TEZhpBkMheQXOk', 'LB')
('SL04652-2022-11-02-434','S19-2','WRjIRexPVWXxRLx', 'MB')
('SL22517-2022-11-02-465','S20-9','HDiybZcKj', 'LB')
('AC04652-2022-11-01-494','A28-8','rQq', 'LB')
('AC04652-2022-11-02-495','A28-9','AvtdwjcwTfqn', 'UB')
('SL04652-2022-11-01-474','S20-18','DZR', 'MB')
('AC04652-2022-11-01-498','A28-12','xhbMuEtU', 'SU')
('SL12058-2022-11-01-487','S21-7','mzzmGhgIqYxmoPG', 'SL')
('SL22517-2022-11-01-475','S20-19','FoZrjCoFUmp', 'UB')
('AC12058-2022-11-01-536','A30-14','DctN', 'LB')
('AC04652-2022-11-02-578','A33-2','cx', 'LB')
('AC04652-2022-11-02-579','A33-3','bMZGskcsWMrSbQ', 'UB')
('AC22517-2022-11-01-526','A30-4','nCMnlyNjdsxgEy', 'UB')
('SL12058-2022-11-01-576','S24-24','yzIcPIVJwY', 'SU')
('AC04652-2022-11-02-589','A33-13','SMyezzLPjEdXLRPh', 'LB')
('SL22517-2022-11-01-587','S25-11','CBqFabPnRM', 'UB')
('AC22517-2022-11-01-534','A30-12','sRfuz', 'SU')
('SL22517-2022-11-01-591','S25-15','QZDVcXL', 'SL')
('AC04652-2022-11-01-585','A33-9','PYTDqdzqB', 'UB')
('SL12058-2022-11-01-585','S25-9','LUmI', 'LB')
('SL22517-2022-11-02-574','S24-22','I', 'UB')
('AC04652-2022-11-01-590','A33-14','Q', 'LB')
('SL04652-2022-11-02-540','S23-12','RvzzTHpGAI', 'LB')
('AC22517-2022-11-01-540','A30-18','rmZHTUPtwrOdzxNh', 'SU')
('AC04652-2022-11-01-596','A34-2','ylA', 'LB')
('AC12058-2022-11-01-616','A35-4','tzpVkFwqpNF', 'UB')
('AC22517-2022-11-01-543','A31-3','KLyPMZvOplDoKs', 'UB')
('SL22517-2022-11-01-605','S26-5','UsCqSZxFKmtic', 'MB')
('AC04652-2022-11-02-609','A34-15','XwEQibbIVogCj', 'UB')
('AC12058-2022-11-01-619','A35-7','xLHWV', 'LB')
('SL12058-2022-11-01-596','S25-20','sOlaEaQozivSoY', 'LB')
('SL04652-2022-11-02-546','S23-18','eNGCqUUsJwIJf', 'MB')
('AC12058-2022-11-01-620','A35-8','YrlRcGPMiKrAuiCL', 'LB')
('AC22517-2022-11-02-647','A36-17','PK', 'SL')
('SL22517-2022-11-02-585','S25-9','rCEfZ', 'LB')
('SL12058-2022-11-01-601','S26-1','roVvqtkZIZVW', 'LB')
('AC04652-2022-11-01-606','A34-12','DwWKGgQ', 'SU')
('AC12058-2022-11-01-625','A35-13','teZeCcMcodsCzNK', 'LB')
('SL04652-2022-11-01-604','S26-4','FMDT', 'LB')
('SL04652-2022-11-02-550','S23-22','WqeJbOjeAgyVP', 'UB')
('AC22517-2022-11-02-652','A37-4','ejVbrvAZQvpf', 'UB')
('SL04652-2022-11-01-623','S26-23','vMYScI', 'SL')
('AC12058-2022-11-01-638','A36-8','AKiNsGHbHijNSwT', 'LB')
('AC04652-2022-11-01-623','A35-11','xsISIbevtJtYWDR', 'SL')
('AC22517-2022-11-01-575','A32-17','ctuNWnCLWJYzPV', 'SL')
('SL22517-2022-11-02-614','S26-14','kjB', 'UB')
('AC04652-2022-11-02-630','A35-18','xUEuHnnjgQQUWGjs', 'SU')
('AC12058-2022-11-01-645','A36-15','tupfMKrxwvlG', 'UB')
('SL12058-2022-11-01-621','S26-21','uVy', 'MB')
('SL22517-2022-11-01-640','S27-16','denyJpXc', 'SU')
('SL22517-2022-11-02-618','S26-18','mCRQrnPZKtvn', 'MB')
('SL04652-2022-11-01-634','S27-10','F', 'MB')
('SL12058-2022-11-01-624','S26-24','mJnJw', 'SU')
('AC22517-2022-11-01-589','A33-13','fiMIrdUnWDS', 'LB')
('SL12058-2022-11-01-628','S27-4','wx', 'LB')
('SL04652-2022-11-02-591','S25-15','qlo', 'SL')
('SL04652-2022-11-02-594','S25-18','ShuyBcMHkQPvQ', 'MB')
('AC22517-2022-11-02-682','A38-16','Sc', 'UB')
('AC22517-2022-11-01-598','A34-4','DeWYgJ', 'UB')
('AC04652-2022-11-02-652','A37-4','SGOkxZeRwOLHkqKT', 'UB')
('SL22517-2022-11-01-652','S28-4','eJJgbVGS', 'LB')
('SL22517-2022-11-01-653','S28-5','AzFocrcOQZR', 'MB')
('AC22517-2022-11-02-696','A39-12','FKLlgnXDnLHOZgtb', 'SU')
('AC12058-2022-11-01-670','A38-4','aefwgM', 'UB')
('AC04652-2022-11-02-667','A38-1','aAqZRgBMCuDjA', 'LB')
('AC04652-2022-11-01-652','A37-4','ICbolNMW', 'UB')
('AC04652-2022-11-01-653','A37-5','KEUZFzNW', 'SL')
('AC12058-2022-11-01-675','A38-9','cNTKXBRWw', 'UB')
('AC22517-2022-11-02-708','A40-6','SFYewj', 'SU')
('SL12058-2022-11-01-660','S28-12','FoXnmZqL', 'LB')
('SL04652-2022-11-01-672','S28-24','plXXdRCIDPU', 'SU')
('SL12058-2022-11-01-715','S30-19','q', 'UB')
('SL22517-2022-11-01-724','S31-4','rffcVpapRQaEhEP', 'LB')
('AC12058-2022-11-01-716','A40-14','BZFcZsaB', 'LB')
('SL22517-2022-11-02-705','S30-9','umI', 'LB')
('SL22517-2022-11-02-707','S30-11','rVeLduignZZq', 'UB')
('SL04652-2022-11-01-719','S30-23','wWcpgyt', 'SL')
('AC22517-2022-11-02-751','A42-13','SKjpA', 'LB')
('SL22517-2022-11-02-714','S30-18','MVyzfzkPs', 'MB')
('SL12058-2022-11-01-729','S31-9','M', 'LB')
('SL22517-2022-11-02-716','S30-20','xsAYFQR', 'LB')
('SL12058-2022-11-01-732','S31-12','kxuveMUrwZwJk', 'LB')
('AC12058-2022-11-01-721','A41-1','KVuv', 'LB')
('SL04652-2022-11-01-724','S31-4','wAXk', 'LB')
('AC04652-2022-11-01-718','A40-16','dizPRP', 'UB')
('AC12058-2022-11-01-725','A41-5','QCgWlmpEULH', 'SL')
('AC04652-2022-11-02-715','A40-13','xirYWfsvyIMWGvw', 'LB')
('AC12058-2022-11-01-729','A41-9','pvvRBFVfICvDpkXU', 'UB')
('SL12058-2022-11-01-741','S31-21','qtnRAKa', 'MB')
('SL04652-2022-11-02-697','S30-1','uvEpJknCjiqCMHL', 'LB')
('AC12058-2022-11-01-733','A41-13','IBIp', 'LB')
('SL12058-2022-11-01-748','S32-4','zRuqFDlRvUjQMrav', 'LB')
