('AC22517-2022-11-01-1494','A83-18','efRaEXaY', 'SU')
('AC22517-2022-11-01-1508','A84-14','MWLtTSHig', 'LB')
('AC22517-2022-11-01-1509','A84-15','IMryGpgi', 'UB')
('SL04652-2022-11-02-1521','S64-9','utqmntby', 'LB')
('AC04652-2022-11-02-1545','A86-15','YIg', 'UB')
('SL04652-2022-11-01-1516','S64-4','cwBWEB', 'LB')
('SL04652-2022-11-01-1517','S64-5','ROLhGxTAJdwqlN', 'MB')
('AC22517-2022-11-01-1513','A85-1','VQByxLPnWEENQz', 'LB')
('AC04652-2022-11-01-1546','A86-16','HebWJeEWjHm', 'UB')
('AC22517-2022-11-01-1514','A85-2','AGAbVXrvPCPkgHOn', 'LB')
('AC04652-2022-11-01-1549','A87-1','IaFpH', 'LB')
('SL12058-2022-11-01-1483','S62-19','EPST', 'UB')
('AC22517-2022-11-02-1526','A85-14','zOK', 'LB')
('AC12058-2022-11-01-1533','A86-3','P', 'UB')
('AC04652-2022-11-01-1590','A89-6','II', 'SU')
('AC12058-2022-11-01-1537','A86-7','KkpyOdF', 'LB')
('SL12058-2022-11-01-1528','S64-16','t', 'SU')
('SL22517-2022-11-02-1557','S65-21','RqUFayyLbThQfTK', 'MB')
('SL12058-2022-11-01-1531','S64-19','fmKgxLXopcFE', 'UB')
('SL12058-2022-11-01-1532','S64-20','GqWWIgVboG', 'LB')
('AC04652-2022-11-01-1594','A89-10','psH', 'UB')
('SL04652-2022-11-02-1560','S65-24','AW', 'SU')
('SL22517-2022-11-01-1579','S66-19','A', 'UB')
('AC04652-2022-11-02-1592','A89-8','xJdsqMvJkpxEC', 'LB')
('SL12058-2022-11-01-1539','S65-3','ZYjLaby', 'UB')
('AC22517-2022-11-02-1576','A88-10','ofj', 'UB')
('SL22517-2022-11-01-1588','S67-4','crWAmqrDBA', 'LB')
('AC22517-2022-11-01-1579','A88-13','tupYHk', 'LB')
('SL12058-2022-11-01-1549','S65-13','IfvOGNHEhsaCzhHR', 'MB')
('AC22517-2022-11-02-1582','A88-16','mzTWdrUUwWd', 'UB')
('AC12058-2022-11-01-1563','A87-15','QqI', 'UB')
('SL22517-2022-11-01-1595','S67-11','qiw', 'UB')
