('AC22517-2022-11-01-4506','A251-6','qxfgCwBRz', 'SU')
('AC22517-2022-11-02-4448','A248-2','LusZEwWMXspD', 'LB')
('AC22517-2022-11-02-4449','A248-3','I', 'UB')
('SL22517-2022-11-02-4354','S182-10','AZfagMeSfIuJ', 'MB')
('SL04652-2022-11-02-4427','S185-11','m', 'UB')
('SL04652-2022-11-02-4459','S186-19','XfOHx', 'UB')
('SL22517-2022-11-01-4421','S185-5','T', 'MB')
('AC04652-2022-11-02-4504','A251-4','lqYI', 'UB')
('AC12058-2022-11-01-4495','A250-13','jgDrHFAnptRUSJS', 'LB')
('AC22517-2022-11-02-4491','A250-9','KHuBrTxZRYjxLC', 'UB')
('SL12058-2022-11-01-4370','S183-2','JG', 'MB')
('SL12058-2022-11-01-4371','S183-3','HSuPbCsmIlblAs', 'UB')
('SL12058-2022-11-01-4376','S183-8','CqjHQqjbX', 'SU')
('AC04652-2022-11-01-4660','A259-16','tcuamBflZxHKY', 'UB')
('AC04652-2022-11-02-4511','A251-11','nhTJ', 'SL')
('AC04652-2022-11-01-4661','A259-17','kDybL', 'SL')
('AC22517-2022-11-02-4527','A252-9','RItHGYFW', 'UB')
('SL04652-2022-11-01-4447','S186-7','sCpD', 'SL')
('AC04652-2022-11-01-4694','A261-14','oysv', 'LB')
('SL04652-2022-11-01-4452','S186-12','Mboe', 'LB')
('SL12058-2022-11-01-4403','S184-11','UvfoAWGLS', 'UB')
('SL04652-2022-11-01-4456','S186-16','tdYeN', 'SU')
('SL04652-2022-11-02-4502','S188-14','g', 'UB')
('SL04652-2022-11-02-4503','S188-15','LJx', 'SL')
('AC22517-2022-11-02-4539','A253-3','bleKVRleJAbT', 'UB')
('SL04652-2022-11-01-4458','S186-18','uFJHftn', 'MB')
('AC22517-2022-11-02-4543','A253-7','jkper', 'LB')
('SL22517-2022-11-02-4429','S185-13','TumKQx', 'MB')
('SL22517-2022-11-01-4461','S186-21','B', 'MB')
('SL22517-2022-11-01-4465','S187-1','hUhfBHf', 'LB')
('SL12058-2022-11-01-4416','S184-24','xVerDpxB', 'SU')
('AC22517-2022-11-01-4585','A255-13','myO', 'LB')
('SL04652-2022-11-01-4466','S187-2','AzrWlum', 'MB')
('AC22517-2022-11-02-4558','A254-4','OQEeEcoHcmKfIx', 'UB')
('AC04652-2022-11-01-4712','A262-14','YzZbf', 'LB')
('AC22517-2022-11-01-4589','A255-17','SJdcgz', 'SL')
('SL22517-2022-11-02-4435','S185-19','QwtU', 'UB')
('SL04652-2022-11-02-4514','S189-2','wJ', 'MB')
('AC22517-2022-11-02-4564','A254-10','WxlPrgwSjcg', 'UB')
('AC04652-2022-11-02-4551','A253-15','pXiSiBRGfPqAC', 'UB')
('AC22517-2022-11-01-4593','A256-3','sgChBrerIXphlGZ', 'UB')
('AC04652-2022-11-01-4718','A263-2','ZPOxh', 'LB')
('SL04652-2022-11-02-4518','S189-6','Q', 'UB')
('SL04652-2022-11-02-4519','S189-7','dbdsQaW', 'SL')
('AC04652-2022-11-01-4720','A263-4','uyeXBwucBjMxWTvK', 'UB')
('AC04652-2022-11-02-4556','A254-2','VvHUPdOv', 'LB')
