('SL22517-2022-11-01-2582','S108-14','zxiViaW', 'UB')
('AC22517-2022-11-01-2600','A145-8','bdJFXvfJhyKUEDa', 'LB')
('AC12058-2022-11-01-2548','A142-10','kBicEZgCiRbXFS', 'UB')
('SL22517-2022-11-02-2520','S105-24','HgClSWzOFPmUTPia', 'SU')
('SL12058-2022-11-01-2515','S105-19','Vx', 'UB')
('AC04652-2022-11-01-2670','A149-6','ENleXVxAt', 'SU')
('AC22517-2022-11-02-2553','A142-15','P', 'UB')
('AC12058-2022-11-01-2555','A142-17','doDuVqomOY', 'SL')
('SL12058-2022-11-01-2526','S106-6','qjdP', 'UB')
('AC12058-2022-11-01-2596','A145-4','jPQgFSPljUrtRyvs', 'UB')
('AC22517-2022-11-02-2606','A145-14','Tc', 'LB')
('SL22517-2022-11-02-2579','S108-11','n', 'UB')
('SL04652-2022-11-02-2629','S110-13','YxPxMArfIfL', 'MB')
('AC22517-2022-11-01-2673','A149-9','Wl', 'UB')
('AC22517-2022-11-02-2618','A146-8','ZwMiR', 'LB')
('SL12058-2022-11-01-2590','S108-22','YUXazqieQUGnpl', 'UB')
('AC04652-2022-11-01-2731','A152-13','dTfWTzyrOYqC', 'LB')
('AC12058-2022-11-01-2614','A146-4','AEDnOnAjJEjP', 'UB')
('AC22517-2022-11-01-2681','A149-17','LvQdpuIDyFVIt', 'SL')
('AC22517-2022-11-02-2652','A148-6','XSEJ', 'SU')
('SL12058-2022-11-01-2620','S110-4','Sl', 'LB')
('AC22517-2022-11-02-2653','A148-7','F', 'LB')
('SL22517-2022-11-02-2615','S109-23','VROcapJIbMfC', 'SL')
('SL04652-2022-11-02-2671','S112-7','vTjh', 'SL')
('AC12058-2022-11-01-2639','A147-11','tpKR', 'SL')
('AC04652-2022-11-01-2765','A154-11','NGRPV', 'SL')
('SL04652-2022-11-01-2641','S111-1','WBYDna', 'LB')
('AC04652-2022-11-01-2771','A154-17','SoxmSrgrkEgsj', 'SL')
('SL04652-2022-11-01-2647','S111-7','dgQbe', 'SL')
('SL22517-2022-11-02-2626','S110-10','gllHgIgUhp', 'MB')
('SL22517-2022-11-02-2627','S110-11','JjBq', 'UB')
('SL22517-2022-11-01-2689','S113-1','ZXwSwCh', 'LB')
('SL12058-2022-11-01-2634','S110-18','ZvKQvKRsR', 'MB')
('AC12058-2022-11-01-2647','A148-1','aKwnVSjvzCxNtMBb', 'LB')
('AC04652-2022-11-02-2675','A149-11','FuKkTZWQEGOqa', 'SL')
('AC04652-2022-11-02-2679','A149-15','lccvbeYcWZ', 'UB')
('AC22517-2022-11-02-2690','A150-8','uOHN', 'LB')
('SL04652-2022-11-01-2674','S112-10','Td', 'MB')
('SL04652-2022-11-01-2676','S112-12','uxL', 'LB')
('SL04652-2022-11-02-2710','S113-22','bgU', 'UB')
('SL04652-2022-11-01-2679','S112-15','VSEh', 'SL')
('AC22517-2022-11-01-2758','A154-4','DYiHFQ', 'UB')
('SL22517-2022-11-01-2728','S114-16','BebstTbukTuSZMXu', 'SU')
('SL04652-2022-11-01-2682','S112-18','vDuQbySuIMk', 'MB')
('SL22517-2022-11-02-2665','S112-1','epchycgjyOs', 'LB')
('AC22517-2022-11-01-2762','A154-8','BTnaQ', 'LB')
('AC04652-2022-11-02-2705','A151-5','biP', 'SL')
('SL22517-2022-11-02-2703','S113-15','EsWgizU', 'SL')
('AC22517-2022-11-02-2737','A153-1','Tbvhn', 'LB')
('AC22517-2022-11-01-2807','A156-17','nhHdqnOsNVo', 'SL')
('AC22517-2022-11-02-2741','A153-5','DhgD', 'SL')
('SL04652-2022-11-01-2722','S114-10','B', 'MB')
('SL12058-2022-11-01-2688','S112-24','qOULgXu', 'SU')
('SL12058-2022-11-01-2689','S113-1','MdhibTQOUt', 'LB')
('AC22517-2022-11-02-2751','A153-15','ctwlzZNk', 'UB')
('AC04652-2022-11-01-2900','A162-2','bhqAoroHvFv', 'LB')
('SL22517-2022-11-01-2838','S119-6','xLRfeUwfXicDB', 'UB')
('AC04652-2022-11-01-2928','A163-12','bJgQ', 'SU')
('AC04652-2022-11-01-2929','A163-13','MfMS', 'LB')
('SL04652-2022-11-01-2806','S117-22','LWSQetVEoZhEtq', 'UB')
('AC04652-2022-11-02-2816','A157-8','YsdquvoQZ', 'LB')
('AC22517-2022-11-01-2894','A161-14','JEzdhjhT', 'LB')
('AC22517-2022-11-01-2896','A161-16','EjSvyn', 'UB')
('AC12058-2022-11-01-2791','A156-1','xxLqgJfs', 'LB')
('SL04652-2022-11-02-2849','S119-17','KmN', 'LB')
('AC04652-2022-11-01-2950','A164-16','gQcyDBKm', 'UB')
('SL22517-2022-11-01-2859','S120-3','pxcsGmiEr', 'UB')
('SL22517-2022-11-02-2795','S117-11','NwXK', 'UB')
('AC22517-2022-11-02-2856','A159-12','QXFmGKxbBT', 'SU')
('AC04652-2022-11-01-2968','A165-16','IihkpqGyNkgvJDNy', 'UB')
('SL22517-2022-11-02-2812','S118-4','TBJksDpZ', 'LB')
('SL04652-2022-11-02-2872','S120-16','CUsXPHIHLUAcbVl', 'SU')
('AC04652-2022-11-01-2970','A165-18','riWnJf', 'SU')
('AC22517-2022-11-01-2926','A163-10','mBSuhSuRwhS', 'UB')
('AC04652-2022-11-02-2844','A158-18','uc', 'SU')
('SL04652-2022-11-01-2853','S119-21','En', 'MB')
('AC22517-2022-11-01-2931','A163-15','LsOMY', 'UB')
('SL04652-2022-11-02-2886','S121-6','uGuSSeBqylkteyWU', 'UB')
('AC22517-2022-11-02-2873','A160-11','FUPnADL', 'SL')
('AC04652-2022-11-02-2853','A159-9','JPfSiaMJRaXtB', 'UB')
('AC04652-2022-11-02-2854','A159-10','Bm', 'UB')
('SL04652-2022-11-02-2903','S121-23','a', 'SL')
('SL04652-2022-11-02-2908','S122-4','wMpmzB', 'LB')
('SL22517-2022-11-02-2843','S119-11','ibNLtMSgkjc', 'UB')
('AC22517-2022-11-01-2945','A164-11','mtrjwd', 'SL')
('SL04652-2022-11-01-2874','S120-18','VanyjAwWO', 'MB')
('AC04652-2022-11-02-2869','A160-7','T', 'LB')
('SL22517-2022-11-02-2848','S119-16','hcKGwKqdHzked', 'SU')
('SL04652-2022-11-01-2877','S120-21','tCykrEWYVSoY', 'MB')
('SL04652-2022-11-02-2916','S122-12','vLqCOCHlu', 'LB')
('SL22517-2022-11-02-2852','S119-20','fh', 'LB')
('SL22517-2022-11-01-2889','S121-9','xmDxldgbnP', 'LB')
('SL12058-2022-11-01-2808','S117-24','yV', 'SU')
('SL22517-2022-11-01-2894','S121-14','qAcPeICXiui', 'UB')
('SL04652-2022-11-01-2886','S121-6','aDoUDJY', 'UB')
