('SL04652-2022-11-02-5002','S209-10','GTCC', 'MB')
('SL04652-2022-11-01-4993','S209-1','cmNOxV', 'LB')
('SL22517-2022-11-02-4987','S208-19','SoKvQDXHwBUCGd', 'UB')
('SL12058-2022-11-01-4934','S206-14','V', 'UB')
('SL04652-2022-11-01-5026','S210-10','unGPnaMyawHeX', 'MB')
('AC22517-2022-11-02-5166','A287-18','XraxCwRsOjzmqiCs', 'SU')
('SL04652-2022-11-01-5028','S210-12','RPzD', 'LB')
('AC22517-2022-11-01-5120','A285-8','Xq', 'LB')
('AC22517-2022-11-01-5121','A285-9','u', 'UB')
('SL12058-2022-11-01-4973','S208-5','Gc', 'MB')
('AC12058-2022-11-01-5090','A283-14','Qfl', 'LB')
('AC12058-2022-11-01-5091','A283-15','kPzlBZuUoKTFcTd', 'UB')
('AC04652-2022-11-02-5157','A287-9','ptWnWejGAHAQWf', 'UB')
('SL04652-2022-11-01-5038','S210-22','R', 'UB')
('SL04652-2022-11-02-5075','S212-11','mtqMB', 'UB')
('SL04652-2022-11-02-5076','S212-12','DhvdIvlD', 'LB')
('AC12058-2022-11-01-5105','A284-11','nBoHhzDFPoidlk', 'SL')
('AC04652-2022-11-02-5166','A287-18','SScIjlIHNFNhlFWH', 'SU')
('AC04652-2022-11-01-5338','A297-10','tkn', 'UB')
('SL22517-2022-11-02-5064','S211-24','sBIlSfDDvW', 'SU')
('AC22517-2022-11-01-5162','A287-14','ucALik', 'LB')
('AC22517-2022-11-02-5211','A290-9','xwGSJvK', 'UB')
('AC04652-2022-11-01-5380','A299-16','tySJQXDdFLvW', 'UB')
('SL12058-2022-11-01-5012','S209-20','W', 'LB')
('SL12058-2022-11-01-5016','S209-24','vRcdJFs', 'SU')
('AC04652-2022-11-01-5397','A300-15','kvKZTD', 'UB')
('SL04652-2022-11-01-5099','S213-11','yvvGEbNSr', 'UB')
('AC22517-2022-11-02-5231','A291-11','ZIbSXMJgYbxoYhEF', 'SL')
('AC22517-2022-11-02-5234','A291-14','aNT', 'LB')
('SL04652-2022-11-02-5144','S215-8','tjxSNchMHn', 'SU')
('SL22517-2022-11-02-5116','S214-4','YnoNCjmRAUG', 'LB')
('SL04652-2022-11-01-5108','S213-20','duyXmBJN', 'LB')
('AC04652-2022-11-01-5414','A301-14','kN', 'LB')
('SL04652-2022-11-02-5154','S215-18','HTbEFbvjx', 'MB')
('AC04652-2022-11-01-5420','A302-2','mVfr', 'LB')
('SL04652-2022-11-01-5116','S214-4','GtZqNNtsVjQ', 'LB')
('AC04652-2022-11-01-5423','A302-5','WEMatOaGMfWQCR', 'SL')
('AC12058-2022-11-01-5205','A290-3','ZYYLyVFAPlgVOG', 'UB')
('SL22517-2022-11-01-5103','S213-15','hVeDM', 'SL')
('AC04652-2022-11-01-5439','A303-3','cPtIAucZq', 'UB')
('SL22517-2022-11-01-5108','S213-20','yxkRSwcLr', 'LB')
('SL22517-2022-11-02-5142','S215-6','VERbSHuZaY', 'UB')
('SL04652-2022-11-01-5135','S214-23','gVrxiLMMV', 'SL')
('SL22517-2022-11-01-5111','S213-23','YH', 'SL')
('AC22517-2022-11-01-5226','A291-6','EQRc', 'SU')
('AC22517-2022-11-02-5268','A293-12','NJffD', 'SU')
('AC04652-2022-11-01-5451','A303-15','QoHbPvL', 'UB')
('SL04652-2022-11-02-5228','S218-20','zItPv', 'LB')
('AC04652-2022-11-01-5498','A306-8','FlSpWwCxNjihUkK', 'LB')
('AC22517-2022-11-02-5309','A295-17','qQxsXg', 'SL')
('SL04652-2022-11-02-5230','S218-22','qsDmqMAWYIda', 'UB')
('SL04652-2022-11-02-5232','S218-24','yeKkLMUjRGBrjTn', 'SU')
('SL22517-2022-11-02-5203','S217-19','NWXJcZJZWtPC', 'UB')
('AC22517-2022-11-02-5322','A296-12','TcNilJgaI', 'SU')
('AC04652-2022-11-02-5370','A299-6','JjIY', 'SU')
('SL22517-2022-11-02-5250','S219-18','JkNsO', 'MB')
('SL22517-2022-11-02-5252','S219-20','jBQFGwmz', 'LB')
('SL22517-2022-11-01-5220','S218-12','yBvdZYJoIpRknjSF', 'LB')
('AC04652-2022-11-02-5383','A300-1','AoleGivkPLjLi', 'LB')
('AC22517-2022-11-01-5353','A298-7','voIg', 'LB')
('AC12058-2022-11-01-5329','A297-1','LgObwwJAImi', 'LB')
('AC04652-2022-11-01-5564','A310-2','l', 'LB')
('SL04652-2022-11-02-5308','S222-4','yhp', 'LB')
('SL12058-2022-11-01-5226','S218-18','afjatt', 'MB')
('SL12058-2022-11-01-5277','S220-21','tajWfvGDMZxCnXX', 'MB')
('AC22517-2022-11-02-5445','A303-9','QWukINgYLexAuu', 'UB')
('AC12058-2022-11-01-5399','A300-17','ZIeLKzleKq', 'SL')
('SL12058-2022-11-01-5285','S221-5','nQClyMQUUkfN', 'MB')
('AC22517-2022-11-01-5424','A302-6','a', 'SU')
('AC04652-2022-11-02-5455','A304-1','hgVEM', 'LB')
('AC12058-2022-11-01-5405','A301-5','HfdTsQYdfTaINX', 'SL')
('SL04652-2022-11-02-5364','S224-12','SDsGTxCUPsRMKW', 'LB')
('AC04652-2022-11-02-5456','A304-2','YIPOO', 'LB')
('SL22517-2022-11-02-5336','S223-8','ElilvMydUtgdH', 'SU')
('AC12058-2022-11-01-5408','A301-8','eEOXEhnAtLxG', 'LB')
('SL12058-2022-11-01-5292','S221-12','uTSRQyEAEGmdTNe', 'LB')
('SL04652-2022-11-02-5369','S224-17','VL', 'LB')
('AC22517-2022-11-02-5474','A305-2','UbTqKaHdTuraXVMH', 'LB')
('SL22517-2022-11-02-5348','S223-20','BQQPTgTLytLJIKi', 'LB')
('SL04652-2022-11-02-5379','S225-3','B', 'UB')
('SL22517-2022-11-02-5350','S223-22','jXTIyARtsyEtM', 'UB')
('SL22517-2022-11-01-5308','S222-4','hNCMgPiYPqckLaMZ', 'LB')
('AC22517-2022-11-02-5478','A305-6','ELXoirs', 'SU')
('AC22517-2022-11-02-5479','A305-7','nzdaUbqs', 'LB')
('SL04652-2022-11-01-5329','S223-1','nDBXprdbCziVgnjx', 'LB')
('SL22517-2022-11-01-5329','S223-1','IdGvPb', 'LB')
('AC04652-2022-11-02-5491','A306-1','MdPCnnTDYsl', 'LB')
('AC04652-2022-11-01-5677','A316-7','dMHicVFSQ', 'LB')
('SL22517-2022-11-02-5411','S226-11','KJJpbCtSHT', 'UB')
('SL22517-2022-11-01-5382','S225-6','ccm', 'UB')
('SL22517-2022-11-02-5433','S227-9','YWLyuKUiaavyy', 'LB')
('AC04652-2022-11-02-5551','A309-7','KZmHmOUivgV', 'LB')
('AC04652-2022-11-01-5738','A319-14','HWNBn', 'LB')
('SL04652-2022-11-02-5466','S228-18','DeH', 'MB')
('AC04652-2022-11-01-5740','A319-16','pOpjfSHpsx', 'UB')
('AC12058-2022-11-01-5508','A306-18','iASIhzDxMsVJVHfv', 'SU')
('SL22517-2022-11-01-5393','S225-17','SXXtrcgiSVIGd', 'LB')
('SL22517-2022-11-01-5394','S225-18','v', 'MB')
('SL22517-2022-11-02-5441','S227-17','xRRAieChodhvD', 'LB')
('SL04652-2022-11-02-5478','S229-6','ZJpvdExNNbPG', 'UB')
('SL22517-2022-11-01-5405','S226-5','ZlLJIjGIiuFWfd', 'MB')
('SL04652-2022-11-01-5422','S226-22','c', 'UB')
('AC22517-2022-11-01-5608','A312-10','zNsnUIGUiRrz', 'UB')
('AC04652-2022-11-02-5647','A314-13','ln', 'LB')
('AC22517-2022-11-02-5624','A313-8','iOpbjjciRrITdsB', 'LB')
('SL04652-2022-11-01-5502','S230-6','KMM', 'UB')
('SL22517-2022-11-01-5480','S229-8','pZSdlaGpnUwzsGi', 'SU')
('AC04652-2022-11-01-5821','A324-7','TbgNxUWzalUPhX', 'LB')
('AC12058-2022-11-01-5605','A312-7','FuGCoduVjAtbFZTp', 'LB')
('AC04652-2022-11-02-5649','A314-15','aKww', 'UB')
('SL04652-2022-11-02-5558','S232-14','dgCDvTYRdMEQx', 'UB')
('SL12058-2022-11-01-5463','S228-15','ezm', 'SL')
('AC22517-2022-11-02-5626','A313-10','NLngpnaf', 'UB')
('AC12058-2022-11-01-5609','A312-11','puxSsV', 'SL')
('AC12058-2022-11-01-5610','A312-12','pJHYjdJnqQpV', 'SU')
('AC22517-2022-11-01-5615','A312-17','rvta', 'SL')
('SL04652-2022-11-02-5563','S232-19','UhFprqG', 'UB')
('SL04652-2022-11-02-5578','S233-10','fbtDD', 'MB')
('SL04652-2022-11-01-5527','S231-7','gUPqkRWKn', 'SL')
('SL04652-2022-11-01-5571','S233-3','ou', 'UB')
('AC04652-2022-11-02-5722','A318-16','Rjn', 'UB')
('SL22517-2022-11-01-5547','S232-3','gkJvMizBhHbaGQDU', 'UB')
('SL12058-2022-11-01-5541','S231-21','QGxxOk', 'MB')
('AC12058-2022-11-01-5703','A317-15','OQfRvt', 'UB')
('AC22517-2022-11-01-5710','A318-4','WynDhMNXqyXG', 'UB')
('SL22517-2022-11-02-5629','S235-13','FiRg', 'MB')
('AC22517-2022-11-01-5712','A318-6','XJtzBtS', 'SU')
('SL22517-2022-11-01-5567','S232-23','IcJMhlLXopLlehV', 'SL')
('SL04652-2022-11-02-5655','S236-15','poSRdmur', 'SL')
('SL12058-2022-11-01-5557','S232-13','oiIsYmuYymIY', 'MB')
('SL12058-2022-11-01-5559','S232-15','Ww', 'SL')
('SL22517-2022-11-02-5641','S236-1','CfvpE', 'LB')
('AC22517-2022-11-01-5724','A318-18','wkQwWmbDOJ', 'SU')
('SL04652-2022-11-02-5661','S236-21','rcfht', 'MB')
('AC04652-2022-11-01-5929','A330-7','HfzRQtWTfctKz', 'LB')
('SL04652-2022-11-02-5665','S237-1','aEnZBwp', 'LB')
('SL04652-2022-11-01-5648','S236-8','slYGnfnIae', 'SU')
('AC22517-2022-11-02-5759','A320-17','opmly', 'SL')
('SL04652-2022-11-02-5707','S238-19','EFHIs', 'UB')
('SL22517-2022-11-02-5690','S238-2','GfCftJSCKJhc', 'MB')
('AC04652-2022-11-02-5800','A323-4','ohFJAzbIgRcZ', 'UB')
('SL12058-2022-11-01-5615','S234-23','b', 'SL')
('AC22517-2022-11-02-5762','A321-2','qdVNMZvUMTbgLw', 'LB')
('SL12058-2022-11-01-5616','S234-24','HXBFLsHxS', 'SU')
('SL12058-2022-11-01-5637','S235-21','ALEkhlQk', 'MB')
('AC12058-2022-11-01-5776','A321-16','QlPnJ', 'UB')
('SL22517-2022-11-02-5716','S239-4','ZaKmfkhIiXIqRVz', 'LB')
('AC04652-2022-11-01-6007','A334-13','srdVMGbMSQ', 'LB')
('AC04652-2022-11-01-6008','A334-14','EgAbw', 'LB')
