('SL04652-2022-11-02-4122','S172-18','LYL', 'MB')
('AC04652-2022-11-01-4294','A239-10','DHXuajCfvBrKiTBW', 'UB')
('SL22517-2022-11-01-4101','S171-21','lDGGNjIyOsREWV', 'MB')
('AC12058-2022-11-01-4134','A230-12','JwXNDrtmkmTc', 'SU')
('AC22517-2022-11-01-4201','A234-7','gT', 'LB')
('AC22517-2022-11-02-4114','A229-10','P', 'UB')
('SL04652-2022-11-01-4066','S170-10','lwGZTgkWSDCPd', 'MB')
('SL12058-2022-11-01-4011','S168-3','NWbesyLrkxvM', 'UB')
('AC22517-2022-11-01-4216','A235-4','yuPQHmPcH', 'UB')
('SL04652-2022-11-02-4150','S173-22','VqsmfEMwW', 'UB')
('SL04652-2022-11-01-4075','S170-19','B', 'UB')
('SL04652-2022-11-02-4151','S173-23','ceUqAAGCfCxn', 'SL')
('SL04652-2022-11-02-4152','S173-24','WEmPgmfvvIJM', 'SU')
('SL22517-2022-11-02-4056','S169-24','ysbI', 'SU')
('SL04652-2022-11-01-4078','S170-22','VLTqRqfaVUmCu', 'UB')
('SL04652-2022-11-02-4155','S174-3','InrWMCjGyaN', 'UB')
('SL04652-2022-11-01-4083','S171-3','XyIrLLTZEW', 'UB')
('SL04652-2022-11-02-4161','S174-9','SJqitxsZWQEQf', 'LB')
('AC12058-2022-11-01-4155','A231-15','ofiqWDmZ', 'UB')
('SL04652-2022-11-01-4089','S171-9','RlLBbCpRDrnJ', 'LB')
('SL04652-2022-11-01-4090','S171-10','ZCJYSzo', 'MB')
('AC22517-2022-11-02-4173','A232-15','RDRDiXvh', 'UB')
('SL12058-2022-11-01-4066','S170-10','IIo', 'MB')
('SL04652-2022-11-01-4128','S172-24','Uj', 'SU')
('SL22517-2022-11-02-4165','S174-13','eQArPEoXrdYUx', 'MB')
('SL04652-2022-11-02-4252','S178-4','fWqCXKVi', 'LB')
('AC22517-2022-11-02-4250','A237-2','JHvKxFRhQHt', 'LB')
('AC12058-2022-11-01-4263','A237-15','IZCqYC', 'UB')
('SL22517-2022-11-02-4169','S174-17','tIRfsGXODS', 'LB')
('SL04652-2022-11-02-4256','S178-8','TLPiYJumto', 'SU')
('AC04652-2022-11-01-4437','A247-9','za', 'UB')
('AC04652-2022-11-02-4275','A238-9','pJYOlvK', 'UB')
('SL22517-2022-11-02-4171','S174-19','jPuFiiqKsw', 'UB')
('SL04652-2022-11-02-4305','S180-9','zQTCIiP', 'LB')
('AC22517-2022-11-01-4372','A243-16','JONQniGkvm', 'UB')
('SL12058-2022-11-01-4184','S175-8','ryiNqQke', 'SU')
('AC04652-2022-11-02-4329','A241-9','pJoh', 'UB')
('AC22517-2022-11-02-4304','A240-2','ee', 'LB')
('SL04652-2022-11-02-4307','S180-11','uuLfzdVtBLYW', 'UB')
('AC12058-2022-11-01-4328','A241-8','rLjS', 'LB')
('AC04652-2022-11-01-4494','A250-12','mgdKWAKcAIcIua', 'SU')
('SL04652-2022-11-01-4254','S178-6','jdMeixhVWi', 'UB')
('SL22517-2022-11-01-4277','S179-5','HkjGK', 'MB')
('AC12058-2022-11-01-4338','A241-18','TNcJLgCTeU', 'SU')
('AC04652-2022-11-02-4342','A242-4','toPDB', 'UB')
('SL22517-2022-11-01-4279','S179-7','JsFcqvCtPhvfBfh', 'SL')
('AC04652-2022-11-02-4345','A242-7','EzxZnP', 'LB')
('AC04652-2022-11-01-4504','A251-4','uTPM', 'UB')
('SL04652-2022-11-01-4260','S178-12','KajUa', 'LB')
('AC04652-2022-11-01-4506','A251-6','XDR', 'SU')
('SL22517-2022-11-01-4288','S179-16','AFdJpieEfBYSCqAn', 'SU')
('AC04652-2022-11-01-4511','A251-11','xPCloNJ', 'SL')
('AC22517-2022-11-01-4396','A245-4','va', 'UB')
('AC12058-2022-11-01-4347','A242-9','g', 'UB')
('AC22517-2022-11-02-4336','A241-16','ndFJOY', 'UB')
('AC22517-2022-11-01-4403','A245-11','PsqcqotgDubWGeNW', 'SL')
