('AC04652-2022-11-02-200','A12-2','efxi', 'LB')
('AC22517-2022-11-02-186','A11-6','bwusZLBKvWkVHZ', 'SU')
('SL04652-2022-11-02-204','S9-12','BydTH', 'LB')
('AC04652-2022-11-01-220','A13-4','dI', 'UB')
('SL12058-2022-11-01-197','S9-5','SfqGMBq', 'MB')
('SL04652-2022-11-02-208','S9-16','lANeBqyLwkp', 'SU')
('SL12058-2022-11-01-199','S9-7','EJ', 'SL')
('AC12058-2022-11-01-282','A16-12','CcHdDAbOPsA', 'SU')
('SL04652-2022-11-02-285','S12-21','JtbvsGBVysNMY', 'MB')
('SL04652-2022-11-02-286','S12-22','gKahKMRfZc', 'UB')
('SL04652-2022-11-02-287','S12-23','zqxG', 'SL')
('AC04652-2022-11-01-301','A17-13','mHozsvYnnOu', 'LB')
('AC04652-2022-11-01-302','A17-14','MYYSofNVP', 'LB')
('SL22517-2022-11-01-298','S13-10','UOpX', 'MB')
('SL22517-2022-11-01-301','S13-13','xAByNYwqd', 'MB')
('AC22517-2022-11-02-272','A16-2','nON', 'LB')
('SL22517-2022-11-02-271','S12-7','kYibrMebFqJP', 'SL')
('AC22517-2022-11-01-284','A16-14','kisWwDhEIUPf', 'LB')
('SL12058-2022-11-01-279','S12-15','CZOqJAerH', 'SL')
('SL12058-2022-11-01-280','S12-16','rsgcOQgrDpwblJA', 'SU')
('AC22517-2022-11-01-287','A16-17','hlrYRJxxZwAT', 'SL')
('SL22517-2022-11-02-274','S12-10','evJEKxfcANKDVh', 'MB')
('AC22517-2022-11-02-276','A16-6','p', 'SU')
('SL04652-2022-11-01-313','S14-1','EKK', 'LB')
('AC12058-2022-11-01-293','A17-5','XdViTvVEPE', 'SL')
('SL12058-2022-11-01-283','S12-19','NtwLuuk', 'UB')
('AC12058-2022-11-01-394','A22-16','MHLQKJssghgmjKRb', 'UB')
('SL22517-2022-11-02-378','S16-18','ruSfEwh', 'MB')
('SL22517-2022-11-01-406','S17-22','yGuUGE', 'UB')
('SL12058-2022-11-01-396','S17-12','hdDvXVsGLje', 'LB')
('AC04652-2022-11-02-425','A24-11','KdgqApUD', 'SL')
('SL04652-2022-11-01-427','S18-19','jSbziESZ', 'UB')
('AC04652-2022-11-01-432','A24-18','Zp', 'SU')
('AC04652-2022-11-02-437','A25-5','widoiilUTwN', 'SL')
('SL22517-2022-11-02-388','S17-4','FlhcvIWPm', 'LB')
('AC04652-2022-11-02-439','A25-7','CIO', 'LB')
('SL04652-2022-11-01-433','S19-1','ILhmUMDou', 'LB')
('AC12058-2022-11-01-411','A23-15','TMBSzYpuKdQ', 'UB')
('SL22517-2022-11-01-416','S18-8','HDcBulUOLLueX', 'SU')
('SL12058-2022-11-01-405','S17-21','sOPND', 'MB')
('SL22517-2022-11-02-391','S17-7','HUt', 'SL')
('SL12058-2022-11-01-406','S17-22','wpMbYtPnKUxcTsDs', 'UB')
('SL12058-2022-11-01-407','S17-23','rdKAidB', 'SL')
('AC04652-2022-11-02-444','A25-12','sfrl', 'SU')
('SL22517-2022-11-02-394','S17-10','VIfu', 'MB')
('AC22517-2022-11-01-408','A23-12','BtGbHRPSc', 'SU')
('SL22517-2022-11-02-397','S17-13','oUAzVTVF', 'MB')
('SL22517-2022-11-01-419','S18-11','oiAOWvuyfUJ', 'UB')
('SL22517-2022-11-02-399','S17-15','WuJWynbfJoWcTa', 'SL')
('SL04652-2022-11-02-425','S18-17','FlQOwH', 'LB')
('SL22517-2022-11-01-535','S23-7','PVhSZYBrEpwV', 'SL')
('SL04652-2022-11-02-534','S23-6','EZTNa', 'UB')
('AC22517-2022-11-01-512','A29-8','vTQ', 'LB')
('AC04652-2022-11-01-546','A31-6','X', 'SU')
('SL22517-2022-11-01-536','S23-8','EKBMLFRDHndiy', 'SU')
('SL04652-2022-11-01-541','S23-13','evOEVbFjjeK', 'MB')
('SL04652-2022-11-01-542','S23-14','JSHSCzfA', 'UB')
('SL22517-2022-11-02-514','S22-10','BvyZAeFnUuIVnREO', 'MB')
('SL12058-2022-11-01-517','S22-13','wGZvJ', 'MB')
('SL04652-2022-11-01-545','S23-17','ELsBmiTeGVVnxx', 'LB')
('SL04652-2022-11-02-535','S23-7','FtPFDzVFo', 'SL')
('AC22517-2022-11-01-517','A29-13','yvBpbrNyhx', 'LB')
('AC22517-2022-11-01-518','A29-14','w', 'LB')
('AC04652-2022-11-01-548','A31-8','RHyLjetxmVQeRD', 'LB')
('SL04652-2022-11-01-548','S23-20','mqfKVWIkV', 'LB')
('AC12058-2022-11-01-513','A29-9','omB', 'UB')
('SL04652-2022-11-01-551','S23-23','BrhfaASuwQZhMMH', 'SL')
('SL22517-2022-11-02-524','S22-20','WVqXC', 'LB')
('AC12058-2022-11-01-514','A29-10','SCEgvHQGPBgWPkl', 'UB')
('SL22517-2022-11-02-525','S22-21','HgvcMlZgssQtDANe', 'MB')
('SL12058-2022-11-01-527','S22-23','YTeDwT', 'SL')
('SL12058-2022-11-01-528','S22-24','alnxC', 'SU')
('AC12058-2022-11-01-515','A29-11','cEoEQRBbwBzaAy', 'SL')
('SL22517-2022-11-01-548','S23-20','THqMBRErPUGbeAL', 'LB')
('AC22517-2022-11-02-548','A31-8','ONUXWi', 'LB')
('AC22517-2022-11-02-549','A31-9','fflwlN', 'UB')
('SL04652-2022-11-02-541','S23-13','MawWIUCO', 'MB')
('AC04652-2022-11-02-566','A32-8','DjUM', 'LB')
('AC04652-2022-11-02-567','A32-9','u', 'UB')
('SL04652-2022-11-01-554','S24-2','In', 'MB')
('AC12058-2022-11-01-519','A29-15','uAkcurHoWKne', 'UB')
('AC04652-2022-11-02-569','A32-11','sLZXJKGLaFUFPy', 'SL')
('SL12058-2022-11-01-530','S23-2','X', 'MB')
('AC22517-2022-11-02-550','A31-10','DMGTw', 'UB')
('SL22517-2022-11-01-550','S23-22','CvFQ', 'UB')
('SL22517-2022-11-02-531','S23-3','IRCPFkN', 'UB')
('AC22517-2022-11-01-530','A30-8','iKTBeRxQZgrLZz', 'LB')
('AC22517-2022-11-01-531','A30-9','GXCIarFxaKVAVHj', 'UB')
('SL22517-2022-11-01-554','S24-2','XrQVsVORNcYDdo', 'MB')
('AC04652-2022-11-02-575','A32-17','MAScUEhFftNB', 'SL')
('AC04652-2022-11-02-577','A33-1','H', 'LB')
('SL22517-2022-11-01-557','S24-5','ktAX', 'MB')
('SL12058-2022-11-01-534','S23-6','Bl', 'UB')
('SL04652-2022-11-01-560','S24-8','TCaWori', 'SU')
('AC04652-2022-11-01-572','A32-14','IAW', 'LB')
('SL22517-2022-11-02-537','S23-9','orhXfTC', 'LB')
('SL12058-2022-11-01-538','S23-10','mDgVQeAZAU', 'MB')
('SL22517-2022-11-02-540','S23-12','SoeYRRfcAdPI', 'LB')
('AC04652-2022-11-02-579','A33-3','yRmdbRMmZkS', 'UB')
('SL04652-2022-11-01-565','S24-13','BwfigZlpY', 'MB')
('SL22517-2022-11-02-542','S23-14','sXJrhDyLI', 'UB')
('AC22517-2022-11-02-562','A32-4','tmIwHnvVkaYHt', 'UB')
('SL12058-2022-11-01-540','S23-12','UHSQYBsFRK', 'LB')
('AC22517-2022-11-01-538','A30-16','UjO', 'UB')
('SL04652-2022-11-02-550','S23-22','zvUsWw', 'UB')
('SL04652-2022-11-01-569','S24-17','PNzcbmma', 'LB')
('AC12058-2022-11-01-528','A30-6','aIIbg', 'SU')
('SL22517-2022-11-01-561','S24-9','lPXXmRgbPIGB', 'LB')
('AC22517-2022-11-02-566','A32-8','bUc', 'LB')
('SL04652-2022-11-01-571','S24-19','rEjyqs', 'UB')
('AC22517-2022-11-01-544','A31-4','bMcdEv', 'UB')
('SL22517-2022-11-02-548','S23-20','IukFYoRPH', 'LB')
('SL22517-2022-11-02-551','S23-23','vInceNWK', 'SL')
('AC04652-2022-11-01-582','A33-6','onqxTIJGFr', 'SU')
('SL04652-2022-11-02-555','S24-3','qMzLMFJoFNoT', 'UB')
('AC04652-2022-11-01-584','A33-8','WtpgaE', 'LB')
('SL22517-2022-11-01-564','S24-12','hYA', 'LB')
('AC22517-2022-11-02-574','A32-16','hpRatXno', 'UB')
('AC12058-2022-11-01-533','A30-11','JfQezLu', 'SL')
('AC22517-2022-11-01-550','A31-10','igy', 'UB')
('SL22517-2022-11-02-555','S24-3','aRgwuo', 'UB')
('SL04652-2022-11-02-558','S24-6','dnRPtOoMGMOMn', 'UB')
('SL04652-2022-11-02-559','S24-7','dl', 'SL')
('SL22517-2022-11-02-557','S24-5','QOQaGAl', 'MB')
('SL04652-2022-11-02-560','S24-8','IOkeBGqcLp', 'SU')
('AC22517-2022-11-01-556','A31-16','zEUxpjqWvDmu', 'UB')
('SL04652-2022-11-02-563','S24-11','FRYJMzn', 'UB')
('SL22517-2022-11-01-569','S24-17','ftSJRejmx', 'LB')
('SL22517-2022-11-02-561','S24-9','yoiGEtkqXFFyc', 'LB')
('AC04652-2022-11-01-593','A33-17','KFMjdFhLiUmvbdD', 'SL')
('AC22517-2022-11-02-577','A33-1','bJSllhWio', 'LB')
('AC12058-2022-11-01-540','A30-18','NPFysaJIIZ', 'SU')
('AC04652-2022-11-01-598','A34-4','yhqcvKT', 'UB')
('SL22517-2022-11-02-566','S24-14','uYbrvFC', 'UB')
('SL22517-2022-11-02-567','S24-15','ZTFmvdP', 'SL')
('SL12058-2022-11-01-554','S24-2','bXONjWlU', 'MB')
('AC12058-2022-11-01-552','A31-12','cKdajgczOTrm', 'SU')
('SL12058-2022-11-01-556','S24-4','l', 'LB')
('AC04652-2022-11-02-603','A34-9','xZhMrBDUW', 'UB')
('AC22517-2022-11-01-560','A32-2','WECQbhEXnz', 'LB')
('SL12058-2022-11-01-557','S24-5','pXBgkmeYaj', 'MB')
('AC12058-2022-11-01-554','A31-14','mkUypg', 'LB')
('SL04652-2022-11-02-571','S24-19','SinkODECdd', 'UB')
('SL22517-2022-11-01-580','S25-4','iMB', 'LB')
('SL22517-2022-11-01-581','S25-5','Um', 'MB')
('SL04652-2022-11-02-573','S24-21','vnj', 'MB')
('AC22517-2022-11-02-591','A33-15','UrrOjYqGrbWJ', 'UB')
('AC22517-2022-11-01-564','A32-6','ZnSdctNMz', 'SU')
('AC12058-2022-11-01-557','A31-17','tRaXLy', 'SL')
('SL04652-2022-11-01-588','S25-12','CqJSJGvVwlMzi', 'LB')
('AC04652-2022-11-02-610','A34-16','bEYqQ', 'UB')
('SL04652-2022-11-01-590','S25-14','oDoDuJbEiwv', 'UB')
('SL22517-2022-11-01-586','S25-10','Lfq', 'MB')
('SL22517-2022-11-01-587','S25-11','udWphtyYvpVemQk', 'UB')
('AC22517-2022-11-01-571','A32-13','fstYOYGt', 'LB')
('AC04652-2022-11-02-612','A34-18','KoBddNQin', 'SU')
('SL04652-2022-11-01-592','S25-16','FdCZlpexMaQkw', 'SU')
('AC22517-2022-11-02-597','A34-3','wLWXRAtM', 'UB')
('AC22517-2022-11-02-598','A34-4','ycFSEaC', 'UB')
('AC04652-2022-11-02-615','A35-3','hHflMhcTIvANaTV', 'UB')
('AC22517-2022-11-02-600','A34-6','CtzdbLZyYkrEIGDa', 'SU')
('SL04652-2022-11-01-652','S28-4','uY', 'LB')
('AC04652-2022-11-01-674','A38-8','pqIUNKn', 'LB')
('SL12058-2022-11-01-638','S27-14','ochrKKoZP', 'UB')
('AC12058-2022-11-01-626','A35-14','puuAqJWMmZrsN', 'LB')
('AC22517-2022-11-01-632','A36-2','jRR', 'LB')
('SL04652-2022-11-02-639','S27-15','vwwdicxcSIp', 'SL')
('AC04652-2022-11-01-676','A38-10','oP', 'UB')
('SL04652-2022-11-01-654','S28-6','RPBT', 'UB')
('SL22517-2022-11-01-638','S27-14','QZlowPib', 'UB')
('SL04652-2022-11-01-655','S28-7','jmqjNjb', 'SL')
('AC12058-2022-11-01-627','A35-15','CUsbDZhYe', 'UB')
('SL04652-2022-11-01-659','S28-11','Ogy', 'UB')
('AC04652-2022-11-01-679','A38-13','AsvBEOoJsNR', 'LB')
('SL12058-2022-11-01-642','S27-18','OWnO', 'MB')
('AC22517-2022-11-01-636','A36-6','xtxcmykkLjpKwSQ', 'SU')
('SL22517-2022-11-01-642','S27-18','GPRkMahMFVG', 'MB')
('SL04652-2022-11-02-644','S27-20','ZcQjxqaRWIiNULOZ', 'LB')
('SL22517-2022-11-01-643','S27-19','bFpj', 'UB')
('AC22517-2022-11-01-638','A36-8','cCvGRIv', 'LB')
('SL04652-2022-11-02-646','S27-22','SjHMCROIrBURR', 'UB')
('SL04652-2022-11-01-662','S28-14','ZGaSMmXEew', 'UB')
('AC12058-2022-11-01-630','A35-18','D', 'SU')
('AC04652-2022-11-01-682','A38-16','yPwwHWtcNvuE', 'UB')
('AC22517-2022-11-01-640','A36-10','WRFJUPueXO', 'UB')
('AC22517-2022-11-02-663','A37-15','bYoNnDFAUsCgF', 'UB')
('AC04652-2022-11-02-699','A39-15','uXyJZmuJiU', 'UB')
('AC22517-2022-11-02-666','A37-18','JvJJzWPS', 'SU')
('SL22517-2022-11-01-649','S28-1','FsBv', 'LB')
('SL04652-2022-11-01-665','S28-17','FelqMwFEyHd', 'LB')
('SL04652-2022-11-01-666','S28-18','HTtDCwJSS', 'MB')
('AC04652-2022-11-02-705','A40-3','eUajpnk', 'UB')
('AC22517-2022-11-02-673','A38-7','ykgC', 'LB')
('SL12058-2022-11-01-647','S27-23','KZuXOZIicN', 'SL')
('SL12058-2022-11-01-648','S27-24','uWXc', 'SU')
('AC22517-2022-11-02-675','A38-9','sfktpWlPVjh', 'UB')
('SL04652-2022-11-02-654','S28-6','gRpcpQUpCQbix', 'UB')
('AC22517-2022-11-01-648','A36-18','oZeMtjPG', 'SU')
('AC22517-2022-11-01-650','A37-2','dPd', 'LB')
('SL22517-2022-11-02-642','S27-18','i', 'MB')
