('SL04652-2022-11-02-9','S1-9','EPRAqNVDc', 'LB')
('SL22517-2022-11-02-21','S1-21','aygkiC', 'MB')
('AC04652-2022-11-01-22','A2-4','GYKdy', 'UB')
('AC22517-2022-11-02-24','A2-6','tc', 'SU')
('SL04652-2022-11-01-29','S2-5','wPzdxsmVhBp', 'MB')
('SL22517-2022-11-02-29','S2-5','DtMXgEwduFiVC', 'MB')
('AC12058-2022-11-01-31','A2-13','JeqP', 'LB')
('AC12058-2022-11-01-32','A2-14','eEcN', 'LB')
('SL22517-2022-11-01-31','S2-7','I', 'SL')
('SL22517-2022-11-01-32','S2-8','TZ', 'SU')
('AC22517-2022-11-02-28','A2-10','JwxBpT', 'UB')
('SL04652-2022-11-01-32','S2-8','USMpVpvRSbwE', 'SU')
('SL22517-2022-11-01-34','S2-10','aP', 'MB')
('AC12058-2022-11-01-38','A3-2','zTBSAVIVFuaFwH', 'LB')
('AC04652-2022-11-02-39','A3-3','VkcDnwcHdpEIuHz', 'UB')
('SL12058-2022-11-01-38','S2-14','nyUbLMbjZeeibrFv', 'UB')
('SL12058-2022-11-01-45','S2-21','nkgEq', 'MB')
('AC22517-2022-11-02-41','A3-5','eiRUd', 'SL')
('AC04652-2022-11-02-47','A3-11','LLb', 'SL')
('SL04652-2022-11-02-38','S2-14','ASEyjLoHEmyV', 'UB')
('SL12058-2022-11-01-60','S3-12','QodZ', 'LB')
('AC04652-2022-11-01-48','A3-12','IlrAHtCsYNo', 'SU')
('SL04652-2022-11-01-82','S4-10','bkoGifyri', 'MB')
('AC22517-2022-11-01-81','A5-9','umFASv', 'UB')
('AC22517-2022-11-02-89','A5-17','rblmYxy', 'SL')
('AC04652-2022-11-01-81','A5-9','GljReGViPCBZBCJm', 'UB')
('SL04652-2022-11-02-80','S4-8','cvd', 'SU')
('SL12058-2022-11-01-72','S3-24','Xfx', 'SU')
('AC22517-2022-11-01-88','A5-16','KNUjjQW', 'UB')
('SL12058-2022-11-01-75','S4-3','nTIxuXQ', 'UB')
('SL12058-2022-11-01-76','S4-4','HIoYGdcDw', 'LB')
('AC22517-2022-11-02-92','A6-2','vqXPzFSZJxhyU', 'LB')
('AC12058-2022-11-01-88','A5-16','oVBhKdqulBqEqtb', 'UB')
('AC04652-2022-11-02-84','A5-12','NzuXgVklILHzDRnn', 'SU')
('AC22517-2022-11-01-92','A6-2','ZtvdZGjZFyHDYAc', 'LB')
('SL12058-2022-11-01-82','S4-10','ycpMVynzvvImsLxv', 'MB')
('AC04652-2022-11-02-87','A5-15','FyhQI', 'UB')
('SL22517-2022-11-01-86','S4-14','C', 'UB')
('AC22517-2022-11-01-107','A6-17','NJOYGwTLAxelZmQ', 'SL')
('SL22517-2022-11-02-102','S5-6','pcwwwIHTygPKJLN', 'UB')
('AC22517-2022-11-01-112','A7-4','rTnr', 'UB')
('AC22517-2022-11-02-116','A7-8','JoKTzjADFEmnTd', 'LB')
('SL04652-2022-11-02-91','S4-19','EILfhDVJ', 'UB')
('AC04652-2022-11-02-105','A6-15','booTBN', 'UB')
('AC04652-2022-11-02-106','A6-16','caBPH', 'UB')
('AC04652-2022-11-02-107','A6-17','xubo', 'SL')
('SL22517-2022-11-01-96','S4-24','WsfbxHfudYxkBll', 'SU')
('AC22517-2022-11-01-115','A7-7','OfmkD', 'LB')
('AC04652-2022-11-01-106','A6-16','DwxvqGloIgaW', 'UB')
('AC22517-2022-11-01-117','A7-9','rIsDuRwHb', 'UB')
('SL22517-2022-11-01-100','S5-4','NGsExPeFmihcfRz', 'LB')
('SL22517-2022-11-02-108','S5-12','ShoIFNKhDvlMg', 'LB')
('AC12058-2022-11-01-116','A7-8','MPzLTACDZKUKp', 'LB')
