('SL04652-2022-11-01-21','S1-21','GtEvZjaNCKnIUat', 'MB')
('AC22517-2022-11-01-10','A1-10','fXupanUlYR', 'UB')
('SL22517-2022-11-02-39','S2-15','UrQrRkBgjzcGHXS', 'SL')
('SL04652-2022-11-02-37','S2-13','nLzNmCijoob', 'MB')
('SL22517-2022-11-01-51','S3-3','bpKusg', 'UB')
('SL04652-2022-11-01-39','S2-15','idkSDa', 'SL')
('SL22517-2022-11-02-49','S3-1','zykNwomctfDIRja', 'LB')
('AC22517-2022-11-01-42','A3-6','XypWg', 'SU')
('SL22517-2022-11-01-56','S3-8','LuuhML', 'SU')
('SL04652-2022-11-02-44','S2-20','hupCO', 'LB')
('AC04652-2022-11-01-46','A3-10','hUnrGAQorqhFzcUn', 'UB')
('AC04652-2022-11-02-56','A4-2','XowcSU', 'LB')
('SL04652-2022-11-01-79','S4-7','pLSwPlCqwOJ', 'SL')
('SL04652-2022-11-01-80','S4-8','dcFsehjFPERkAI', 'SU')
('AC12058-2022-11-01-82','A5-10','hD', 'UB')
('SL04652-2022-11-02-76','S4-4','IpSjdFiHpeum', 'LB')
('AC04652-2022-11-01-78','A5-6','PDXzsuHRCxQqS', 'SU')
('SL22517-2022-11-01-82','S4-10','I', 'MB')
('AC22517-2022-11-02-108','A6-18','sChQJyF', 'SU')
('AC22517-2022-11-02-109','A7-1','bpbTtkhJGvwyIHhi', 'LB')
('SL22517-2022-11-02-98','S5-2','jkKOdyINvgvNd', 'MB')
('SL04652-2022-11-01-103','S5-7','wmMQJnjuAKEcmH', 'SL')
('AC22517-2022-11-02-112','A7-4','ukeFOCBZVC', 'UB')
('SL22517-2022-11-02-99','S5-3','aXmpjbmivXugpus', 'UB')
('SL04652-2022-11-02-89','S4-17','SObAbleV', 'LB')
('SL22517-2022-11-02-100','S5-4','mHWHzEpBfdyqZI', 'LB')
('AC04652-2022-11-02-102','A6-12','qM', 'SU')
('SL12058-2022-11-01-108','S5-12','PeKPerf', 'LB')
('AC04652-2022-11-02-103','A6-13','mPrPFFVjtDDK', 'LB')
('AC22517-2022-11-01-106','A6-16','FwoidVsmpWDiVLE', 'UB')
('SL22517-2022-11-01-85','S4-13','SOjNGRJO', 'MB')
('AC04652-2022-11-01-102','A6-12','CQVJxfCEEgn', 'SU')
('AC12058-2022-11-01-103','A6-13','afJ', 'LB')
('AC22517-2022-11-01-109','A7-1','qyww', 'LB')
('AC22517-2022-11-01-111','A7-3','qMOuskSb', 'UB')
('SL22517-2022-11-01-90','S4-18','rMqYmkeY', 'MB')
('SL12058-2022-11-01-110','S5-14','cUBypZybJBbTOLiR', 'UB')
('SL04652-2022-11-02-114','S5-18','ZRIfAOUBEORtgxb', 'MB')
('SL22517-2022-11-02-129','S6-9','pCPDvpvuQKONbT', 'LB')
('AC22517-2022-11-01-128','A8-2','xmtEqkizUrEB', 'LB')
('SL12058-2022-11-01-140','S6-20','O', 'LB')
('SL22517-2022-11-01-149','S7-5','VqfTAhXfKe', 'MB')
('SL22517-2022-11-01-154','S7-10','JUsuvnJ', 'MB')
('AC12058-2022-11-01-158','A9-14','J', 'LB')
('SL12058-2022-11-01-158','S7-14','Pw', 'UB')
('SL22517-2022-11-02-152','S7-8','BZbjwzNZQIpBLWM', 'SU')
('SL22517-2022-11-01-157','S7-13','CUEOUnjxidstjWY', 'MB')
('AC22517-2022-11-01-153','A9-9','IKyeaCu', 'UB')
('SL22517-2022-11-02-153','S7-9','tRYNZCXLiN', 'LB')
('SL04652-2022-11-02-128','S6-8','HeaxrymdCCgtmnt', 'SU')
('AC04652-2022-11-02-164','A10-2','IfMCnkOSLnf', 'LB')
('SL12058-2022-11-01-184','S8-16','KRCymhLBpsZdwszK', 'SU')
('SL04652-2022-11-02-157','S7-13','PzqViFHbqUtfM', 'MB')
('SL04652-2022-11-01-185','S8-17','JLIECEjR', 'LB')
('AC22517-2022-11-01-188','A11-8','wIgsxzTlk', 'LB')
('AC04652-2022-11-01-213','A12-15','uXl', 'UB')
('SL04652-2022-11-02-176','S8-8','HLqn', 'SU')
('AC22517-2022-11-01-216','A12-18','LJLFb', 'SU')
('SL22517-2022-11-01-216','S9-24','FRiclLooCFWQrJQ', 'SU')
('AC04652-2022-11-01-219','A13-3','wTBKcHITmkgHAU', 'UB')
('AC22517-2022-11-02-225','A13-9','ByLXiHRNSr', 'UB')
('AC04652-2022-11-01-226','A13-10','dTCtAAbhxv', 'UB')
('SL22517-2022-11-02-217','S10-1','JNLKgBGz', 'LB')
('AC22517-2022-11-02-236','A14-2','NpbXJxK', 'LB')
('SL22517-2022-11-02-223','S10-7','CiMDI', 'SL')
('SL12058-2022-11-01-216','S9-24','ftnjAiKhFtJaWBfQ', 'SU')
('SL12058-2022-11-01-217','S10-1','YTmICTQoANxc', 'LB')
('SL04652-2022-11-01-215','S9-23','MbivTYFObfAgm', 'SL')
('SL04652-2022-11-02-191','S8-23','ajvurZxjJAA', 'SL')
('SL22517-2022-11-01-228','S10-12','BQpXVQEgwCeWaSL', 'LB')
('AC04652-2022-11-02-208','A12-10','uPyToAvzFAE', 'UB')
('AC04652-2022-11-02-209','A12-11','VSJPdgFiQxGzBu', 'SL')
('AC12058-2022-11-01-226','A13-10','yFW', 'UB')
('SL04652-2022-11-01-220','S10-4','Yx', 'LB')
('SL12058-2022-11-01-224','S10-8','WmPycyv', 'SU')
('SL04652-2022-11-02-195','S9-3','NYV', 'UB')
('AC22517-2022-11-01-227','A13-11','AqmVnAybFpdGyiZ', 'SL')
('SL04652-2022-11-01-285','S12-21','ETfAygpzxStFG', 'MB')
('SL04652-2022-11-02-267','S12-3','RFBMtcPznrNEDFxV', 'UB')
('SL04652-2022-11-01-286','S12-22','lCxNujrE', 'UB')
('SL04652-2022-11-01-287','S12-23','qD', 'SL')
('AC22517-2022-11-02-323','A18-17','qKFVAOAreiG', 'SL')
('AC22517-2022-11-01-286','A16-16','izdleCHGJqv', 'UB')
('AC04652-2022-11-02-302','A17-14','HC', 'LB')
('SL22517-2022-11-01-328','S14-16','BvVPskR', 'SU')
('AC12058-2022-11-01-331','A19-7','rBEMILhxWKulmVKd', 'LB')
('SL12058-2022-11-01-325','S14-13','GlryNX', 'MB')
('SL04652-2022-11-02-288','S12-24','hmVlFIwYiH', 'SU')
('SL04652-2022-11-02-289','S13-1','ovZN', 'LB')
('AC12058-2022-11-01-337','A19-13','EcpyBKCP', 'LB')
('SL04652-2022-11-02-291','S13-3','mJ', 'UB')
('SL04652-2022-11-02-294','S13-6','XiK', 'UB')
('AC12058-2022-11-01-342','A19-18','zx', 'SU')
('AC04652-2022-11-01-355','A20-13','emdke', 'LB')
('AC04652-2022-11-01-356','A20-14','QarSivBqBh', 'LB')
('AC04652-2022-11-02-325','A19-1','kZURTyDTSGXuSpl', 'LB')
('AC22517-2022-11-02-359','A20-17','obFsNTpWEYPigv', 'SL')
('AC22517-2022-11-02-360','A20-18','HBLXq', 'SU')
('AC22517-2022-11-02-361','A21-1','hgFPpPLLbLvWe', 'LB')
('AC22517-2022-11-02-369','A21-9','hqqJMBt', 'UB')
('AC22517-2022-11-02-397','A23-1','LxmlFIhbAhFI', 'LB')
('SL04652-2022-11-01-350','S15-14','GGhZfewOnkz', 'UB')
('SL22517-2022-11-01-363','S16-3','JDuNJdIByNoZS', 'UB')
('SL22517-2022-11-02-347','S15-11','PRUVMjVpkWB', 'UB')
('AC22517-2022-11-02-401','A23-5','m', 'SL')
('SL12058-2022-11-01-367','S16-7','TElnCf', 'SL')
('AC22517-2022-11-01-343','A20-1','wtl', 'LB')
('SL22517-2022-11-02-352','S15-16','ppwmKszyCvliDd', 'SU')
('AC04652-2022-11-02-361','A21-1','fWutDyn', 'LB')
('SL04652-2022-11-01-359','S15-23','hybh', 'SL')
('SL04652-2022-11-01-361','S16-1','ElRgPr', 'LB')
('SL22517-2022-11-01-372','S16-12','jyUSMGDfiGur', 'LB')
('SL04652-2022-11-02-332','S14-20','K', 'LB')
('AC22517-2022-11-01-349','A20-7','TRavUewtCB', 'LB')
('SL22517-2022-11-02-355','S15-19','zKVqkVGiOk', 'UB')
('AC12058-2022-11-01-388','A22-10','Hyfd', 'UB')
('AC04652-2022-11-02-377','A21-17','SHzeTMwlQG', 'SL')
('AC22517-2022-11-02-423','A24-9','XKZSO', 'UB')
('AC22517-2022-11-01-353','A20-11','YLfBhDI', 'SL')
('AC04652-2022-11-01-401','A23-5','OVxj', 'SL')
('AC12058-2022-11-01-400','A23-4','EvidTk', 'UB')
('AC04652-2022-11-01-405','A23-9','QVfccp', 'UB')
('SL12058-2022-11-01-393','S17-9','kzqLxhEMw', 'LB')
('SL12058-2022-11-01-399','S17-15','BgGsO', 'SL')
('AC22517-2022-11-02-428','A24-14','ufgOs', 'LB')
('AC22517-2022-11-02-429','A24-15','uisCOx', 'UB')
('SL12058-2022-11-01-400','S17-16','bkHmoy', 'SU')
('SL12058-2022-11-01-401','S17-17','lPq', 'LB')
('AC22517-2022-11-02-430','A24-16','RmJKT', 'UB')
('AC04652-2022-11-01-408','A23-12','THabRFAmqqf', 'SU')
('AC04652-2022-11-01-409','A23-13','PFNVWgQN', 'LB')
('AC04652-2022-11-01-410','A23-14','TlrpGQPg', 'LB')
('SL22517-2022-11-02-378','S16-18','eUhsNOAxnFHkK', 'MB')
('AC04652-2022-11-01-411','A23-15','yhKtxnVSmplMP', 'UB')
('AC04652-2022-11-02-399','A23-3','HcEXesrHk', 'UB')
('AC04652-2022-11-02-400','A23-4','MfjEJsVsz', 'UB')
('SL04652-2022-11-02-360','S15-24','WCQAhA', 'SU')
('AC04652-2022-11-02-402','A23-6','OyPMK', 'SU')
