('SL04652-2022-11-02-3','S1-3','sTLPh', 'UB')
('SL04652-2022-11-02-4','S1-4','rufklHpp', 'LB')
('AC22517-2022-11-02-5','A1-5','mhkpEJTDdnwO', 'SL')
('AC12058-2022-11-01-14','A1-14','UidrxI', 'LB')
('SL22517-2022-11-02-15','S1-15','tQiF', 'SL')
('SL04652-2022-11-01-19','S1-19','lgUaaGCnvk', 'UB')
('AC12058-2022-11-01-21','A2-3','gcucVBaSCQbLDR', 'UB')
('AC12058-2022-11-01-22','A2-4','WwPIILyKyriLS', 'UB')
('SL04652-2022-11-01-22','S1-22','dAdkEvcCJbBHpS', 'UB')
('AC22517-2022-11-02-16','A1-16','CRW', 'UB')
('SL22517-2022-11-01-22','S1-22','PJzVi', 'UB')
('AC04652-2022-11-02-23','A2-5','KLjjnoKfkp', 'SL')
('SL22517-2022-11-02-25','S2-1','CHVn', 'LB')
('AC22517-2022-11-02-23','A2-5','OwKMqxr', 'SL')
('SL22517-2022-11-02-41','S2-17','BzgwcthR', 'LB')
('AC22517-2022-11-02-42','A3-6','hEnTEKCXiYifVMT', 'SU')
('AC22517-2022-11-01-36','A2-18','zVdnDRF', 'SU')
('SL04652-2022-11-02-40','S2-16','pC', 'SU')
('SL04652-2022-11-01-41','S2-17','x', 'LB')
('AC04652-2022-11-02-50','A3-14','RoY', 'LB')
('AC04652-2022-11-02-52','A3-16','jUDbJjeKUOXd', 'UB')
('AC22517-2022-11-02-48','A3-12','QlCPr', 'SU')
('SL22517-2022-11-02-50','S3-2','AdM', 'MB')
('SL04652-2022-11-02-42','S2-18','BeadClX', 'MB')
('SL04652-2022-11-01-44','S2-20','RVpDlMnakbVgM', 'LB')
('SL12058-2022-11-01-56','S3-8','DHDvlyuC', 'SU')
('AC12058-2022-11-01-56','A4-2','AYmEFTlWWBDR', 'LB')
('SL04652-2022-11-02-45','S2-21','nXYJdwhFxYrBVere', 'MB')
('AC22517-2022-11-01-45','A3-9','fFVGWvvdiyNn', 'UB')
('SL04652-2022-11-01-48','S2-24','SIGbILlfkQloZ', 'SU')
('AC22517-2022-11-02-56','A4-2','TsBMtaY', 'LB')
('SL12058-2022-11-01-65','S3-17','lsJibaFEpTOoF', 'LB')
('AC22517-2022-11-01-50','A3-14','n', 'LB')
('SL04652-2022-11-01-61','S3-13','xxriE', 'MB')
('AC12058-2022-11-01-67','A4-13','x', 'LB')
('AC04652-2022-11-01-60','A4-6','WQDxWdeoAVaQpCvS', 'SU')
('AC22517-2022-11-01-59','A4-5','BDVINnZVlnWjtQqV', 'SL')
('SL22517-2022-11-01-68','S3-20','cpwAHrVqc', 'LB')
('AC22517-2022-11-02-64','A4-10','FDgWfvDCA', 'UB')
('SL12058-2022-11-01-137','S6-17','uhuZUcNPyGX', 'LB')
('SL12058-2022-11-01-203','S9-11','DRwOexOxcHNclPc', 'UB')
