('SL04652-2022-11-01-13','S1-13','kWJbDh', 'MB')
('AC04652-2022-11-01-12','A1-12','ShGwTAr', 'SU')
('AC04652-2022-11-01-13','A1-13','VNugrOrFzPxhqP', 'LB')
('AC12058-2022-11-01-23','A2-5','PSneGBeKLdyLgumW', 'SL')
('SL04652-2022-11-02-21','S1-21','GmmafY', 'MB')
('AC12058-2022-11-01-28','A2-10','EbaIvbfmUyvndB', 'UB')
('SL22517-2022-11-01-26','S2-2','SZc', 'MB')
('SL12058-2022-11-01-25','S2-1','cTNLCM', 'LB')
('SL22517-2022-11-02-30','S2-6','km', 'UB')
('SL04652-2022-11-02-27','S2-3','IFpflkgnjtGq', 'UB')
('SL04652-2022-11-02-28','S2-4','gfDjmFphrhdV', 'LB')
('SL04652-2022-11-02-29','S2-5','tpb', 'MB')
('SL22517-2022-11-01-33','S2-9','RtEwnktTuEFOVDJn', 'LB')
('SL12058-2022-11-01-36','S2-12','PY', 'LB')
('AC22517-2022-11-02-33','A2-15','CMUjzo', 'UB')
('AC22517-2022-11-02-34','A2-16','SD', 'UB')
('SL04652-2022-11-02-34','S2-10','gWeRGLZqDc', 'MB')
('SL12058-2022-11-01-48','S2-24','BJVq', 'SU')
('SL04652-2022-11-01-38','S2-14','uRtwODYu', 'UB')
('SL12058-2022-11-01-50','S3-2','ENWCGL', 'MB')
('SL22517-2022-11-01-53','S3-5','SwNM', 'MB')
('AC04652-2022-11-02-53','A3-17','tYhwZmFTjHG', 'SL')
('SL04652-2022-11-01-42','S2-18','jfSjHoJrflKChZa', 'MB')
('AC04652-2022-11-02-54','A3-18','LAjfnCUClGMP', 'SU')
('SL22517-2022-11-02-51','S3-3','UdLNhROiMx', 'UB')
('AC22517-2022-11-02-49','A3-13','RMvqZotBjelTpgjV', 'LB')
('AC04652-2022-11-01-45','A3-9','qeBtVHA', 'UB')
('AC22517-2022-11-01-44','A3-8','POysCDjTarxx', 'LB')
('AC04652-2022-11-01-47','A3-11','YhDMOBLP', 'SL')
('SL22517-2022-11-02-54','S3-6','JgEqx', 'UB')
('SL12058-2022-11-01-59','S3-11','oY', 'UB')
('SL04652-2022-11-02-49','S3-1','rnFfgVYzKZDbvQq', 'LB')
('SL22517-2022-11-02-55','S3-7','mMapeD', 'SL')
('AC22517-2022-11-02-57','A4-3','FgaDusQdRRpp', 'UB')
('SL22517-2022-11-01-62','S3-14','zts', 'UB')
('AC22517-2022-11-01-47','A3-11','tdTQ', 'SL')
('SL22517-2022-11-01-63','S3-15','KxGmnhOJuSWjRCy', 'SL')
('AC22517-2022-11-01-48','A3-12','XkTJDzhIirMrb', 'SU')
('SL04652-2022-11-01-57','S3-9','xrYICnwFw', 'LB')
('SL22517-2022-11-01-65','S3-17','BLXGatpfMVvUiy', 'LB')
('SL22517-2022-11-02-83','S4-11','XkogfTGSuZU', 'UB')
('AC22517-2022-11-01-82','A5-10','TErRKJNM', 'UB')
('AC04652-2022-11-02-78','A5-6','RyiNvmN', 'SU')
('AC22517-2022-11-01-84','A5-12','qGYjU', 'SU')
('AC04652-2022-11-01-82','A5-10','fMVT', 'UB')
('AC22517-2022-11-02-91','A6-1','n', 'LB')
('SL04652-2022-11-02-81','S4-9','rPRRRIKGtk', 'LB')
('SL04652-2022-11-01-86','S4-14','TWz', 'UB')
('SL22517-2022-11-01-84','S4-12','JxpmuNtWUG', 'LB')
('SL12058-2022-11-01-109','S5-13','Lz', 'MB')
('AC12058-2022-11-01-102','A6-12','KWn', 'SU')
('AC22517-2022-11-01-108','A6-18','lYaTV', 'SU')
('SL22517-2022-11-02-103','S5-7','oGzc', 'SL')
('SL04652-2022-11-02-111','S5-15','nStxsxYMrcibXR', 'SL')
('SL04652-2022-11-02-112','S5-16','vPqQW', 'SU')
('AC04652-2022-11-02-121','A7-13','xbpSCLgrcnYbw', 'LB')
('SL22517-2022-11-01-138','S6-18','tZLqvb', 'MB')
('SL12058-2022-11-01-139','S6-19','MlEjejTsBCVocZWH', 'UB')
('AC04652-2022-11-02-142','A8-16','vNhL', 'UB')
('SL22517-2022-11-02-157','S7-13','hWdXBhv', 'MB')
('AC04652-2022-11-01-145','A9-1','PnpkMqMbTrSDR', 'LB')
('AC22517-2022-11-02-166','A10-4','ExqDObjzJcMNJN', 'UB')
('SL04652-2022-11-02-151','S7-7','o', 'SL')
('SL22517-2022-11-02-182','S8-14','InDwJMevYksm', 'UB')
('AC04652-2022-11-01-174','A10-12','VnMxMRb', 'SU')
('AC12058-2022-11-01-187','A11-7','bOoNzRcyDZ', 'LB')
('AC22517-2022-11-02-191','A11-11','CdrOaJsOFXXkc', 'SL')
('SL04652-2022-11-02-154','S7-10','BrPhuZgulsnZPIB', 'MB')
('SL22517-2022-11-01-188','S8-20','ofyeEoVHFKFB', 'LB')
('AC04652-2022-11-01-177','A10-15','dvml', 'UB')
('SL22517-2022-11-02-186','S8-18','XUUSshH', 'MB')
('AC04652-2022-11-02-163','A10-1','DgYdZjafZhS', 'LB')
('AC04652-2022-11-02-197','A11-17','zJivoPvb', 'SL')
('AC12058-2022-11-01-214','A12-16','rHqQBiTxcgyzJN', 'UB')
('SL22517-2022-11-01-218','S10-2','Gtugwmmcjf', 'MB')
('AC22517-2022-11-01-219','A13-3','PnjJrzMETfco', 'UB')
('AC22517-2022-11-02-232','A13-16','WExbsDRo', 'UB')
('AC22517-2022-11-02-233','A13-17','uQOKSRMncRjHut', 'SL')
('SL12058-2022-11-01-215','S9-23','s', 'SL')
('SL04652-2022-11-01-216','S9-24','o', 'SU')
('SL22517-2022-11-02-226','S10-10','fXKp', 'MB')
('SL22517-2022-11-01-229','S10-13','FQKTuquC', 'MB')
('SL22517-2022-11-02-228','S10-12','itGGyrlJoBEQ', 'LB')
('AC04652-2022-11-02-207','A12-9','luTqFvE', 'UB')
('SL22517-2022-11-01-232','S10-16','BSaTjTzQzNhvnHHD', 'SU')
('SL22517-2022-11-02-231','S10-15','f', 'SL')
('AC12058-2022-11-01-231','A13-15','fJpxTcXzRRidUpz', 'UB')
('AC04652-2022-11-02-211','A12-13','oXXPYldMsk', 'LB')
('SL04652-2022-11-01-225','S10-9','rwystbiafgBxK', 'LB')
('AC04652-2022-11-02-212','A12-14','mWlhHlq', 'LB')
('SL04652-2022-11-02-203','S9-11','MxMqJMkVfTx', 'UB')
('SL04652-2022-11-01-227','S10-11','aSAfGYsVA', 'UB')
('AC22517-2022-11-02-247','A14-13','LTrKDJZc', 'LB')
('SL04652-2022-11-01-234','S10-18','LPybgquumC', 'MB')
('SL04652-2022-11-01-236','S10-20','IncrsRhtz', 'LB')
('AC22517-2022-11-02-249','A14-15','OpeaUxWcS', 'UB')
('AC22517-2022-11-02-250','A14-16','lDF', 'UB')
('AC22517-2022-11-02-251','A14-17','QrY', 'SL')
('AC04652-2022-11-01-323','A18-17','tOgGHeuJqvM', 'SL')
('AC22517-2022-11-02-340','A19-16','TQkbgZooatIYe', 'UB')
('SL22517-2022-11-02-313','S14-1','EKLn', 'LB')
('SL22517-2022-11-01-323','S14-11','hJN', 'UB')
('SL12058-2022-11-01-317','S14-5','PXY', 'MB')
('SL04652-2022-11-01-313','S14-1','KvuUDOAcKocWFJ', 'LB')
('AC22517-2022-11-02-348','A20-6','qiKpMirpIXCNvyg', 'SU')
('SL22517-2022-11-02-316','S14-4','AZUrvfBklGRIBrUh', 'LB')
('SL12058-2022-11-01-322','S14-10','qf', 'MB')
('AC04652-2022-11-01-343','A20-1','y', 'LB')
('AC04652-2022-11-01-344','A20-2','OpgojoqXjUp', 'LB')
('AC04652-2022-11-02-312','A18-6','WtwELWHmCNXz', 'SU')
('AC22517-2022-11-02-352','A20-10','czORPS', 'UB')
('AC12058-2022-11-01-333','A19-9','OQMEOmvLaP', 'UB')
('SL22517-2022-11-02-317','S14-5','tLyO', 'MB')
('AC04652-2022-11-01-348','A20-6','rkWoLHwXFTv', 'SU')
('AC04652-2022-11-01-349','A20-7','SrFCSd', 'LB')
('SL12058-2022-11-01-327','S14-15','oScYQ', 'SL')
('SL04652-2022-11-02-290','S13-2','cuYGZAA', 'MB')
('SL22517-2022-11-02-320','S14-8','XAMelYpRnLXs', 'SU')
('SL04652-2022-11-02-292','S13-4','DIABqXoUDHz', 'LB')
('SL22517-2022-11-02-324','S14-12','sCmVVxfUO', 'LB')
('SL04652-2022-11-01-321','S14-9','OxvTk', 'LB')
('AC04652-2022-11-02-449','A25-17','iwEAb', 'SL')
('SL12058-2022-11-01-454','S19-22','iTBVc', 'UB')
('AC22517-2022-11-01-405','A23-9','cucIIDa', 'UB')
('AC04652-2022-11-01-462','A26-12','BOvX', 'SU')
('SL22517-2022-11-02-428','S18-20','gDikTZypFpPz', 'LB')
('AC04652-2022-11-02-454','A26-4','KxeXGC', 'UB')
('AC04652-2022-11-02-455','A26-5','diLSjGCfgKEZy', 'SL')
('SL04652-2022-11-02-407','S17-23','auaDFrfVpjDxdSc', 'SL')
('SL22517-2022-11-01-438','S19-6','mF', 'UB')
('AC12058-2022-11-01-468','A26-18','FZDTpZuIFKKZkcRX', 'SU')
('SL22517-2022-11-02-434','S19-2','mBacOuiTEfh', 'MB')
('AC22517-2022-11-01-406','A23-10','LAiZEefbh', 'UB')
('SL04652-2022-11-02-411','S18-3','oCwsMpNzUmrnF', 'UB')
('AC12058-2022-11-01-474','A27-6','RzYjfxCCxdff', 'SU')
('AC12058-2022-11-01-475','A27-7','UpfmnuyFi', 'LB')
('AC12058-2022-11-01-476','A27-8','SDkyuJSawq', 'LB')
('SL22517-2022-11-02-437','S19-5','WucYiWFpPRqETxMF', 'MB')
('AC22517-2022-11-01-408','A23-12','ccThZgomQit', 'SU')
('AC12058-2022-11-01-479','A27-11','mDrKpxCRyBaw', 'SL')
('SL04652-2022-11-02-414','S18-6','VbMwRTPWYrJuWCGa', 'UB')
