('SL22517-2022-11-02-1231','S52-7','KhETARuWtySMXFyh', 'SL')
('AC04652-2022-11-01-1289','A72-11','dAEoHTU', 'SL')
('SL04652-2022-11-02-1258','S53-10','oyyge', 'MB')
('SL22517-2022-11-02-1233','S52-9','sIDiKvsJddLHKBw', 'LB')
('AC22517-2022-11-02-1334','A75-2','osWQXVNTiRnNLHgy', 'LB')
('AC04652-2022-11-02-1250','A70-8','sqLzI', 'LB')
('SL04652-2022-11-01-1308','S55-12','KP', 'LB')
('SL22517-2022-11-02-1234','S52-10','Lbf', 'MB')
('AC04652-2022-11-02-1252','A70-10','mUcqenUup', 'UB')
('SL04652-2022-11-01-1309','S55-13','NVVr', 'MB')
('SL04652-2022-11-02-1262','S53-14','WXnw', 'UB')
('SL04652-2022-11-02-1263','S53-15','LrbGx', 'SL')
('SL22517-2022-11-02-1236','S52-12','ebzxOFCKLH', 'LB')
('AC04652-2022-11-02-1256','A70-14','zVTq', 'LB')
('AC12058-2022-11-01-1263','A71-3','wslEBnRIGOPwOSkV', 'UB')
('SL04652-2022-11-01-1311','S55-15','mlEIGiBhzzTWLq', 'SL')
('SL22517-2022-11-02-1238','S52-14','mWVp', 'UB')
('AC04652-2022-11-02-1258','A70-16','yAEfo', 'UB')
('AC12058-2022-11-01-1265','A71-5','zXlB', 'SL')
('AC22517-2022-11-01-1259','A70-17','phxWyAzh', 'SL')
('SL04652-2022-11-01-1312','S55-16','Q', 'SU')
('AC12058-2022-11-01-1266','A71-6','nUe', 'SU')
('SL04652-2022-11-02-1268','S53-20','WFHmai', 'LB')
('AC12058-2022-11-01-1267','A71-7','jXB', 'LB')
('AC22517-2022-11-01-1260','A70-18','yjtDWrPFnPHrLV', 'SU')
('SL04652-2022-11-02-1269','S53-21','bBzjWbhc', 'MB')
('AC12058-2022-11-01-1269','A71-9','V', 'UB')
('SL12058-2022-11-01-1273','S54-1','aoCS', 'LB')
('AC12058-2022-11-01-1270','A71-10','wjVlhMlSjFhVHeho', 'UB')
('SL22517-2022-11-01-1264','S53-16','Tvl', 'SU')
('AC04652-2022-11-01-1297','A73-1','gz', 'LB')
('SL22517-2022-11-01-1265','S53-17','xGurJdWyJ', 'LB')
('AC22517-2022-11-02-1342','A75-10','rxeuQMswDdcO', 'UB')
('SL22517-2022-11-02-1250','S53-2','O', 'MB')
('AC22517-2022-11-02-1343','A75-11','WqEOhGk', 'SL')
('SL22517-2022-11-02-1251','S53-3','PcWtkkjp', 'UB')
('AC04652-2022-11-01-1301','A73-5','kRHkeaNZaZlBz', 'SL')
('AC22517-2022-11-01-1265','A71-5','DoyOB', 'SL')
('SL04652-2022-11-01-1314','S55-18','HNEgrEmtjdBDnqph', 'MB')
('SL04652-2022-11-01-1315','S55-19','YgaLicq', 'UB')
('AC12058-2022-11-01-1272','A71-12','SvMUpqcoIFih', 'SU')
('SL22517-2022-11-02-1252','S53-4','LmZnplOJyhS', 'LB')
('AC12058-2022-11-01-1273','A71-13','qKm', 'LB')
('AC04652-2022-11-01-1302','A73-6','BwmyaksYpBTsKUQ', 'SU')
('AC04652-2022-11-02-1269','A71-9','vYQlnW', 'UB')
('SL04652-2022-11-01-1317','S55-21','JHjuFGcS', 'MB')
('AC04652-2022-11-02-1271','A71-11','Jdmryy', 'SL')
('AC04652-2022-11-02-1272','A71-12','pCXZzFHDIJjCAK', 'SU')
('AC04652-2022-11-02-1273','A71-13','UisiYvBkmN', 'LB')
('SL04652-2022-11-01-1321','S56-1','ei', 'LB')
('SL22517-2022-11-02-1256','S53-8','cNcm', 'SU')
('SL22517-2022-11-01-1271','S53-23','cPazMDPCcrkXcXbo', 'SL')
('SL22517-2022-11-02-1257','S53-9','knhqH', 'LB')
('AC22517-2022-11-01-1269','A71-9','ufMXtOAApDRbj', 'UB')
('SL04652-2022-11-02-1274','S54-2','GaxfYUuGbK', 'MB')
('AC22517-2022-11-02-1352','A76-2','rBWOopMjcCCvzsU', 'LB')
('SL22517-2022-11-01-1272','S53-24','eV', 'SU')
('SL04652-2022-11-01-1325','S56-5','IteJgjgef', 'MB')
('SL04652-2022-11-01-1327','S56-7','yakvOoK', 'SL')
('AC04652-2022-11-02-1279','A72-1','xkvjLyGj', 'LB')
('SL22517-2022-11-02-1262','S53-14','XqxryZ', 'UB')
('AC22517-2022-11-02-1357','A76-7','g', 'LB')
('SL22517-2022-11-01-1277','S54-5','lDT', 'MB')
('SL22517-2022-11-02-1263','S53-15','vntUQzFkrSso', 'SL')
('AC04652-2022-11-01-1309','A73-13','TACK', 'LB')
('AC12058-2022-11-01-1284','A72-6','jrzXxdcKHbN', 'SU')
('SL04652-2022-11-01-1330','S56-10','px', 'MB')
('AC04652-2022-11-01-1310','A73-14','IQsExIuqb', 'LB')
('AC04652-2022-11-01-1311','A73-15','OzEGHFNgkXQMODDk', 'UB')
('AC12058-2022-11-01-1289','A72-11','DLK', 'SL')
('AC12058-2022-11-01-1290','A72-12','usMWxllNonDI', 'SU')
('SL04652-2022-11-02-1280','S54-8','ylrKa', 'SU')
('AC22517-2022-11-02-1363','A76-13','eDkZj', 'LB')
('SL22517-2022-11-02-1270','S53-22','RDEzRgGOHmmL', 'UB')
('SL22517-2022-11-02-1271','S53-23','zikv', 'SL')
('AC04652-2022-11-02-1286','A72-8','qYaFiebDRcE', 'LB')
('AC22517-2022-11-01-1278','A71-18','pOaACcClm', 'SU')
('AC12058-2022-11-01-1292','A72-14','mZHETjPIubAw', 'LB')
('AC04652-2022-11-01-1316','A74-2','tP', 'LB')
('SL12058-2022-11-01-1299','S55-3','hUJuKtQHoSPESV', 'UB')
('AC22517-2022-11-01-1280','A72-2','pBnZjKNuyDz', 'LB')
('AC22517-2022-11-02-1367','A76-17','qkTMHa', 'SL')
