('SL04652-2022-11-02-833','S35-17','rLpkXtJUyhB', 'LB')
('SL12058-2022-11-01-836','S35-20','UjvncemCqSZpEPr', 'LB')
('AC12058-2022-11-01-809','A45-17','t', 'SL')
('SL22517-2022-11-01-843','S36-3','IAcBQgLjjuhpu', 'UB')
('AC04652-2022-11-02-897','A50-15','y', 'UB')
('SL04652-2022-11-01-839','S35-23','pesLxXIYPao', 'SL')
('SL04652-2022-11-02-841','S36-1','amacaQZPgIA', 'LB')
('AC04652-2022-11-01-852','A48-6','CsgZhcUW', 'SU')
('AC22517-2022-11-01-838','A47-10','yyJiwZPXwTTqedj', 'UB')
('AC12058-2022-11-01-823','A46-13','ABQaeXYrCDqH', 'LB')
('AC04652-2022-11-02-908','A51-8','x', 'LB')
('AC22517-2022-11-01-839','A47-11','Rs', 'SL')
('SL12058-2022-11-01-847','S36-7','oBMlyMAm', 'SL')
('AC22517-2022-11-01-841','A47-13','pZZGgOHaoWLNa', 'LB')
('AC22517-2022-11-01-842','A47-14','VPFzRIR', 'LB')
('AC04652-2022-11-01-861','A48-15','Sv', 'UB')
('SL22517-2022-11-02-865','S37-1','j', 'LB')
('AC22517-2022-11-01-846','A47-18','PLubU', 'SU')
('SL22517-2022-11-02-867','S37-3','KAmSQFruqNdeWkI', 'UB')
('AC04652-2022-11-02-915','A51-15','zxONnMwgi', 'UB')
('AC04652-2022-11-01-868','A49-4','fxO', 'UB')
('SL22517-2022-11-01-870','S37-6','IrfttXFLBbRryKe', 'UB')
('SL12058-2022-11-01-859','S36-19','FdUHyuLttVrw', 'UB')
('AC12058-2022-11-01-834','A47-6','cPqAzRPiyP', 'SU')
('AC22517-2022-11-02-881','A49-17','rvgStKGSpP', 'SL')
('AC22517-2022-11-02-882','A49-18','GxEzaRKI', 'SU')
('SL22517-2022-11-01-889','S38-1','hktIvP', 'LB')
('SL04652-2022-11-01-871','S37-7','Ogr', 'SL')
('SL04652-2022-11-01-872','S37-8','dPWSmpF', 'SU')
('AC22517-2022-11-02-902','A51-2','GBMPhm', 'LB')
('SL22517-2022-11-01-910','S38-22','QAqIQWX', 'UB')
('AC22517-2022-11-02-991','A56-1','bvBOjymGVJPvH', 'LB')
('AC12058-2022-11-01-944','A53-8','GujkPBj', 'LB')
('SL22517-2022-11-02-982','S41-22','WUlTmd', 'UB')
('SL12058-2022-11-01-957','S40-21','xwH', 'MB')
('SL12058-2022-11-01-958','S40-22','AbllgVbsEhxxHnUQ', 'UB')
('SL22517-2022-11-02-984','S41-24','mmWtAZAOMCysh', 'SU')
('AC22517-2022-11-01-960','A54-6','NUj', 'SU')
('AC04652-2022-11-02-1004','A56-14','TgIa', 'LB')
('AC04652-2022-11-01-986','A55-14','vwOu', 'LB')
('AC22517-2022-11-02-998','A56-8','QWpCSTtobZFb', 'LB')
('SL12058-2022-11-01-961','S41-1','Xluz', 'LB')
('SL22517-2022-11-02-1041','S44-9','CFfqxJrX', 'LB')
('AC22517-2022-11-02-1104','A62-6','gI', 'SU')
('SL22517-2022-11-01-1104','S46-24','WFE', 'SU')
('SL04652-2022-11-01-1102','S46-22','bPxsksJTAGsaBjdR', 'UB')
('SL22517-2022-11-01-1108','S47-4','DAlMjjCA', 'LB')
('AC12058-2022-11-01-1058','A59-14','wnwulAAZQacnP', 'LB')
('AC12058-2022-11-01-1059','A59-15','udr', 'UB')
('AC22517-2022-11-01-1075','A60-13','rDCqmtehUcbMa', 'LB')
('SL22517-2022-11-01-1112','S47-8','sIbzr', 'SU')
('SL22517-2022-11-02-1093','S46-13','QKreFMHTQGQZo', 'MB')
('AC04652-2022-11-02-1135','A64-1','mmXkT', 'LB')
('SL04652-2022-11-02-1079','S45-23','jSLuugUiojPs', 'SL')
('SL04652-2022-11-02-1082','S46-2','PPEtSgSbfNEVeSOe', 'MB')
('SL04652-2022-11-01-1107','S47-3','MNVAtVuG', 'UB')
('SL04652-2022-11-02-1092','S46-12','QIxcowCPWVoTvqn', 'LB')
('AC12058-2022-11-01-1102','A62-4','sC', 'UB')
('SL22517-2022-11-01-1149','S48-21','eh', 'MB')
('AC22517-2022-11-01-1119','A63-3','UGC', 'UB')
('SL22517-2022-11-01-1155','S49-3','MEVHtRtcMLoOp', 'UB')
('SL04652-2022-11-01-1157','S49-5','Z', 'MB')
('SL04652-2022-11-01-1159','S49-7','uiCMnTcy', 'SL')
('SL22517-2022-11-02-1156','S49-4','MdIsvyb', 'LB')
('SL22517-2022-11-02-1157','S49-5','ewXNzLkpHfkVT', 'MB')
('AC04652-2022-11-02-1192','A67-4','Vj', 'UB')
('SL04652-2022-11-01-1164','S49-12','PTAbHxcBK', 'LB')
('AC22517-2022-11-01-1125','A63-9','HjQ', 'UB')
('AC12058-2022-11-01-1115','A62-17','jElipaMjrE', 'SL')
('SL04652-2022-11-02-1142','S48-14','GArmIBw', 'UB')
('AC12058-2022-11-01-1117','A63-1','ZzmStUvIEH', 'LB')
('SL22517-2022-11-02-1168','S49-16','lyVBpyedbexuPHqt', 'SU')
('AC04652-2022-11-01-1162','A65-10','XgbxWoierZExiWRm', 'UB')
('SL12058-2022-11-01-1140','S48-12','fuFGslWFVYoF', 'LB')
('SL22517-2022-11-01-1165','S49-13','Ux', 'MB')
('AC22517-2022-11-01-1132','A63-16','vaJVgU', 'UB')
('AC22517-2022-11-02-1180','A66-10','ssOai', 'UB')
('AC22517-2022-11-02-1181','A66-11','YpqauVcIbhOa', 'SL')
('SL22517-2022-11-02-1180','S50-4','YvvX', 'LB')
('SL04652-2022-11-02-1153','S49-1','RKQUUJsGKzEDlmWE', 'LB')
('SL22517-2022-11-01-1177','S50-1','bJkniysocVIPn', 'LB')
('AC12058-2022-11-01-1131','A63-15','KWGREX', 'UB')
('SL12058-2022-11-01-1150','S48-22','fQLPBa', 'UB')
