('SL12058-2022-11-01-187','S8-19','axVq', 'UB')
('AC04652-2022-11-02-202','A12-4','Dk', 'UB')
('SL12058-2022-11-01-189','S8-21','PYsxgKlXGjAugVa', 'MB')
('SL04652-2022-11-01-207','S9-15','AnGeHoRoU', 'SL')
('AC04652-2022-11-01-221','A13-5','xRPAtGVoAKtIkVH', 'SL')
('AC22517-2022-11-02-190','A11-10','ICQNJAJUv', 'UB')
('SL22517-2022-11-01-305','S13-17','QhYCX', 'LB')
('AC04652-2022-11-01-316','A18-10','uqibfgvGofHxjBbh', 'UB')
('SL04652-2022-11-01-318','S14-6','JqEIwL', 'UB')
('AC12058-2022-11-01-300','A17-12','PHTaWCybN', 'SU')
('SL22517-2022-11-02-278','S12-14','WJwrjYRQobLKWi', 'UB')
('SL22517-2022-11-01-309','S13-21','UyGUQCWAPn', 'MB')
('AC04652-2022-11-01-319','A18-13','cAFYg', 'LB')
('AC22517-2022-11-02-289','A17-1','euW', 'LB')
('SL04652-2022-11-02-299','S13-11','YCzCTYiFlHjMfyS', 'UB')
('AC04652-2022-11-02-317','A18-11','BkwoCABNrLl', 'SL')
('AC22517-2022-11-02-291','A17-3','maqKVuo', 'UB')
('SL04652-2022-11-01-323','S14-11','fDodpWdssgCr', 'UB')
('AC12058-2022-11-01-306','A17-18','RJZkgLxL', 'SU')
('AC12058-2022-11-01-309','A18-3','rcKPzdAi', 'UB')
('SL04652-2022-11-02-301','S13-13','rBPsZZTRXpdww', 'MB')
('SL04652-2022-11-02-302','S13-14','vdcXvJ', 'UB')
('AC04652-2022-11-01-326','A19-2','NDMrBaNgnLFEyrz', 'LB')
('AC22517-2022-11-02-296','A17-8','PddUOpIsjVUI', 'LB')
('SL04652-2022-11-01-331','S14-19','aRdOXhvledUX', 'UB')
('SL22517-2022-11-02-285','S12-21','WnVIvbFMq', 'MB')
('AC22517-2022-11-02-299','A17-11','N', 'SL')
('AC22517-2022-11-02-300','A17-12','NxCg', 'SU')
('SL22517-2022-11-02-288','S12-24','quGPXbDXfV', 'SU')
('AC12058-2022-11-01-312','A18-6','TSKYIPumu', 'SU')
('AC22517-2022-11-02-304','A17-16','vRJu', 'UB')
('AC04652-2022-11-01-335','A19-11','yS', 'SL')
('AC22517-2022-11-02-306','A17-18','AK', 'SU')
('AC12058-2022-11-01-316','A18-10','fUEaLFmqTq', 'UB')
('SL22517-2022-11-01-316','S14-4','PNynkzi', 'LB')
('SL04652-2022-11-01-338','S15-2','LjmkvydjMJ', 'MB')
('AC12058-2022-11-01-318','A18-12','pcYrPMaXyF', 'SU')
('AC04652-2022-11-01-338','A19-14','YWsBraVUGrOwx', 'LB')
('SL04652-2022-11-02-311','S13-23','nvDTwo', 'SL')
('SL22517-2022-11-01-320','S14-8','fZ', 'SU')
('AC22517-2022-11-02-309','A18-3','vArU', 'UB')
('SL22517-2022-11-01-321','S14-9','aUEvBACtAEb', 'LB')
('AC04652-2022-11-01-340','A19-16','lzXITss', 'UB')
('SL12058-2022-11-01-313','S14-1','xKtFywKIMzNRGkRO', 'LB')
('AC22517-2022-11-01-309','A18-3','REzUXtKHIZ', 'UB')
('SL22517-2022-11-01-331','S14-19','UBgJi', 'UB')
('SL04652-2022-11-01-347','S15-11','EjvtNhdhCFkwWZs', 'UB')
('AC22517-2022-11-02-314','A18-8','kpZublYIKaFt', 'LB')
('SL22517-2022-11-01-333','S14-21','txjgdZu', 'MB')
('SL04652-2022-11-01-349','S15-13','tVjDAAuaEvWA', 'MB')
('SL04652-2022-11-02-318','S14-6','WYxkBqcKfmirTuQV', 'UB')
('SL04652-2022-11-02-320','S14-8','IgNdmglA', 'SU')
('SL04652-2022-11-01-352','S15-16','YxlFVzyCEoJ', 'SU')
('AC04652-2022-11-01-350','A20-8','RtNtfcmEtMju', 'LB')
('SL04652-2022-11-01-353','S15-17','aCemw', 'LB')
('AC22517-2022-11-02-319','A18-13','stoken', 'LB')
('SL22517-2022-11-02-305','S13-17','BDBSoAYtsolxbqeP', 'LB')
('AC04652-2022-11-02-345','A20-3','AzqkiqfJSuTvFoPp', 'UB')
('SL12058-2022-11-01-330','S14-18','iAewlfO', 'MB')
('AC04652-2022-11-01-353','A20-11','DUTKScTFxwBSDxTy', 'SL')
('AC22517-2022-11-02-322','A18-16','Gt', 'UB')
('SL12058-2022-11-01-339','S15-3','XfaBASKLRrMUCH', 'UB')
('SL12058-2022-11-01-340','S15-4','tgsoEJpr', 'LB')
('SL22517-2022-11-01-349','S15-13','YxyME', 'MB')
('SL04652-2022-11-02-335','S14-23','DplPdqHnBryu', 'SL')
('AC04652-2022-11-01-362','A21-2','nagnQHfPyVv', 'LB')
('AC04652-2022-11-02-356','A20-14','p', 'LB')
('SL04652-2022-11-02-338','S15-2','IAGqRccmca', 'MB')
('AC22517-2022-11-02-335','A19-11','iBYjxJpg', 'SL')
('AC22517-2022-11-02-336','A19-12','XEDNCzFFYFYMiB', 'SU')
('SL04652-2022-11-01-361','S16-1','pehQKRbxxbHV', 'LB')
('AC12058-2022-11-01-348','A20-6','AJpUPHEiulTHdzq', 'SU')
('AC22517-2022-11-01-335','A19-11','DOrFMO', 'SL')
('AC22517-2022-11-01-340','A19-16','AVwFnrmA', 'UB')
('SL22517-2022-11-02-325','S14-13','Nalpym', 'MB')
('SL04652-2022-11-01-367','S16-7','tpdnJBqJiuB', 'SL')
('SL12058-2022-11-01-352','S15-16','xgSeCW', 'SU')
('AC04652-2022-11-02-369','A21-9','Zg', 'UB')
('AC22517-2022-11-02-343','A20-1','OACzv', 'LB')
('AC22517-2022-11-02-344','A20-2','lMLF', 'LB')
('AC22517-2022-11-02-373','A21-13','Mmk', 'LB')
('AC04652-2022-11-02-392','A22-14','k', 'LB')
('AC22517-2022-11-02-376','A21-16','PaiqEM', 'UB')
('AC22517-2022-11-02-377','A21-17','XQNfmlfVfjLiLF', 'SL')
('AC04652-2022-11-01-400','A23-4','UVi', 'UB')
('SL22517-2022-11-01-390','S17-6','yhNCIuJcYZTdEa', 'UB')
('AC04652-2022-11-02-402','A23-6','WdqsZUuhXr', 'SU')
('SL22517-2022-11-02-359','S15-23','gyS', 'SL')
('AC04652-2022-11-02-405','A23-9','dMn', 'UB')
('SL04652-2022-11-02-387','S17-3','xStnxb', 'UB')
('SL04652-2022-11-02-390','S17-6','NHCuSnfh', 'UB')
('SL22517-2022-11-01-395','S17-11','VDolldbQ', 'UB')
('SL04652-2022-11-02-391','S17-7','CYOjdF', 'SL')
('SL22517-2022-11-02-363','S16-3','gDBkMR', 'UB')
('AC22517-2022-11-02-389','A22-11','IHiTwD', 'SL')
('AC12058-2022-11-01-380','A22-2','fXkUQkDJGERc', 'LB')
('AC22517-2022-11-02-391','A22-13','MZPfaoKorPu', 'LB')
('AC22517-2022-11-02-402','A23-6','yCFAjL', 'SU')
('AC04652-2022-11-02-418','A24-4','hKp', 'UB')
('AC04652-2022-11-01-423','A24-9','uQsdMsB', 'UB')
('AC04652-2022-11-02-419','A24-5','uVNjiwfvWW', 'SL')
('SL22517-2022-11-01-403','S17-19','TumfwvpvdKD', 'UB')
('AC22517-2022-11-02-405','A23-9','iDtPxaNA', 'UB')
('SL22517-2022-11-02-374','S16-14','SjQuvBKdxNZU', 'UB')
('SL12058-2022-11-01-391','S17-7','ewPKBsMeUnj', 'SL')
('SL12058-2022-11-01-392','S17-8','ti', 'SU')
('AC22517-2022-11-01-398','A23-2','l', 'LB')
('AC12058-2022-11-01-392','A22-14','hCgxUXYsqVhb', 'LB')
('SL04652-2022-11-01-421','S18-13','ynMMVDmCzD', 'MB')
('AC12058-2022-11-01-396','A22-18','QCgdTSjFegEhrvg', 'SU')
('AC04652-2022-11-01-430','A24-16','OnTMmTyAt', 'UB')
('SL22517-2022-11-01-407','S17-23','xBVdOLCBa', 'SL')
('AC04652-2022-11-02-434','A25-2','LUfZr', 'LB')
('SL12058-2022-11-01-402','S17-18','rsrbEwBxMbHSrJML', 'MB')
('AC22517-2022-11-01-402','A23-6','THTy', 'SU')
('SL22517-2022-11-01-414','S18-6','fFBpUXQN', 'UB')
('AC12058-2022-11-01-406','A23-10','LItboUhVGiFFA', 'UB')
('SL04652-2022-11-01-429','S18-21','zRjdTddwoRSYlq', 'MB')
('SL22517-2022-11-02-389','S17-5','zHIWvTGKj', 'MB')
('SL04652-2022-11-02-417','S18-9','SZgoTLsCz', 'LB')
('AC12058-2022-11-01-410','A23-14','wsDTRmRy', 'LB')
('AC22517-2022-11-01-406','A23-10','ZvdevZdbZWLfCEZk', 'UB')
('SL04652-2022-11-02-419','S18-11','EiNvu', 'UB')
('SL04652-2022-11-02-420','S18-12','D', 'LB')
('AC12058-2022-11-01-412','A23-16','aznHOzRdtmGIXLT', 'UB')
