('SL22517-2022-11-02-7','S1-7','zWBZorP', 'SL')
('SL22517-2022-11-02-10','S1-10','AUAvv', 'MB')
('SL04652-2022-11-01-14','S1-14','LrOd', 'UB')
('SL22517-2022-11-01-13','S1-13','ZgATgSDGos', 'MB')
('SL22517-2022-11-02-20','S1-20','URAlJLboEeo', 'LB')
('AC04652-2022-11-02-21','A2-3','LoqZ', 'UB')
('SL22517-2022-11-02-23','S1-23','m', 'SL')
('AC22517-2022-11-02-21','A2-3','LJNYo', 'UB')
('AC22517-2022-11-01-15','A1-15','fAVbtzLFoD', 'UB')
('AC04652-2022-11-02-27','A2-9','FBkFMYvUQ', 'UB')
('SL12058-2022-11-01-28','S2-4','sIVNpB', 'LB')
('AC12058-2022-11-01-33','A2-15','Vof', 'UB')
('AC22517-2022-11-01-23','A2-5','vLuUqsqYtad', 'SL')
('SL04652-2022-11-02-30','S2-6','LbknOri', 'UB')
('SL12058-2022-11-01-33','S2-9','SETm', 'LB')
('SL12058-2022-11-01-35','S2-11','xJeuF', 'UB')
('AC12058-2022-11-01-39','A3-3','RpZSbGXB', 'UB')
('AC04652-2022-11-02-40','A3-4','QdRmYrh', 'UB')
('AC22517-2022-11-02-36','A2-18','dKqhTCKWsOxFw', 'SU')
('AC22517-2022-11-01-30','A2-12','ZGZ', 'SU')
('AC04652-2022-11-02-43','A3-7','wqxDsZUrVh', 'LB')
('AC22517-2022-11-01-35','A2-17','MgExotwnv', 'SL')
('SL22517-2022-11-02-46','S2-22','mnVFiKMFm', 'UB')
('AC12058-2022-11-01-49','A3-13','OjitLYqkrPv', 'LB')
('AC04652-2022-11-01-40','A3-4','AmVxEcBHSt', 'UB')
('AC04652-2022-11-01-41','A3-5','RWBGr', 'SL')
('SL12058-2022-11-01-52','S3-4','PBAAbRNAKMHqwaTh', 'LB')
('AC22517-2022-11-01-40','A3-4','dZ', 'UB')
('SL04652-2022-11-01-43','S2-19','ZkTA', 'UB')
('AC04652-2022-11-02-73','A5-1','oKRjuTQxzVyNfW', 'LB')
('SL04652-2022-11-02-72','S3-24','sgcuMjFqDEr', 'SU')
('AC22517-2022-11-01-79','A5-7','VVOYHF', 'LB')
('AC04652-2022-11-02-76','A5-4','YpJawvY', 'UB')
('AC04652-2022-11-01-79','A5-7','OIhuKEkkgTiQeqZH', 'LB')
('SL04652-2022-11-01-83','S4-11','EZqOPLYRYRVYMS', 'UB')
('AC22517-2022-11-02-87','A5-15','zz', 'UB')
('SL22517-2022-11-01-92','S4-20','mRSXelmvzK', 'LB')
('AC04652-2022-11-01-103','A6-13','cRTwuteLaEq', 'LB')
('AC04652-2022-11-01-104','A6-14','TUtGupVzHfis', 'LB')
('AC22517-2022-11-01-113','A7-5','NCcnaaWabEfRix', 'SL')
('AC22517-2022-11-01-114','A7-6','GtdNzvfETsZ', 'SU')
('AC04652-2022-11-02-108','A6-18','LQclnGXxZQjZJu', 'SU')
('AC04652-2022-11-01-105','A6-15','CpIfvJZq', 'UB')
('AC12058-2022-11-01-111','A7-3','PvLSthRzuF', 'UB')
('SL22517-2022-11-02-117','S5-21','hggqxch', 'MB')
('AC12058-2022-11-01-129','A8-3','VyXP', 'UB')
('SL22517-2022-11-01-115','S5-19','jIqY', 'UB')
('AC04652-2022-11-01-120','A7-12','GyRrUankYHD', 'SU')
('SL04652-2022-11-01-121','S6-1','HCGJNWofmjciKxX', 'LB')
('SL04652-2022-11-02-115','S5-19','EWnqihT', 'UB')
('AC22517-2022-11-02-141','A8-15','kKtssyOMOI', 'UB')
('AC04652-2022-11-01-129','A8-3','f', 'UB')
('AC22517-2022-11-01-144','A8-18','DnViiQOXReUga', 'SU')
('AC04652-2022-11-01-159','A9-15','vX', 'UB')
('AC04652-2022-11-01-176','A10-14','tmJuEcepJTieY', 'LB')
('AC22517-2022-11-02-193','A11-13','mkAUzql', 'LB')
('AC22517-2022-11-01-198','A11-18','mIOjecevtu', 'SU')
