('SL22517-2022-11-02-4','S1-4','pAYqNDgtLvy', 'LB')
('AC04652-2022-11-01-4','A1-4','PoYunnkpRW', 'UB')
('SL12058-2022-11-01-7','S1-7','mXtPrYPsfYGly', 'SL')
('AC04652-2022-11-01-7','A1-7','BBGbqVTeYjQQ', 'LB')
('SL12058-2022-11-01-8','S1-8','pXTib', 'SU')
('AC04652-2022-11-02-12','A1-12','yMa', 'SU')
('AC12058-2022-11-01-24','A2-6','XqbTDNlzRr', 'SU')
('SL04652-2022-11-01-24','S1-24','EVMabNwxkKbdWu', 'SU')
('AC04652-2022-11-02-22','A2-4','evdASPr', 'UB')
('SL22517-2022-11-02-27','S2-3','qlcxSTllMhcz', 'UB')
('AC12058-2022-11-01-29','A2-11','gIXGAqpLMtPHx', 'SL')
('AC04652-2022-11-02-28','A2-10','PSuWtp', 'UB')
('AC22517-2022-11-02-25','A2-7','HejyNbXF', 'LB')
('AC04652-2022-11-01-27','A2-9','qTJMLr', 'UB')
('AC22517-2022-11-01-24','A2-6','AbsmbXwwdlZJjq', 'SU')
('SL22517-2022-11-02-35','S2-11','L', 'UB')
('AC04652-2022-11-02-66','A4-12','ZYW', 'SU')
('SL04652-2022-11-02-62','S3-14','LBZlEKwgnKDYL', 'UB')
('SL12058-2022-11-01-83','S4-11','rwZFN', 'UB')
('AC22517-2022-11-02-94','A6-4','QdtKwxfXNtoiOHCG', 'UB')
('AC12058-2022-11-01-89','A5-17','QTP', 'SL')
('SL22517-2022-11-01-91','S4-19','T', 'UB')
('AC12058-2022-11-01-106','A6-16','ahWG', 'UB')
('SL22517-2022-11-02-104','S5-8','ifMjebjJBqjnhOtC', 'SU')
('SL22517-2022-11-01-94','S4-22','LMycOZMynONuwqZK', 'UB')
('AC22517-2022-11-02-117','A7-9','SDwojUyjZkuTX', 'UB')
('SL22517-2022-11-02-105','S5-9','vbDORJzWtcLf', 'LB')
('AC12058-2022-11-01-108','A6-18','cHvaBEftWc', 'SU')
('AC12058-2022-11-01-109','A7-1','QlYEnJduRgAh', 'LB')
('AC12058-2022-11-01-110','A7-2','W', 'LB')
('AC12058-2022-11-01-115','A7-7','SyRoLF', 'LB')
('SL04652-2022-11-01-109','S5-13','IgjhI', 'MB')
('AC22517-2022-11-02-124','A7-16','LXMLiaWkMKQsVE', 'UB')
('SL04652-2022-11-01-117','S5-21','jpPfyjOu', 'MB')
('AC04652-2022-11-02-117','A7-9','qGHdQJmBSAJcDtb', 'UB')
('AC04652-2022-11-02-118','A7-10','Gkbmepa', 'UB')
('AC04652-2022-11-01-125','A7-17','bFskBCzLmLGd', 'SL')
('AC22517-2022-11-01-149','A9-5','CVO', 'SL')
('AC04652-2022-11-02-147','A9-3','jxUSaVkJSN', 'UB')
('SL04652-2022-11-01-153','S7-9','RaNJycpgenoNT', 'LB')
('SL04652-2022-11-02-147','S7-3','prANCVsisV', 'UB')
('SL22517-2022-11-02-179','S8-11','DxGWsuQpxJDG', 'UB')
('AC04652-2022-11-02-158','A9-14','tSIxLuIuJJdavjyH', 'LB')
('AC22517-2022-11-01-181','A11-1','ocdtxqB', 'LB')
('SL22517-2022-11-01-184','S8-16','gocjMbSzH', 'SU')
('AC04652-2022-11-02-177','A10-15','HxciM', 'UB')
('SL22517-2022-11-02-198','S9-6','fztIVEiVBH', 'UB')
('AC04652-2022-11-02-200','A12-2','z', 'LB')
('AC22517-2022-11-01-220','A13-4','DJOIWbF', 'UB')
('AC12058-2022-11-01-218','A13-2','nTFQ', 'LB')
('AC22517-2022-11-02-229','A13-13','WQuoFQxpc', 'LB')
('AC22517-2022-11-01-221','A13-5','klx', 'SL')
('SL12058-2022-11-01-211','S9-19','fnqa', 'UB')
('SL12058-2022-11-01-212','S9-20','xwHLlieAbSQC', 'LB')
('AC04652-2022-11-01-231','A13-15','hSd', 'UB')
('AC04652-2022-11-01-232','A13-16','eXUyQNyUFxalyPRG', 'UB')
('AC22517-2022-11-02-237','A14-3','M', 'UB')
('AC04652-2022-11-01-233','A13-17','rLyWozgPRCMD', 'SL')
('AC22517-2022-11-02-239','A14-5','dBcIMDd', 'SL')
('AC04652-2022-11-01-236','A14-2','QUMSaRJTSAfgu', 'LB')
('AC12058-2022-11-01-223','A13-7','aqSULDAf', 'LB')
('SL04652-2022-11-01-217','S10-1','JfZ', 'LB')
('SL12058-2022-11-01-221','S10-5','RSnjjWErKkSAimn', 'MB')
('SL22517-2022-11-01-233','S10-17','pJBNtTVC', 'LB')
('AC12058-2022-11-01-227','A13-11','RrIdAxP', 'SL')
('SL04652-2022-11-01-221','S10-5','TO', 'MB')
('SL04652-2022-11-02-197','S9-5','GuDb', 'MB')
('AC12058-2022-11-01-236','A14-2','yWcPOINZgUXXuwcW', 'LB')
('SL12058-2022-11-01-288','S12-24','bIqTZjwwq', 'SU')
('SL04652-2022-11-01-288','S12-24','HOQKZqdSfjVGbJI', 'SU')
('SL12058-2022-11-01-293','S13-5','YVSXQbPcU', 'MB')
('SL22517-2022-11-02-290','S13-2','QolVlPTjHI', 'MB')
('AC22517-2022-11-01-284','A16-14','NTuwekee', 'LB')
('SL12058-2022-11-01-295','S13-7','CcPZQwfb', 'SL')
('SL04652-2022-11-01-292','S13-4','CCXkAhi', 'LB')
('SL22517-2022-11-01-302','S13-14','p', 'UB')
('AC22517-2022-11-01-287','A16-17','AJclNF', 'SL')
('SL22517-2022-11-01-303','S13-15','jCv', 'SL')
('SL04652-2022-11-01-296','S13-8','E', 'SU')
('SL22517-2022-11-02-294','S13-6','sstNARmxgecfrOHy', 'UB')
('AC22517-2022-11-02-333','A19-9','UWQECM', 'UB')
('AC04652-2022-11-01-328','A19-4','REWukIg', 'UB')
('SL22517-2022-11-01-313','S14-1','koKZIbNsCmqzDCg', 'LB')
('AC04652-2022-11-01-332','A19-8','RbvBHyzWwxiL', 'LB')
('SL22517-2022-11-02-304','S13-16','RxxLVXhgod', 'SU')
('AC04652-2022-11-01-333','A19-9','OkYPA', 'UB')
('AC12058-2022-11-01-322','A18-16','QCym', 'UB')
('SL04652-2022-11-01-308','S13-20','qWeDbP', 'LB')
('SL04652-2022-11-02-282','S12-18','qyoYqJE', 'MB')
('SL22517-2022-11-01-320','S14-8','CBKWxvO', 'SU')
('SL04652-2022-11-01-310','S13-22','hTQHrQREiTNIW', 'UB')
('AC22517-2022-11-01-301','A17-13','MaOzgnFhBQs', 'LB')
('AC04652-2022-11-01-341','A19-17','RGalOyqckI', 'SL')
('SL04652-2022-11-01-312','S13-24','BVszOHoqTScCPhN', 'SU')
('SL22517-2022-11-02-314','S14-2','DqT', 'MB')
('AC22517-2022-11-01-304','A17-16','OohjwlzPnP', 'UB')
('SL22517-2022-11-02-315','S14-3','dRefL', 'UB')
('SL22517-2022-11-01-326','S14-14','ojSx', 'UB')
('AC04652-2022-11-02-318','A18-12','SfZJxteWRpzWL', 'SU')
('AC22517-2022-11-02-354','A20-12','EfYzvoHthEC', 'SU')
('SL04652-2022-11-01-318','S14-6','QZwjIvTfIKFlE', 'UB')
('AC12058-2022-11-01-340','A19-16','vBAoLzKvCzLC', 'UB')
('AC12058-2022-11-01-341','A19-17','vquOLbsXtR', 'SL')
('AC22517-2022-11-02-356','A20-14','fopsyiwyhVxNuRgm', 'LB')
('SL22517-2022-11-01-330','S14-18','SVieyIVKAaZBN', 'MB')
('AC12058-2022-11-01-345','A20-3','tlXHlVWgFpp', 'UB')
('AC04652-2022-11-01-357','A20-15','jnUBHKRHGkmIlZ', 'UB')
('SL12058-2022-11-01-330','S14-18','PgLDS', 'MB')
('SL04652-2022-11-01-326','S14-14','flgRRZVGt', 'UB')
('SL22517-2022-11-01-335','S14-23','CPqybYVkRmXv', 'SL')
('AC22517-2022-11-02-367','A21-7','vUOKiunIlXFhHh', 'LB')
('SL12058-2022-11-01-334','S14-22','oZi', 'UB')
('SL22517-2022-11-01-338','S15-2','mHhFNcRPV', 'MB')
('AC12058-2022-11-01-349','A20-7','KonsPae', 'LB')
('AC04652-2022-11-02-327','A19-3','pfhNtvaTCQOVOIr', 'UB')
('AC12058-2022-11-01-351','A20-9','AA', 'UB')
('AC04652-2022-11-02-328','A19-4','MrcjC', 'UB')
('SL22517-2022-11-01-341','S15-5','qOYeqZTej', 'MB')
('AC22517-2022-11-01-318','A18-12','bQw', 'SU')
('AC12058-2022-11-01-354','A20-12','VCqwJM', 'SU')
('AC22517-2022-11-01-320','A18-14','IM', 'LB')
('AC22517-2022-11-02-373','A21-13','ys', 'LB')
('AC22517-2022-11-01-321','A18-15','OGYkbetnxSIqB', 'UB')
('AC22517-2022-11-02-374','A21-14','zeMnmEyIXPgBL', 'LB')
('SL04652-2022-11-02-308','S13-20','WKeWpyJqywR', 'LB')
('SL04652-2022-11-01-332','S14-20','XHTZ', 'LB')
('SL12058-2022-11-01-346','S15-10','VmJZgkzJcBok', 'MB')
('SL22517-2022-11-01-344','S15-8','sdINBDRvQx', 'SU')
('AC04652-2022-11-02-336','A19-12','SeyfevIby', 'SU')
('AC12058-2022-11-01-359','A20-17','IhTKvLthtxJbgGRB', 'SL')
('AC04652-2022-11-01-372','A21-12','FISmCylWhhRvrqbl', 'SU')
('AC22517-2022-11-01-326','A19-2','hX', 'LB')
('SL04652-2022-11-01-339','S15-3','vidsbokCY', 'UB')
('AC12058-2022-11-01-365','A21-5','xFZHdEP', 'SL')
('SL12058-2022-11-01-350','S15-14','KRjjOoYuoQj', 'UB')
('SL04652-2022-11-02-319','S14-7','BGXXHl', 'SL')
('SL04652-2022-11-01-354','S15-18','UYclOPjGTjbkAso', 'MB')
('SL12058-2022-11-01-369','S16-9','FUbHdAuf', 'LB')
('AC04652-2022-11-02-360','A20-18','qODFZqvPkwcITIV', 'SU')
('AC12058-2022-11-01-381','A22-3','OYLahrPYkMrrgtE', 'UB')
('SL12058-2022-11-01-373','S16-13','SodKmVWdRrNjDrpQ', 'MB')
('AC12058-2022-11-01-383','A22-5','AjivyFEdUn', 'SL')
('AC04652-2022-11-02-365','A21-5','dGgTagqoxabhcj', 'SL')
('SL04652-2022-11-02-330','S14-18','WTaHB', 'MB')
('SL04652-2022-11-01-363','S16-3','fQrw', 'UB')
('AC22517-2022-11-02-413','A23-17','PCX', 'SL')
('SL22517-2022-11-02-357','S15-21','qkdyGMvSyuIrD', 'MB')
('AC04652-2022-11-02-367','A21-7','weJilvcYEaRL', 'LB')
('AC04652-2022-11-02-368','A21-8','WnyKvSfsabZBCqe', 'LB')
('SL22517-2022-11-01-378','S16-18','io', 'MB')
('AC22517-2022-11-01-350','A20-8','YDWgWHQQY', 'LB')
('AC22517-2022-11-02-417','A24-3','IVWVpzh', 'UB')
('SL12058-2022-11-01-381','S16-21','TaDdHmHwTjzV', 'MB')
('SL12058-2022-11-01-388','S17-4','TQoUXs', 'LB')
('AC04652-2022-11-02-380','A22-2','dHEMYFbGPoFa', 'LB')
('SL04652-2022-11-02-347','S15-11','BlcDNqsOAEHgBOyZ', 'UB')
('SL04652-2022-11-02-348','S15-12','VuPrlnuCtyEbK', 'LB')
('SL22517-2022-11-02-377','S16-17','eLyZEimWIQtCXvhN', 'LB')
('SL22517-2022-11-01-401','S17-17','w', 'LB')
('AC12058-2022-11-01-418','A24-4','R', 'UB')
('AC22517-2022-11-01-360','A20-18','fXaxNGuGpmdBqLE', 'SU')
('SL04652-2022-11-02-357','S15-21','bOXyCFDwEXZMdDw', 'MB')
('AC22517-2022-11-01-364','A21-4','jkOHSuhu', 'UB')
('SL04652-2022-11-01-388','S17-4','AFrnVrIpINzGEMU', 'LB')
('AC12058-2022-11-01-419','A24-5','ApSfEXSARYdmlen', 'SL')
('SL04652-2022-11-02-363','S16-3','NRYXfQeQmKOYA', 'UB')
('SL04652-2022-11-02-364','S16-4','D', 'LB')
('AC04652-2022-11-01-416','A24-2','ExQaWxGbkKkYu', 'LB')
('AC04652-2022-11-01-423','A24-9','YVbXObf', 'UB')
('SL04652-2022-11-02-437','S19-5','aUR', 'MB')
('SL22517-2022-11-02-481','S21-1','dKPChwcOAAiBte', 'LB')
('AC12058-2022-11-01-519','A29-15','kvUO', 'UB')
('SL22517-2022-11-02-486','S21-6','jwOxmTFntCGQ', 'UB')
('AC04652-2022-11-02-508','A29-4','LNNpmECSPKLlPlP', 'UB')
('AC22517-2022-11-02-525','A30-3','HtZzw', 'UB')
('SL22517-2022-11-02-507','S22-3','RUtTJ', 'UB')
('AC22517-2022-11-01-469','A27-1','vJxEWRNTSUaq', 'LB')
('AC22517-2022-11-02-566','A32-8','RVKfqKCGSTBnY', 'LB')
('AC22517-2022-11-02-568','A32-10','lJvtsjZDOWyCT', 'UB')
('SL22517-2022-11-01-514','S22-10','DWGQmLKDdkNK', 'MB')
('SL12058-2022-11-01-518','S22-14','RiK', 'UB')
('SL22517-2022-11-01-516','S22-12','YIQejYadGnK', 'LB')
('SL22517-2022-11-02-514','S22-10','ccAkSDrWBIvR', 'MB')
('AC22517-2022-11-02-572','A32-14','ZzJHxESGifFmBhv', 'LB')
('AC12058-2022-11-01-560','A32-2','MslGjNnCAeTTha', 'LB')
('SL04652-2022-11-01-514','S22-10','TcCtUcO', 'MB')
('AC22517-2022-11-01-474','A27-6','em', 'SU')
('AC04652-2022-11-02-534','A30-12','iQUWg', 'SU')
('SL22517-2022-11-01-520','S22-16','xI', 'SU')
('AC12058-2022-11-01-564','A32-6','qlNkjwUN', 'SU')
('SL04652-2022-11-02-488','S21-8','tGCcCSBdGktafaa', 'SU')
('SL04652-2022-11-02-489','S21-9','LguJAEHKRQlU', 'LB')
('SL12058-2022-11-01-525','S22-21','RQOrsCBRc', 'MB')
('AC22517-2022-11-02-580','A33-4','dgGs', 'UB')
('SL04652-2022-11-01-521','S22-17','rFYmjL', 'LB')
('SL12058-2022-11-01-528','S22-24','tGJCu', 'SU')
('AC04652-2022-11-02-540','A30-18','GPWwBjmsO', 'SU')
('AC22517-2022-11-01-496','A28-10','buyRUcvyubqJ', 'UB')
('SL04652-2022-11-01-538','S23-10','AuLbURCcL', 'MB')
('AC04652-2022-11-02-552','A31-12','TiDZfJr', 'SU')
('SL12058-2022-11-01-547','S23-19','KDlkAztPDoPYfEhr', 'UB')
('AC12058-2022-11-01-584','A33-8','UQdBedf', 'LB')
('SL22517-2022-11-01-554','S24-2','mW', 'MB')
('AC04652-2022-11-01-554','A31-14','CT', 'LB')
('SL22517-2022-11-01-556','S24-4','GaaIkWCfSqwEa', 'LB')
('AC22517-2022-11-02-610','A34-16','quMHOXIueM', 'UB')
('AC04652-2022-11-01-563','A32-5','lnnoW', 'SL')
('AC22517-2022-11-01-506','A29-2','A', 'LB')
('SL22517-2022-11-01-567','S24-15','xgAz', 'SL')
('AC12058-2022-11-01-592','A33-16','DTPYqnMuoY', 'UB')
('AC04652-2022-11-02-565','A32-7','XDND', 'LB')
('SL22517-2022-11-02-561','S24-9','pkaRvj', 'LB')
('AC12058-2022-11-01-598','A34-4','gTIxHmd', 'UB')
('AC22517-2022-11-01-523','A30-1','Zm', 'LB')
('SL04652-2022-11-01-568','S24-16','BHNEEqUypKuoeVm', 'SU')
('SL04652-2022-11-02-529','S23-1','w', 'LB')
('SL04652-2022-11-01-572','S24-20','OpqPLsNTtj', 'LB')
('SL04652-2022-11-01-574','S24-22','cYbzttLQ', 'UB')
('SL12058-2022-11-01-583','S25-7','pmZUpUZFhvuAoVl', 'SL')
('AC04652-2022-11-01-584','A33-8','ZtGoRHvLpkwasS', 'LB')
('AC04652-2022-11-01-591','A33-15','yIn', 'UB')
('SL22517-2022-11-02-580','S25-4','FysMUN', 'LB')
('AC04652-2022-11-01-593','A33-17','nha', 'SL')
('SL04652-2022-11-02-541','S23-13','NYpLIzn', 'MB')
('SL22517-2022-11-01-604','S26-4','pBYNrl', 'LB')
('SL04652-2022-11-01-595','S25-19','pcaGuUkZ', 'UB')
('SL04652-2022-11-02-544','S23-16','qpQdHcNrrivUjDD', 'SU')
('AC04652-2022-11-02-610','A34-16','aigBoBvqU', 'UB')
('SL22517-2022-11-01-608','S26-8','nyqmHpg', 'SU')
('SL12058-2022-11-01-597','S25-21','OXpEJQ', 'MB')
('SL04652-2022-11-01-598','S25-22','FaCAfitaMcLGl', 'UB')
('SL04652-2022-11-01-600','S25-24','bJRxSGKAFxlAxhZO', 'SU')
('AC04652-2022-11-01-603','A34-9','UCyCUVDq', 'UB')
('AC04652-2022-11-01-604','A34-10','QvPqCU', 'UB')
('AC12058-2022-11-01-622','A35-10','pZLaOLlwGyRL', 'UB')
('AC22517-2022-11-02-691','A39-7','jZgrwPqv', 'LB')
('AC12058-2022-11-01-663','A37-15','aKBIMrW', 'UB')
('AC04652-2022-11-02-659','A37-11','aEc', 'SL')
('SL12058-2022-11-01-643','S27-19','hCPEvrVIMoH', 'UB')
('SL22517-2022-11-02-645','S27-21','fOWFwPQadEA', 'MB')
('AC04652-2022-11-02-662','A37-14','vpNhBln', 'LB')
('SL04652-2022-11-01-650','S28-2','Xz', 'MB')
('SL22517-2022-11-01-659','S28-11','qWd', 'UB')
('SL04652-2022-11-02-612','S26-12','qiTlMKVztdgMMbmZ', 'LB')
('SL04652-2022-11-01-653','S28-5','PfdufYjvXbkhtRey', 'MB')
('SL12058-2022-11-01-647','S27-23','yuKfaVCNU', 'SL')
('SL12058-2022-11-01-648','S27-24','qVAuvdeYdHA', 'SU')
('AC12058-2022-11-01-669','A38-3','Ylu', 'UB')
('AC22517-2022-11-02-697','A39-13','gQdEMOqV', 'LB')
('SL04652-2022-11-02-617','S26-17','X', 'LB')
('AC04652-2022-11-01-655','A37-7','aeeIyBJASuyMw', 'LB')
('SL12058-2022-11-01-654','S28-6','tWWF', 'UB')
('SL12058-2022-11-01-657','S28-9','vpQpl', 'LB')
('AC22517-2022-11-01-662','A37-14','DFvOVJMXfU', 'LB')
('SL12058-2022-11-01-717','S30-21','YVFtlUxJShEed', 'MB')
('AC22517-2022-11-01-665','A37-17','gduQnI', 'SL')
('SL04652-2022-11-01-713','S30-17','WtOEWQ', 'LB')
('AC22517-2022-11-01-666','A37-18','wajRYmHxVsFrC', 'SU')
('SL04652-2022-11-01-714','S30-18','mewwdSWfZc', 'MB')
