('SL04652-2022-11-01-9','S1-9','yi', 'LB')
('AC04652-2022-11-02-5','A1-5','rJvAktTKFrOmuY', 'SL')
('SL04652-2022-11-02-7','S1-7','ZutYPhdP', 'SL')
('SL04652-2022-11-01-12','S1-12','PGViCjoeiaEsdMhj', 'LB')
('AC04652-2022-11-01-9','A1-9','bENmsD', 'UB')
('SL04652-2022-11-01-16','S1-16','rtdduro', 'SU')
('AC22517-2022-11-01-8','A1-8','HsaDNGcoX', 'LB')
('SL22517-2022-11-01-17','S1-17','FxohiRozoq', 'LB')
('SL04652-2022-11-01-26','S2-2','oPsMPAHoafSGyh', 'MB')
('SL22517-2022-11-01-23','S1-23','MolhTwGNqtDeg', 'SL')
('AC04652-2022-11-01-20','A2-2','CduQPkgkWGG', 'LB')
('SL12058-2022-11-01-24','S1-24','pxcriYAvpiKrgLH', 'SU')
('SL22517-2022-11-01-28','S2-4','k', 'LB')
('AC22517-2022-11-02-26','A2-8','siXnkFctscucTzfj', 'LB')
('AC04652-2022-11-02-31','A2-13','zoEwVXDxwQkIxe', 'LB')
('SL12058-2022-11-01-29','S2-5','Vx', 'MB')
('SL04652-2022-11-02-60','S3-12','pesMLFbELTOnt', 'LB')
('SL04652-2022-11-02-61','S3-13','v', 'MB')
('SL04652-2022-11-01-69','S3-21','bLYmZfmuCEvUXXd', 'MB')
('AC22517-2022-11-02-72','A4-18','hojQ', 'SU')
('SL04652-2022-11-02-65','S3-17','ZH', 'LB')
('SL04652-2022-11-01-70','S3-22','FTKQEuhjXyk', 'UB')
('AC12058-2022-11-01-78','A5-6','bMZgLXzpiGvbo', 'SU')
('AC22517-2022-11-02-76','A5-4','FbgKoNWbq', 'UB')
('AC12058-2022-11-01-79','A5-7','csGQiNhs', 'LB')
('AC22517-2022-11-01-76','A5-4','RFojQvQoMNlTLJiC', 'UB')
('AC04652-2022-11-02-67','A4-13','XflmdNufbCRgM', 'LB')
('AC22517-2022-11-02-79','A5-7','rxuyUnIom', 'LB')
('SL04652-2022-11-01-76','S4-4','cCVOhTMG', 'LB')
('AC04652-2022-11-01-76','A5-4','OLLlCMcsrYclpZu', 'UB')
('AC12058-2022-11-01-80','A5-8','nYmfkVIGYiV', 'LB')
('AC04652-2022-11-02-72','A4-18','ktakeZpZfqUne', 'SU')
('SL12058-2022-11-01-96','S4-24','m', 'SU')
('SL04652-2022-11-01-91','S4-19','cyfhMBtqQnjDKF', 'UB')
('SL22517-2022-11-02-91','S4-19','hTEPRF', 'UB')
('AC04652-2022-11-01-90','A5-18','zjWuP', 'SU')
('AC04652-2022-11-02-93','A6-3','svvToYuge', 'UB')
('AC04652-2022-11-02-94','A6-4','SIZyoBUX', 'UB')
('AC12058-2022-11-01-94','A6-4','ukOWIRUTssl', 'UB')
('AC12058-2022-11-01-95','A6-5','asdZzsXVBjO', 'SL')
('SL12058-2022-11-01-104','S5-8','QDlfJ', 'SU')
('AC04652-2022-11-02-97','A6-7','lMZnonCPtzbgt', 'LB')
('SL12058-2022-11-01-105','S5-9','mfLSedT', 'LB')
('SL22517-2022-11-02-96','S4-24','p', 'SU')
('AC04652-2022-11-01-94','A6-4','TrfJHNmiRhlXwHBk', 'UB')
('SL04652-2022-11-01-96','S4-24','ypcySimoa', 'SU')
('SL04652-2022-11-01-97','S5-1','fjMPjJchFwIXNuBM', 'LB')
('AC04652-2022-11-02-99','A6-9','Qav', 'UB')
('AC22517-2022-11-02-107','A6-17','msNhuBukpf', 'SL')
('SL04652-2022-11-01-99','S5-3','jHbqLsBXd', 'UB')
('SL04652-2022-11-02-87','S4-15','OySQXGjZMyQIz', 'SL')
('AC04652-2022-11-02-100','A6-10','JXfTy', 'UB')
('AC22517-2022-11-02-110','A7-2','TGgHghXjb', 'LB')
('SL04652-2022-11-01-102','S5-6','LSgXkjPPts', 'UB')
('SL04652-2022-11-02-88','S4-16','DLaWqlNr', 'SU')
('SL12058-2022-11-01-107','S5-11','XPaJDldicFU', 'UB')
('SL04652-2022-11-01-104','S5-8','qfRiEySoNE', 'SU')
('AC12058-2022-11-01-101','A6-11','pg', 'SL')
('AC04652-2022-11-01-98','A6-8','HewDzjY', 'LB')
('SL22517-2022-11-02-101','S5-5','bfCbQJQSDijiGz', 'MB')
('AC04652-2022-11-01-101','A6-11','bWUHoR', 'SL')
('AC04652-2022-11-02-104','A6-14','tc', 'LB')
('AC22517-2022-11-02-114','A7-6','DXRPEYEYFU', 'SU')
('AC22517-2022-11-02-115','A7-7','CpOXqAdRksrlQgHd', 'LB')
('AC22517-2022-11-01-110','A7-2','KOUaojuHs', 'LB')
('SL22517-2022-11-01-89','S4-17','qqitvmecOrmh', 'LB')
('AC12058-2022-11-01-105','A6-15','e', 'UB')
('SL04652-2022-11-02-92','S4-20','zmdpuH', 'LB')
('SL12058-2022-11-01-111','S5-15','AIGkGAUbs', 'SL')
('AC12058-2022-11-01-107','A6-17','VBKtBehXQB', 'SL')
('AC22517-2022-11-02-118','A7-10','NJpnw', 'UB')
('AC22517-2022-11-02-119','A7-11','fejA', 'SL')
('SL04652-2022-11-01-105','S5-9','NWn', 'LB')
('SL04652-2022-11-02-94','S4-22','hCHVcCreYT', 'UB')
('AC04652-2022-11-02-111','A7-3','ceUnOOnnYZAsv', 'UB')
('SL04652-2022-11-02-97','S5-1','pu', 'LB')
('AC12058-2022-11-01-114','A7-6','koBZukEqnvlsa', 'SU')
('AC22517-2022-11-02-121','A7-13','teIi', 'LB')
('AC12058-2022-11-01-118','A7-10','oDrtcOIuW', 'UB')
('AC04652-2022-11-02-112','A7-4','GImDggadQU', 'UB')
('SL22517-2022-11-01-109','S5-13','PrctXSEPQC', 'MB')
('SL22517-2022-11-02-116','S5-20','IrtMvYHNIkP', 'LB')
('SL12058-2022-11-01-133','S6-13','KakzrFnqhmJHZEr', 'MB')
('AC12058-2022-11-01-135','A8-9','yissOJWPNTV', 'UB')
('AC04652-2022-11-02-141','A8-15','ZbejgtGpSY', 'UB')
('SL12058-2022-11-01-163','S7-19','PEEbHGjaS', 'UB')
('AC22517-2022-11-02-165','A10-3','YFpjyjUpkLyn', 'UB')
('SL22517-2022-11-02-160','S7-16','zScrMpnDir', 'SU')
('AC04652-2022-11-02-144','A8-18','KolijmYwcBtACpAa', 'SU')
('SL04652-2022-11-01-152','S7-8','pzghIITFlsFNvTEX', 'SU')
('AC22517-2022-11-01-162','A9-18','HkXKRxD', 'SU')
('SL04652-2022-11-01-156','S7-12','GCwpUNPOjRz', 'LB')
('AC22517-2022-11-01-164','A10-2','RHFxuiQJSVEYslm', 'LB')
('AC04652-2022-11-01-152','A9-8','YZOK', 'LB')
('SL04652-2022-11-01-160','S7-16','ZTPVYSStxH', 'SU')
('AC04652-2022-11-01-153','A9-9','pIZccgXEz', 'UB')
('AC22517-2022-11-02-174','A10-12','uQLCovAa', 'SU')
('SL22517-2022-11-02-168','S7-24','vtGnpobAWNIvV', 'SU')
('SL04652-2022-11-01-163','S7-19','QvXBsRRXLMzXjd', 'UB')
('SL04652-2022-11-01-164','S7-20','mbuAeL', 'LB')
('SL04652-2022-11-01-165','S7-21','VpbfT', 'MB')
('SL22517-2022-11-02-172','S8-4','zbsGYENWauNnA', 'LB')
('AC22517-2022-11-01-169','A10-7','YbQ', 'LB')
('AC04652-2022-11-01-158','A9-14','T', 'LB')
('AC04652-2022-11-01-164','A10-2','oPvWchhj', 'LB')
('AC04652-2022-11-01-165','A10-3','cmCLceewPnow', 'UB')
('AC12058-2022-11-01-177','A10-15','qnmduC', 'UB')
('SL22517-2022-11-02-177','S8-9','OOZvUi', 'LB')
('SL22517-2022-11-01-180','S8-12','lG', 'LB')
('SL12058-2022-11-01-179','S8-11','IBeXHBfq', 'UB')
('SL04652-2022-11-02-148','S7-4','sTsuIotjdDnPs', 'LB')
('SL04652-2022-11-02-149','S7-5','uT', 'MB')
('SL04652-2022-11-02-150','S7-6','JHKQvCawunsod', 'UB')
('SL22517-2022-11-02-181','S8-13','ymroPHJRYhEtt', 'MB')
('AC12058-2022-11-01-186','A11-6','egkOpyeuzQ', 'SU')
('SL22517-2022-11-02-185','S8-17','kPHfeosY', 'LB')
('AC04652-2022-11-02-162','A9-18','dlgiLUCyb', 'SU')
('SL22517-2022-11-01-189','S8-21','UcRJdrsRev', 'MB')
('AC22517-2022-11-02-192','A11-12','HrZea', 'SU')
('AC04652-2022-11-01-181','A11-1','PINTLOHcV', 'LB')
('AC04652-2022-11-01-196','A11-16','xNdhtArlSfmtOdDZ', 'UB')
('AC04652-2022-11-02-193','A11-13','bKSncpRDBXVpfjC', 'LB')
('SL04652-2022-11-02-179','S8-11','kKCe', 'UB')
('SL22517-2022-11-01-219','S10-3','YluFvnr', 'UB')
('AC22517-2022-11-02-235','A14-1','ojnSbAJQZ', 'LB')
('AC12058-2022-11-01-221','A13-5','QhsTYRBdiPK', 'SL')
('SL22517-2022-11-01-227','S10-11','l', 'UB')
('AC04652-2022-11-02-204','A12-6','QXKkoMECZLQdWXm', 'SU')
('AC04652-2022-11-01-238','A14-4','KEOTWFBNLbdqnma', 'UB')
('SL22517-2022-11-01-230','S10-14','pgwEsRxkvjif', 'UB')
('SL12058-2022-11-01-222','S10-6','CeDEh', 'UB')
('SL22517-2022-11-01-234','S10-18','nbPHqzm', 'MB')
('SL22517-2022-11-01-235','S10-19','zGRWUSXhzuGD', 'UB')
('SL22517-2022-11-01-237','S10-21','cX', 'MB')
('SL12058-2022-11-01-227','S10-11','aEdcLwDDR', 'UB')
('SL04652-2022-11-02-202','S9-10','XeVLEXSJD', 'MB')
('SL12058-2022-11-01-229','S10-13','twKhxhFkMurm', 'MB')
('AC22517-2022-11-01-234','A13-18','DwAQojby', 'SU')
('AC04652-2022-11-02-214','A12-16','Leax', 'UB')
('AC22517-2022-11-02-248','A14-14','WRwhwNvBfhlc', 'LB')
('SL12058-2022-11-01-300','S13-12','xdOP', 'LB')
('SL12058-2022-11-01-310','S13-22','DGwMBpc', 'UB')
('SL22517-2022-11-01-380','S16-20','ZhZU', 'LB')
('AC04652-2022-11-02-373','A21-13','UOq', 'LB')
('SL22517-2022-11-02-365','S16-5','kxXbY', 'MB')
('SL12058-2022-11-01-396','S17-12','QehPrfWEqpneQ', 'LB')
('SL22517-2022-11-02-370','S16-10','ZKxEWqeDm', 'MB')
('AC04652-2022-11-02-384','A22-6','OX', 'SU')
('AC12058-2022-11-01-410','A23-14','jUXXsoIvNdZ', 'LB')
('AC04652-2022-11-02-388','A22-10','eDgaLphGhJvNvuh', 'UB')
('AC22517-2022-11-02-431','A24-17','YyTRbvECQd', 'SL')
('SL22517-2022-11-01-400','S17-16','so', 'SU')
('SL22517-2022-11-02-376','S16-16','NWwyuDJjo', 'SU')
('SL12058-2022-11-01-409','S18-1','YeskwImyLX', 'LB')
