('SL22517-2022-11-01-166','S7-22','XzkTLhQO', 'UB')
('AC04652-2022-11-02-175','A10-13','EMNyrcNbH', 'LB')
('AC04652-2022-11-02-176','A10-14','xuqMcixMKDWFcWop', 'LB')
('SL22517-2022-11-01-169','S8-1','WO', 'LB')
('AC04652-2022-11-02-177','A10-15','letqUudkDkYEDyFS', 'UB')
('AC12058-2022-11-01-182','A11-2','ThDx', 'LB')
('SL12058-2022-11-01-163','S7-19','wWjVKRrxMoMMEo', 'UB')
('AC12058-2022-11-01-186','A11-6','omYQURAjafOpBdyV', 'SU')
('AC22517-2022-11-01-167','A10-5','f', 'SL')
('SL22517-2022-11-02-163','S7-19','s', 'UB')
('AC04652-2022-11-02-189','A11-9','Ct', 'UB')
('SL04652-2022-11-02-206','S9-14','KfGdamW', 'UB')
('SL22517-2022-11-01-193','S9-1','fKeWI', 'LB')
('AC22517-2022-11-02-188','A11-8','FpbEKjbknLkivpvZ', 'LB')
('SL12058-2022-11-01-234','S10-18','WAaU', 'MB')
('AC22517-2022-11-02-230','A13-14','MxrOOW', 'LB')
('SL22517-2022-11-02-219','S10-3','uZ', 'UB')
('AC12058-2022-11-01-247','A14-13','Ku', 'LB')
('SL22517-2022-11-01-250','S11-10','rljdSVeFnyUIcr', 'MB')
('SL22517-2022-11-02-222','S10-6','vaJS', 'UB')
('SL04652-2022-11-01-257','S11-17','uwhx', 'LB')
('SL04652-2022-11-02-250','S11-10','OjHloUNQbq', 'MB')
('AC12058-2022-11-01-249','A14-15','RlItnHjXQD', 'UB')
('AC12058-2022-11-01-250','A14-16','HwqQXRfSGHoBc', 'UB')
('AC22517-2022-11-02-237','A14-3','xiSF', 'UB')
('SL12058-2022-11-01-242','S11-2','feQGUcFIvL', 'MB')
('SL22517-2022-11-02-232','S10-16','z', 'SU')
('AC04652-2022-11-02-259','A15-7','PRtMbDIJVZ', 'LB')
('AC22517-2022-11-01-241','A14-7','NMXqvVawlUDAYvWN', 'LB')
('AC22517-2022-11-02-243','A14-9','FsceepDa', 'UB')
('SL22517-2022-11-01-351','S15-15','BnUDUYOarXCO', 'SL')
('SL12058-2022-11-01-343','S15-7','IqcmgKsBD', 'SL')
('SL22517-2022-11-02-315','S14-3','tmIyQjnRfHbK', 'UB')
('AC04652-2022-11-01-363','A21-3','hpPHiDt', 'UB')
('SL12058-2022-11-01-346','S15-10','r', 'MB')
('SL22517-2022-11-01-354','S15-18','fPMahtMIBdHCY', 'MB')
('SL22517-2022-11-02-318','S14-6','IQmzgGgA', 'UB')
('SL04652-2022-11-01-364','S16-4','pkJkzhsleKQniVa', 'LB')
('SL22517-2022-11-01-361','S16-1','SzQZRAGvvLRKMYL', 'LB')
('SL04652-2022-11-02-350','S15-14','QKhcMaNkc', 'UB')
('SL12058-2022-11-01-349','S15-13','YADnN', 'MB')
('SL22517-2022-11-02-324','S14-12','CXsmuBNQZTUh', 'LB')
('SL22517-2022-11-01-364','S16-4','QNCvyGpekReA', 'LB')
('AC04652-2022-11-01-371','A21-11','zQeQBQPA', 'SL')
('SL12058-2022-11-01-353','S15-17','TFKsFytR', 'LB')
('AC04652-2022-11-01-373','A21-13','XktgKrCVVEgJBU', 'LB')
('SL12058-2022-11-01-354','S15-18','cxcE', 'MB')
('AC12058-2022-11-01-357','A20-15','txvdYlVhsLezrMI', 'UB')
('SL22517-2022-11-02-333','S14-21','pdN', 'MB')
('AC22517-2022-11-01-344','A20-2','oDvTNlouYR', 'LB')
('SL22517-2022-11-01-370','S16-10','Xkxwj', 'MB')
('SL22517-2022-11-02-335','S14-23','FqWjeTVtSg', 'SL')
('SL22517-2022-11-02-336','S14-24','mNPqLprNBt', 'SU')
('AC22517-2022-11-02-352','A20-10','hzhoxCZTNGlLi', 'UB')
('AC04652-2022-11-02-372','A21-12','LXLxTWkxjWhqZC', 'SU')
